row_id,PCGDP,PCRS,FSR,TIG,RUUR,HBTP,IPR,URIR,GCR,WEI,SDEI,EPES,UGPR,UWPR,PCURA,REPC
39,0.096212,0.139232,0.425749,0.288482,0.176471,0.219892,0.189655,0.438464,0.451104,0.904839,0.592303,0.709612,0.651189,0.62658,0.399833,0.008057
40,0.115632,0.170423,0.458503,0.272307,0.205882,0.254988,0.189655,0.44476,0.48265,0.88624,0.647975,0.654171,0.7046,0.629047,0.452838,0.010021
41,0.138383,0.207609,0.439587,0.245223,0.235294,0.294452,0.258621,0.495713,0.504732,0.898884,0.691462,0.517213,0.746902,0.734505,0.489566,0.011302
42,0.157281,0.243667,0.438878,0.231404,0.264706,0.348187,0.327586,0.508146,0.570978,0.914522,0.726135,0.501875,0.777667,0.828245,0.568865,0.012396
43,0.174882,0.277891,0.454217,0.244526,0.264706,0.400175,0.413793,0.538193,0.570978,0.921993,0.753073,0.458761,0.828087,0.88375,0.653172,0.013996
44,0.189696,0.312045,0.463626,0.264449,0.294118,0.450124,0.448276,0.559577,0.684543,0.925381,0.776515,0.474769,0.890044,0.931853,0.71202,0.015358
45,0.205065,0.217492,0.448668,0.305068,0.264706,0.476627,0.517241,0.560693,0.665615,0.937486,0.803201,0.548741,0.915824,0.952821,0.775042,0.01829
46,0.221345,0.237204,0.431669,0.320383,0.264706,0.504733,0.551724,0.560129,0.687697,0.955704,0.914525,0.450121,0.927361,0.968548,0.8101,0.018673
47,0.242381,0.25156,0.351788,0.355192,0.294118,0.565749,0.551724,0.562546,0.697161,0.955704,0.947495,0.389731,0.94317,0.972248,0.828464,0.021568
48,0.266406,0.265892,0.361373,0.36252,0.294118,0.613951,0.551724,0.586828,0.709779,0.955704,0.953441,0.422628,0.925367,0.976257,0.780885,0.024178
49,0.287637,0.273887,0.383133,0.362163,0.264706,0.623853,0.551724,0.630409,0.706625,0.955704,0.957654,0.365757,0.940179,0.97749,0.804674,0.026636
50,0.289769,0.252797,0.366694,0.332113,0.235294,0.681666,0.551724,0.700826,0.706625,0.955704,0.967186,0.333218,0.960974,0.984582,0.830134,0.032864
51,0.364623,0.266109,0.433549,0.223624,0.235294,0.711082,0.551724,0.731889,0.753943,0.955704,0.978058,0.318403,0.96952,0.987049,0.896494,0.037413
52,0.406803,0.255493,0.46874,0.185998,0.235294,0.717198,0.551724,0.757638,0.750789,0.955704,0.982105,0.261188,0.970944,0.990749,0.856845,0.032562
53,0.430598,0.274231,0.436449,0.208556,0.235294,0.752439,0.551724,0.783498,0.760252,0.955704,0.981536,0.294749,0.968096,0.973173,0.830134,0.058593
54,0.463875,0.289124,0.44055,0.273872,0.235294,0.752439,0.551724,0.798366,0.760252,0.955704,0.981536,0.294749,0.968096,0.973173,0.830134,0.058593
55,0.25342,0.308756,0.948178,0.831118,0.823529,0.718218,0.844828,0.636132,0.570978,0.904007,0.969919,0.158811,1.0,1.0,0.065109,0.037693
56,0.275708,0.35913,0.985211,0.86303,0.823529,0.718218,0.844828,0.62656,0.602524,0.918188,0.97849,0.161673,1.0,1.0,0.090568,0.038159
57,0.287133,0.393991,0.913175,0.866903,0.941176,0.744284,0.844828,0.625526,0.933754,0.893226,0.980982,0.248797,1.0,1.0,0.088063,0.037507
58,0.320021,0.45068,0.904613,0.861311,0.941176,0.770497,0.844828,0.659197,0.902208,0.927052,0.984123,0.233545,1.0,1.0,0.063856,0.038476
59,0.356043,0.501347,0.97238,0.87778,0.941176,0.777195,0.862069,0.639475,0.867508,0.939335,0.988257,0.346288,1.0,1.0,0.050918,0.038801
60,0.385591,0.552656,0.942082,0.886152,0.970588,0.405126,0.896552,0.648885,0.886435,0.959828,0.989842,0.374537,1.0,1.0,0.147329,0.039596
61,0.421033,0.592652,0.916932,0.896421,1.0,0.416339,0.948276,0.655956,0.914826,0.969838,0.991527,0.413011,1.0,1.0,0.148998,0.040062
62,0.448997,0.632423,0.931423,0.904508,0.970588,0.443279,0.948276,0.669687,0.977918,0.974859,0.992925,0.648397,1.0,1.0,0.141903,0.041186
63,0.480578,0.808362,0.856165,0.933831,0.941176,0.448668,0.965517,0.670702,0.955836,0.983331,0.994102,0.74388,1.0,1.0,0.149416,0.042398
64,0.524586,0.864828,0.822119,0.945897,0.941176,0.484491,1.0,0.671766,0.955836,0.982751,0.998903,0.80862,1.0,1.0,0.149416,0.044931
65,0.582579,0.92002,0.825126,0.953628,0.941176,0.509538,1.0,0.668795,0.955836,0.982751,0.999602,0.983819,1.0,1.0,0.141903,0.05131
66,0.649688,0.954431,0.801031,0.960769,0.941176,0.535896,1.0,0.672013,0.955836,0.982751,0.999883,0.754095,1.0,1.0,0.147329,0.055154
67,0.698755,1.0,0.813231,0.971536,0.970588,0.564147,1.0,0.67764,0.958991,0.982751,0.999941,0.556755,1.0,0.971014,0.15192,0.058665
68,0.709564,0.908909,0.796765,0.972316,0.588235,0.544779,1.0,0.695343,0.974763,0.982751,0.999948,0.416112,1.0,0.950355,0.151503,0.057323
69,0.815594,0.988437,0.856215,0.936176,0.411765,0.566769,1.0,0.720577,0.984227,0.982751,0.999981,0.437921,1.0,0.962997,0.153589,0.058744
70,0.826765,0.916473,0.790495,0.972787,0.411765,0.593127,1.0,0.732882,1.0,0.982751,0.999997,0.358351,1.0,0.994141,0.166945,0.053591
71,0.873456,0.961526,0.802179,0.992421,0.411765,0.625018,1.0,0.75113,1.0,0.982751,1.0,0.322171,1.0,1.0,0.201586,0.065921
72,1.0,0.935774,0.783626,1.0,0.411765,0.625018,1.0,0.772799,1.0,0.982751,1.0,0.322171,1.0,1.0,0.201586,0.065921
