row_id,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
1,,空间滞后类型,t/(t+1),,,,,,
2,传统,无滞后,Ⅰ,0.683333333333333,0.316666666666667,0.0,0.0,0.0,60.0
3,,,Ⅱ,0.0,0.637931034482759,0.362068965517241,0.0,0.0,58.0
4,,,Ⅲ,0.0,0.0,0.641509433962264,0.358490566037736,0.0,53.0
5,,,Ⅳ,0.0,0.0,0.02,0.74,0.24,50.0
6,,,Ⅴ,0.0,0.0,0.0,0.0204081632653061,0.979591836734694,49.0
7,空间,Ⅰ,Ⅰ,0.744186046511628,0.255813953488372,0.0,0.0,0.0,43.0
8,,,Ⅱ,0.0,0.571428571428571,0.428571428571429,0.0,0.0,7.0
9,,,Ⅲ,0.0,0.0,1.0,0.0,0.0,2.0
10,,,Ⅳ,0.0,0.0,0.0,0.0,0.0,0.0
11,,,Ⅴ,0.0,0.0,0.0,0.0,0.0,0.0
12,,Ⅱ,Ⅰ,0.538461538461538,0.461538461538462,0.0,0.0,0.0,13.0
13,,,Ⅱ,0.0,0.740740740740741,0.259259259259259,0.0,0.0,27.0
14,,,Ⅲ,0.0,0.0,0.769230769230769,0.230769230769231,0.0,13.0
15,,,Ⅳ,0.0,0.0,0.0,0.0,0.0,0.0
16,,,Ⅴ,0.0,0.0,0.0,0.0,0.0,0.0
17,,Ⅲ,Ⅰ,0.5,0.5,0.0,0.0,0.0,4.0
18,,,Ⅱ,0.0,0.631578947368421,0.368421052631579,0.0,0.0,19.0
19,,,Ⅲ,0.0,0.0,0.652173913043478,0.347826086956522,0.0,23.0
20,,,Ⅳ,0.0,0.0,0.0,0.714285714285714,0.285714285714286,14.0
21,,,Ⅴ,0.0,0.0,0.0,0.0,1.0,2.0
22,,Ⅳ,Ⅰ,0.0,0.0,0.0,0.0,0.0,0.0
23,,,Ⅱ,0.0,0.2,0.8,0.0,0.0,5.0
24,,,Ⅲ,0.0,0.0,0.454545454545455,0.545454545454545,0.0,11.0
25,,,Ⅳ,0.0,0.0,0.0384615384615385,0.730769230769231,0.230769230769231,26.0
26,,,Ⅴ,0.0,0.0,0.0,0.0625,0.9375,16.0
27,,Ⅴ,Ⅰ,0.0,0.0,0.0,0.0,0.0,0.0
28,,,Ⅱ,0.0,0.0,0.0,0.0,0.0,0.0
29,,,Ⅲ,0.0,0.0,0.5,0.5,0.0,4.0
30,,,Ⅳ,0.0,0.0,0.0,0.8,0.2,10.0
31,,,Ⅴ,0.0,0.0,0.0,0.0,1.0,31.0
