row_id,MODEL,PARAMS_JSON,model__C,model__epsilon,model__gamma,model__kernel,TRAIN_R2,TRAIN_MAE,TRAIN_RMSE,TRAIN_MAPE(%),VAL_R2,VAL_MAE,VAL_RMSE,VAL_MAPE(%),TEST_R2,TEST_MAE,TEST_RMSE,TEST_MAPE(%)
1,SVR,"{""model__C"": 1, ""model__epsilon"": 0.01, ""model__gamma"": 0.01, ""model__kernel"": ""rbf""}",1,0.01,0.01,rbf,0.9180416832581543,0.02104813719090619,0.02811842386803439,5.011497989694665,0.5597449248840038,0.02688878817861148,0.03273541695841643,4.752047515565875,0.6512367804300168,0.02587176923182518,0.03237205905827863,4.756603298470851
2,SVR,"{""model__C"": 10, ""model__epsilon"": 0.01, ""model__gamma"": 0.01, ""model__kernel"": ""rbf""}",10,0.01,0.01,rbf,0.9367254181263512,0.01815193146520182,0.02470637905242223,4.306477390279674,0.4880707326134999,0.02913553140613148,0.03529967208690876,5.092435704294412,0.7117851291311483,0.0241556821552053,0.02942816466804421,4.442960901100475
3,SVR,"{""model__C"": 1, ""model__epsilon"": 0.05, ""model__gamma"": 0.01, ""model__kernel"": ""rbf""}",1,0.05,0.01,rbf,0.9018207743773452,0.02518811901335954,0.0307754391908648,6.010032595823707,0.4076142821082265,0.03068148654316426,0.03797239423603626,5.443130841105527,0.4616401734876638,0.03277556041343413,0.04021992970394109,6.050254162652856
4,SVR,"{""model__C"": 10, ""model__epsilon"": 0.05, ""model__gamma"": 0.01, ""model__kernel"": ""rbf""}",10,0.05,0.01,rbf,0.9109355177200137,0.02430866020489808,0.0293120863991015,5.758759246602829,0.3907761882594153,0.03030820369052454,0.03850828046660915,5.439388631425572,0.5852810444828795,0.02982761543371258,0.03530058706703997,5.609527019975033
5,SVR,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.01, ""model__kernel"": ""rbf""}",10,0.1,0.01,rbf,0.8154409130933407,0.03405532720443603,0.04219511498032471,7.761280938356814,0.04216509891579323,0.03996519759892652,0.0482848648624269,7.06838148628339,0.3572439453312345,0.03561467820251204,0.04394688255639494,6.48940403625735
6,SVR,"{""model__C"": 50, ""model__epsilon"": 0.1, ""model__gamma"": 0.01, ""model__kernel"": ""rbf""}",50,0.1,0.01,rbf,0.8154409130933407,0.03405532720443603,0.04219511498032471,7.761280938356814,0.04216509891579323,0.03996519759892652,0.0482848648624269,7.06838148628339,0.3572439453312345,0.03561467820251204,0.04394688255639494,6.48940403625735
7,SVR,"{""model__C"": 50, ""model__epsilon"": 0.05, ""model__gamma"": 0.01, ""model__kernel"": ""rbf""}",50,0.05,0.01,rbf,0.9104132525813616,0.02476285768997887,0.02939790233770635,5.828154984900789,0.03744473603599641,0.03975972085264659,0.04840369638768688,7.089956678329441,0.5927879281143427,0.0281348174193115,0.03497963770869835,5.255856997002057
8,SVR,"{""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": 0.01, ""model__kernel"": ""rbf""}",1,0.1,0.01,rbf,0.7922270220964743,0.03659147447461725,0.04477019545408339,8.274954954611847,0.02007726825488954,0.04110525408347814,0.04883842025178611,7.240470938773816,0.3272028990695581,0.03606814201787432,0.04496214694773049,6.561940501639772
9,SVR,"{""model__C"": 1, ""model__epsilon"": 0.01, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",1,0.01,scale,rbf,0.9735534370961912,0.0119891762937466,0.01597272729557661,2.875851164872352,-0.03376827215024591,0.03838217228879844,0.0501622826433736,6.50236879806457,0.6374847145668434,0.02449072400425118,0.03300411917153804,4.367434846961701
10,SVR,"{""model__C"": 1, ""model__epsilon"": 0.01, ""model__gamma"": 0.1, ""model__kernel"": ""rbf""}",1,0.01,0.1,rbf,0.9735534370961912,0.0119891762937466,0.01597272729557661,2.875851164872352,-0.03376827215024591,0.03838217228879844,0.0501622826433736,6.50236879806457,0.6374847145668434,0.02449072400425118,0.03300411917153804,4.367434846961701
