row_id,ADMINCODE,REGION,ZONE,YEAR,RESILIENCE,URB,GOV,INNO,EDU,OPENPC,FIN,DIG,PRI,INC,SOC
30,530000,云南,西部,2018,0.446277,47.4378056559643,29.0941352259992,0.904357673953874,17.7353856688774,63487061.4501382,6.28621782898959,1.14754098360656,124.176057835424,20084,13.9296431457952
31,530000,云南,西部,2019,0.463685,48.6635553669919,29.1515169782723,0.871480290513125,15.8025964204316,71473137.4628765,5.99858765576693,1.4421768707483,133.008061094612,22082,13.5153299291442
32,530000,云南,西部,2020,0.451505,50.0423549343499,28.4008193616961,0.931170257613256,16.6621260048007,82864004.6590428,5.90657159030286,1.47962032384143,133.008061094612,23295,14.034516677612
33,530000,云南,西部,2021,0.467638,51.044776119403,24.4255124882187,0.932267769611538,17.2330111721402,97654584.2217484,5.58324988218662,1.48003351019268,133.008061094612,25666,15.0373208568724
34,530000,云南,西部,2022,0.464937,51.7153206903899,23.4618522837502,0.880176841363684,17.3869628749558,100639249.946729,5.45067428675484,1.40726146918097,133.008061094612,26937,15.4885451633559
35,530000,云南,西部,2023,0.492741,52.9210357372138,22.417832790937,0.911281886693769,17.4430318807503,78686068.9064841,5.33824543404472,1.53623188405797,133.008061094612,28421,17.4477866533533
36,530000,云南,西部,2024,0.498039,52.9210357372138,21.7640268788391,0.911281886693769,17.4430318807503,75123523.0934479,5.33824543404472,1.53623188405797,133.008061094612,29932,17.4477866533533
37,150000,内蒙古,西部,2007,0.379536,50.1440922190202,20.9469894907972,0.851881623564413,14.1890955456385,31848023.8781391,2.89728850955118,1.51143790849673,25.9365994236311,8340,14.0458833421109
38,150000,内蒙古,西部,2008,0.385044,51.7184942716858,23.3014545687556,1.05598218030071,14.1897605477908,36491337.9705401,3.08054594386774,1.51143790849673,33.5515548281506,9923,13.1667778106245
39,150000,内蒙古,西部,2009,0.398484,53.4174125305126,27.1225472255849,0.937804903365095,12.6362334184468,27559259.5606184,3.59927929956927,1.586655817738,38.6493083807974,11015,14.270515455357
40,150000,内蒙古,西部,2010,0.412029,55.5016181229773,27.7259478774131,0.940840114361117,14.1680228722234,35314486.2459547,3.60370248417664,1.56500802568218,45.7119741100324,12538,12.8629865845613
41,150000,内蒙古,西部,2011,0.419323,57.0445344129555,31.604762055804,0.943727606959698,13.0700084637747,48303255.0607287,3.98600141677504,1.60060975609756,53.8461538461538,14715,12.1761268027338
42,150000,内蒙古,西部,2012,0.448772,58.400974025974,32.7216549985196,0.805898441034562,12.842127385077,45693912.3376623,4.17952073046103,1.62481536189069,59.6590909090909,16800,12.710778490305
43,150000,内蒙古,西部,2013,0.473423,59.837067209776,32.359467715319,0.858261992339659,12.3929885094886,48857727.0875764,4.29496857554159,1.94206714944042,67.6171079429735,18693,13.3190651345985
44,150000,内蒙古,西部,2014,0.506722,60.963658636178,31.912454146173,0.847169315305749,12.3137232666148,59437815.4348714,4.5064236482374,1.65837479270315,82.4826459779502,20559,13.7052252846664
45,150000,内蒙古,西部,2015,0.525806,62.0901639344262,32.8439261719052,0.83988563259471,12.6154490049283,52176848.3606557,4.84825083017994,1.67616493462957,102.459016393443,22310,14.2314999435687
46,150000,内蒙古,西部,2016,0.528557,63.3825944170772,32.7261717418578,0.717528934941532,12.2979318413991,47784486.863711,5.29468500939134,1.63710777626194,116.995073891626,24127,14.238450952975
47,150000,内蒙古,西部,2017,0.528268,64.6115906288533,30.4060920520066,0.743278593708954,12.4030614159601,57022289.3547061,5.43290755196971,1.71062009978617,134.401972872996,26212,15.544169556704
48,150000,内蒙古,西部,2018,0.536834,65.5243600330305,29.9332127279937,0.539174493838302,11.9286923621431,64782274.9793559,5.24757137192704,1.79882525697504,151.527663088357,28376,14.6373973912648
49,150000,内蒙古,西部,2019,0.537024,66.4596273291926,29.6349164851126,0.558527792099841,11.958062384947,66001933.747412,5.08293391430646,1.67319330722677,165.631469979296,30555,14.2429488071736
50,150000,内蒙古,西部,2020,0.539244,67.4989596337911,30.5374898597752,0.61440259878258,12.185019050655,63348734.91469,4.91945764283231,1.69992609016999,165.631469979296,31497,16.2201906583481
51,150000,内蒙古,西部,2021,0.555138,68.2083333333333,24.75465368988,0.673337697559151,12.2393631538466,79375000.0,4.34801096097515,1.71834142697049,165.631469979296,34108,16.6954540162647
52,150000,内蒙古,西部,2022,0.548347,68.5964181591004,25.173052174322,0.730166278852523,11.7597703687348,93835901.7076218,4.19942793376345,1.69491525423729,165.631469979296,35921,16.7323403026649
53,150000,内蒙古,西部,2023,0.555041,69.5742904841402,27.7591261623421,1.09665547142874,11.3310825834084,116193656.093489,4.38949120883583,1.63751395608485,165.631469979296,38130,16.557347313728
54,150000,内蒙古,西部,2024,0.562382,69.5742904841402,26.327742013939,1.09665547142874,11.3310825834084,122068676.716918,4.38949120883583,1.63751395608485,165.631469979296,40077,16.557347313728
55,110000,北京,东部,2007,0.594626,84.4868735083532,15.8217831279075,5.5010609275538,15.9442255228857,1151549886.63485,13.526449570764,5.85656671927056,201.073985680191,21458,10.8687481054865
56,110000,北京,东部,2008,0.608347,84.9237718802936,16.5857395603186,5.72605382562051,16.1436030398767,1534121394.69226,13.9548467379435,5.85656671927056,216.82665160926,24371,10.6839722552557
57,110000,北京,东部,2009,0.641868,85.0,17.9783580990474,5.44587538857535,15.7659191935741,1154478779.56989,13.5215372570906,5.8453092200872,232.258064516129,26571,10.1014499627054
58,110000,北京,东部,2010,0.644481,85.9327217125382,18.1590483827854,6.58442877541107,16.5685307582471,1537826442.40571,13.6200213846565,6.44911846582122,252.803261977574,29228,10.1533864248598
59,110000,北京,东部,2011,0.668854,86.2154150197628,18.8799101740668,5.64120262662431,16.025982750067,1924683680.83004,14.0882435074002,7.15847791223211,268.774703557312,33176,10.9354344684352
60,110000,北京,东部,2012,0.658791,86.2848893166506,19.3711858794094,5.42532378551601,17.0582664687638,1963942829.64389,14.6294028289539,7.33203233900195,288.739172281039,36817,11.5135497420841
61,110000,北京,东部,2013,0.674361,86.4,19.7479961768853,5.62264295606254,16.3209269561967,2018803821.17647,15.3657982644573,7.84049575643271,316.705882352941,40830,11.2402543570871
62,110000,北京,东部,2014,0.712985,86.5039152464302,19.735976620431,6.2481904757695,16.4000910563643,1913950221.09627,16.2993980633342,8.08307977245667,390.60340856748,44489,11.2496601962132
63,110000,北京,东部,2015,0.728648,86.7001828153565,23.1554011243346,5.01594715652613,14.9131184969587,1459966042.04753,17.6176697297319,8.74823105622025,474.405850091408,48458,12.2083761786081
64,110000,北京,东部,2016,0.744284,86.7425968109339,23.6926245876662,4.46059402787988,13.8505050126663,1286327835.99089,17.6941112080825,8.74289324068225,551.25284738041,52530,11.1787999257036
65,110000,北京,东部,2017,0.773938,86.918869644485,22.837499581702,5.30087786265135,14.1345997453304,1476834197.81222,17.734497875046,9.52146635502522,627.164995442115,57230,11.6547220101604
66,110000,北京,东部,2018,0.749653,87.0894160583942,22.5682051591856,5.69997978967882,13.7257526336993,1881788038.32117,17.976499728146,10.2526547052362,672.901459854015,62361,11.1846058920448
67,110000,北京,东部,2019,0.735102,87.351598173516,20.9004629694937,5.85055188919291,15.3503082399344,1901629004.56621,18.4629187109079,10.8555541513964,668.949771689498,67756,13.1338424095494
68,110000,北京,东部,2020,0.678455,87.5285518501599,19.7983490664463,5.77500850175234,15.9958011180156,1537131475.55962,19.6339790725949,12.4746587376672,668.949771689498,69434,14.8374549266601
69,110000,北京,东部,2021,0.682845,87.5285518501599,17.553940008186,6.23792525315331,15.9307547965891,2151484696.20831,18.7184497242092,13.3245556287031,668.949771689498,75002,14.6311234233434
70,110000,北京,东部,2022,0.671017,87.5915750915751,17.9802315308527,6.5429131828923,15.6794280473682,2496199633.69963,19.4064163270415,13.5055548119395,668.949771689498,77415,14.2961381147788
71,110000,北京,东部,2023,0.680596,87.8316559926807,18.2155449981376,6.54740473576917,15.4041085149757,2371820677.03568,19.7965297630065,13.2345156167284,668.949771689498,81752,14.3744080288537
72,110000,北京,东部,2024,0.683889,87.8316559926807,16.8458221900323,6.54740473576917,15.4041085149757,2323499770.9574,19.7965297630065,13.2345156167284,668.949771689498,85415,14.3744080288537
73,220000,吉林,中部,2007,0.351074,53.1501831501832,21.6591917260986,1.25486557436408,16.34154068978,37721615.3846154,4.33791632968164,1.37404580152672,28.2051282051282,7791,17.4674119670499
74,220000,吉林,中部,2008,0.369655,53.218727139722,24.4093739011728,1.13632511947938,15.93312544487,48764173.3723482,3.94026516640122,1.37404580152672,35.844915874177,8921,16.9355658746568
75,220000,吉林,中部,2009,0.366573,53.3211678832117,27.2173769043939,1.28311733966103,14.6693167298761,42855500.0,4.30374622801207,1.92235205427817,40.8759124087591,9671,16.9306589328087
76,220000,吉林,中部,2010,0.409344,53.3309064433928,27.8800405584588,1.06979997202406,13.9991607217793,61322104.1135785,3.83589423601903,1.94319880418535,46.2322533673098,10798,14.1759686669464
77,220000,吉林,中部,2011,0.449072,53.394495412844,28.466113309027,0.961966444720993,14.5257841525339,80957541.2844037,4.94660357355261,2.08708168405901,52.1100917431193,12621,13.5797142260212
78,220000,吉林,中部,2012,0.466449,54.5218680504077,28.4766075132519,1.01003561022985,18.2522661055358,91041549.2957746,5.80318045632634,1.64623467600701,59.3031875463306,14395,12.3017157656199
79,220000,吉林,中部,2013,0.481171,55.7346326836582,29.11369446006,1.35601371315319,15.3777492795494,96820595.952024,6.82124333096448,1.97990543735225,67.4662668665667,15998,13.1225840768578
80,220000,吉林,中部,2014,0.51361,56.8130204390613,29.2304219134099,1.25117995366,13.9740839268858,99851574.5647237,6.82687001454874,1.97368421052632,81.7562452687358,17520,13.3939758002231
81,220000,吉林,中部,2015,0.479282,57.6349024110218,32.1131962467558,1.28656243200398,14.8447359423083,72244125.5262151,6.81872629267319,2.03014457090126,98.7370838117107,18684,14.3694631811259
82,220000,吉林,中部,2016,0.485851,58.7456174522789,34.3923467919824,1.14358535340719,13.9343965154249,71885025.3213868,7.02215402320898,1.98696057125116,110.634982469809,19967,13.875558059056
83,220000,吉林,中部,2017,0.480768,59.6991290577989,34.1120673869255,1.25720666072598,13.6373640531226,73408436.2628662,7.09210767258744,2.05144903940085,135.787806809185,21368,14.7837196568717
84,220000,吉林,中部,2018,0.490411,60.8695652173913,33.6738701594128,1.08455004367227,13.5587227114279,83249452.4959742,6.9381009081377,2.0766201217329,159.420289855072,22798,16.7326808441019
85,220000,吉林,中部,2019,0.51554,61.6421568627451,33.5421427840502,0.996079747395396,12.7250586004037,77222724.6732026,7.1451717433571,2.01947349441039,176.470588235294,24563,17.485546928627
86,220000,吉林,中部,2020,0.514003,62.6511046269279,33.6746899477807,0.967733337856207,12.7615290865169,77225197.9991663,7.35313315926893,1.70674941815361,176.470588235294,25751,19.838048832493
87,220000,吉林,中部,2021,0.529619,63.3684210526316,28.0833801789757,1.03953646898432,13.172330963742,97852631.5789474,7.21752077667543,1.76678445229682,176.470588235294,27770,21.2137934019325
88,220000,吉林,中部,2022,0.519728,63.7137989778535,31.5492155623688,0.553411094433495,12.3100585804684,99616695.0596252,7.8045888236166,2.02228642179117,176.470588235294,27975,22.1779867013187
89,220000,吉林,中部,2023,0.551096,64.7285164600257,32.5680649166371,0.874547579336714,12.1431407921758,101752885.848653,7.96233889085964,1.96665241556221,176.470588235294,29797,22.2884827030645
90,220000,吉林,中部,2024,0.557938,64.7285164600257,32.5385761635518,0.874547579336714,12.1431407921758,106991799.741044,7.96233889085964,1.96665241556221,176.470588235294,31318,22.2884827030645
91,510000,四川,西部,2007,0.332237,35.5973914113449,16.6551159333845,1.18126573931432,16.6480021374202,17691797.7113326,3.26450232434838,0.943909965510982,27.931586071121,6322,15.4690102493846
92,510000,四川,西部,2008,0.29181,37.4047677562055,23.116837302645,0.875601509751325,12.5229328242048,27173318.9972966,3.42813690597513,0.943909965510982,35.1437699680511,7413,15.2250214491849
93,510000,四川,西部,2009,0.321027,38.7049480757483,25.3035107747382,0.797611621067641,12.5724088762142,29527979.2302993,3.40084281143856,1.04535790219702,39.7067806963959,8214,12.6968964441672
94,510000,四川,西部,2010,0.335661,40.1740211311374,24.7200548047002,0.815175270903104,12.6973353562018,40638737.1037912,3.52340810923784,1.10410094637224,44.8725916718459,9373,12.0632318611172
95,510000,四川,西部,2011,0.359166,41.8526785714286,22.207696583044,0.978626372215995,14.6453843060416,59181757.1924603,3.76515968438404,1.0586319218241,50.2232142857143,11130,13.8139262276146
96,510000,四川,西部,2012,0.39246,43.3518862090291,22.7861334983112,1.08971030950341,18.220543424222,73152257.266543,4.91631274454068,0.936183491964425,55.4112554112554,12753,12.4786506671265
97,510000,四川,西部,2013,0.408049,44.9623874707115,23.4591975262086,1.11736064337854,16.6601027823904,79633318.5349611,5.77042009201297,1.84353580713779,62.1531631520533,14231,13.3985220811746
98,510000,四川,西部,2014,0.415194,46.5044845804153,23.5247635101224,1.20295264845268,15.5505465224575,86255031.3306303,5.6141468192847,2.01558056139483,78.8794692222632,15749,13.6392995920025
99,510000,四川,西部,2015,0.43096,48.2674475353831,24.710005932371,1.28962815654797,16.7032788219022,62455539.2874573,6.191088260497,2.30043997485858,95.2903855539287,17221,14.8282563144297
100,510000,四川,西部,2016,0.439908,50.0060598715307,24.167931559968,1.26222235540755,16.2550615628383,59757910.5562962,6.97889162152783,2.33650793650794,111.501636165313,18808,16.4838073690611
101,510000,四川,西部,2017,0.462113,51.7794667631801,22.9382325861164,1.22568075484545,15.9774392852707,82164384.1235372,7.17792592553509,2.53723807119414,131.861503197008,20580,17.2672966246337
102,510000,四川,西部,2018,0.491918,53.5031847133758,22.6270975080474,1.52366726757662,15.0582539273757,108065301.045547,6.81178776796474,2.47245708429413,151.303929816128,22461,16.9371104815864
103,510000,四川,西部,2019,0.519097,55.3586396838702,22.3195035782227,1.78727253224483,15.2575769435562,117830992.695486,6.68991756499683,2.53517556090759,164.411447730811,24703,17.0300642529065
104,510000,四川,西部,2020,0.522168,56.7315732887349,23.0890114965279,1.62253293732933,15.0569627826484,139646602.556445,6.84575354215119,2.75005801810165,164.411447730811,26522,17.8475944185581
105,510000,四川,西部,2021,0.52662,57.8236980410893,20.7360042893063,2.43516003027901,15.4519249372977,173781653.129479,6.56818517970714,2.90304073436604,164.411447730811,29080,19.3106264527639
106,510000,四川,西部,2022,0.530748,58.3472653451158,21.0468431484079,1.92300913328622,15.6533212026193,178624313.350848,6.67600538418871,2.99523485364193,164.411447730811,30679,18.780393229853
107,510000,四川,西部,2023,0.553599,59.4885277246654,21.1744153366959,1.91725458442337,15.3085066195233,162380497.131931,6.64760887966488,3.12358533272974,164.411447730811,32514,19.1634355078502
108,510000,四川,西部,2024,0.556586,59.4885277246654,20.78199916534,1.91725458442337,15.3085066195233,175681492.109039,6.64760887966488,3.12358533272974,164.411447730811,34325,19.1634355078502
109,120000,天津,东部,2007,0.460004,76.3228699551569,16.2160927279723,3.31291800750374,16.3154538579034,640804780.269058,6.80790688726433,1.24626121635095,84.304932735426,13116,11.7998606023757
110,120000,天津,东部,2008,0.475049,77.2108843537415,16.7435937017598,3.30175632692574,16.3301525837828,683680578.231292,6.74783883914789,1.24626121635095,96.0884353741497,15444,12.1836537131794
