row_id,Scenario,Feature,MeanAbsSHAP,Rank
1,Without PRI,INC,0.07966709413716973,1
2,Without PRI,URB,0.01688179073169804,2
3,Without PRI,INNO,0.00813997970732635,3
4,Without PRI,SOC,0.00808493543471227,4
5,Without PRI,DIG,0.007620920891061382,5
6,Without PRI,OPENPC,0.007204853149166558,6
7,Without PRI,FIN,0.006940109139294669,7
8,Without PRI,EDU,0.004829253910013556,8
9,Without PRI,GOV,0.003852347873107953,9
