row_id,ADMINCODE,REGION,ZONE,YEAR,FULL_INDEX,INDEX_WITHOUT_URIR,INDEX_WITHOUT_REPC,INDEX_WITHOUT_BOTH,FULL_RANK,RANK_WITHOUT_URIR,RANK_WITHOUT_REPC,RANK_WITHOUT_BOTH,RANK_CHANGE_WITHOUT_URIR,RANK_CHANGE_WITHOUT_REPC,RANK_CHANGE_WITHOUT_BOTH
53,430000,湖南,中部,2008,0.3219487854988867,0.3100445186905946,0.3331240628939786,0.3216887851319351,25,26,25,26,1,0,1
54,620000,甘肃,西部,2008,0.3147142465604449,0.3260620196965144,0.3232369896817113,0.3357178441651903,27,22,27,23,5,0,4
55,350000,福建,东部,2008,0.3992434566851809,0.3841663624851154,0.4144338154344903,0.4001942691422709,12,13,11,12,1,1,0
56,540000,西藏,西部,2008,0.2549291281167455,0.2662898985364036,0.2617941133292575,0.2741949753020854,30,30,30,30,0,0,0
57,520000,贵州,西部,2008,0.2438022066548357,0.2513129451105695,0.2512840144293302,0.2597423003402518,31,31,31,31,0,0,0
58,210000,辽宁,东部,2008,0.4036625705578156,0.3915431063780944,0.4176056878781079,0.4062687398667347,10,11,10,11,1,0,1
59,500000,重庆,西部,2008,0.4001756224226188,0.3986054400390082,0.413572329942857,0.4131134776579347,11,10,12,10,1,1,1
60,610000,陕西,西部,2008,0.3741665817645374,0.3863984040633464,0.3861937642664199,0.4000574253552274,14,12,14,13,2,0,1
61,630000,青海,西部,2008,0.3639166012796268,0.3768160150532782,0.3748103884104294,0.3891828511426326,16,15,17,15,1,1,1
62,230000,黑龙江,中部,2008,0.318826028445904,0.2954935245187347,0.3295546984774954,0.3060724373134862,26,27,26,27,1,0,1
63,310000,上海,东部,2009,0.4995262543275606,0.4847141765013579,0.5131934146485018,0.4991214405821637,4,4,4,5,0,0,1
64,530000,云南,西部,2009,0.3294051446056669,0.3406435396588871,0.3394846911398524,0.3520869834155395,25,24,26,24,1,1,1
65,150000,内蒙古,西部,2009,0.3984843795418024,0.3953838877496776,0.4106846453972117,0.4084293588287059,13,12,13,12,1,0,1
66,110000,北京,东部,2009,0.6418675613531059,0.6427955733201753,0.6628980019650665,0.6657487073175822,1,1,1,1,0,0,0
67,220000,吉林,中部,2009,0.3665731883917776,0.3447661369160625,0.3783789930645051,0.3565521619810206,20,21,20,21,1,0,1
68,510000,四川,西部,2009,0.3210266331598674,0.3073384087989546,0.3314906629313816,0.3180711980491132,28,29,28,29,1,0,1
69,120000,天津,东部,2009,0.46922139054342,0.4491594450696147,0.485613305415648,0.4662138727344936,6,7,6,7,1,0,1
70,640000,宁夏,西部,2009,0.3789314116734834,0.3747545677218584,0.3907273347257027,0.3873375135936715,17,17,17,17,0,0,0
