row_id,Variable,ER,SDR,EER,IR
1,URB,558,558,558,558
2,GOV,558,558,558,558
3,INNO,558,558,558,558
4,EDU,558,558,558,558
5,OPENPC,558,558,558,558
6,FIN,558,558,558,558
7,DIG,558,558,558,558
8,PRI,558,558,558,558
9,INC,558,558,558,558
10,SOC,558,558,558,558
