row_id,地区,风速,温度_摄氏度(摄氏度),辐射度,风向,降雨量,温度探针1（我认为是板温）,温度探针2,Active_Energy_Delivered_Received,Active_Power,最大风速,压强
1,1,2.31801064679385,24.3178352473822,550.379805650927,160.0228698164,4.91854623117643e-05,52.2982129064718,52.7168273710667,2939172.38398282,525.314838425745,4.5337406024897,957.337546269696
2,2,2.67882721606898,27.0908466511365,840.226088910538,151.85572284903,1.94418309225766e-05,60.7983336820988,61.4689519205748,2939974.874399,795.870207191258,5.34637817603064,957.328817516481
3,3,1.5379749606053,19.1820000447018,0.00106670487094932,177.504350669395,0.000112676053546246,36.7814823365547,36.7174269143405,2937259.94203819,657.080818173737,2.70807511120895,957.361790444817
4,4,2.3868359984972,19.1488710946753,331.469244165681,156.713327129719,0.000100031354859285,41.7300460273549,41.5457371884882,2936224.8467457,518.291429156215,4.49661336366792,958.901170301751
5,5,1.43980281782542,15.4745539745919,0.260064681979692,183.118998610806,5.070422502768e-05,35.4108944422762,35.3532121971739,2937259.96225971,320.390164806667,2.61896713563534,957.412368874707
6,6,1.46748669784813,16.7134773229209,2.79451794747455e-05,179.029921865687,0.000266040678293455,35.8485577811658,35.7917617368026,2937259.94203819,332.56255574452,2.67380281714766,956.847552003099
7,7,1.54977151795592,21.7691768382077,0.00404644990471044,172.315461324414,0.000112363063083184,37.7481914000892,37.66989175501,2944386.50340444,462.124213811483,2.90300469555206,957.167644031507
8,8,2.07356516169594,27.9267449764381,118.440644054518,175.147619329897,0.000406015034613136,43.5895961603724,43.6949695823784,2943822.05109203,146.833682332825,3.96729322962631,955.177236972895
9,9,2.7840084375518,29.5041966702945,783.245593541786,171.2537810893,2.7263874903107e-05,61.5449679856639,62.4897980434637,3034402.46571004,814.152578830642,5.61918208615341,986.661946951356
10,10,1.78641314723402,21.3292957499833,78.2686279753389,170.620093978739,0.000339906100520405,38.9450234354941,38.9049480151682,2942059.17246351,110.095848792324,3.34009389188928,957.194066236612
