row_id,year,id,GDP（亿元）,地方一般公共预算支出（亿元）,环境保护支出（亿元）,占比
84,2009,重庆,6530.01,1292.0928,50.0481,0.03873413736227
85,2009,四川,14151.28,3590.7175,114.4732,0.0318803136142011
86,2009,贵州,3912.68,1372.2654,55.3084,0.040304448396061
87,2009,云南,6169.75,1952.3395,82.1579,0.0420817690775605
88,2009,西藏,441.36,470.1322,9.7535,0.0207462922131264
89,2009,陕西,8169.8,1841.6388,79.5011,0.0431686712942842
90,2009,甘肃,3387.56,1246.2817,53.1503,0.0426470997688564
91,2009,青海,1081.27,486.7457,28.9845,0.0595475214264862
92,2009,宁夏,1353.31,432.3624,22.5874,0.0522418230632451
93,2009,新疆,4277.05,1346.9125,36.4226,0.0270415487271816
94,2010,北京,14113.58,2717.3174,60.8541,0.0223949178701023
95,2010,天津,9224.46,1376.8395,27.099,0.0196820326552223
96,2010,河北,20394.26,2820.2439,115.1556,0.0408317876336866
97,2010,山西,9200.86,1931.3641,82.3735,0.0426504251580528
98,2010,内蒙古,11672.0,2273.5046,107.9897,0.0474992221260516
99,2010,辽宁,18457.27,3195.8156,77.4426,0.0242324995221877
100,2010,吉林,8667.58,1787.2484,71.5473,0.0400320962659695
101,2010,黑龙江,10368.6,2253.2694,88.9983,0.0394974076335479
102,2010,上海,17165.98,3302.8862,47.3051,0.0143223523716924
103,2010,江苏,41425.48,4914.0598,139.8948,0.0284682738293091
104,2010,浙江,27722.31,3207.883,82.0725,0.0255846301127566
105,2010,安徽,12359.33,2587.6135,64.7203,0.0250115792022263
106,2010,福建,14737.12,1695.0906,39.7865,0.0234716067683934
107,2010,江西,9451.26,1923.2633,49.1411,0.0255508957093914
108,2010,山东,39169.92,4145.032,112.9334,0.0272454832676804
109,2010,河南,23092.36,3416.1426,96.3782,0.0282125810556035
110,2010,湖北,15967.61,2501.4027,96.3058,0.0385007180171349
111,2010,湖南,16037.96,2702.4752,90.82,0.0336062288379187
112,2010,广东,46013.06,5421.5432,239.1606,0.0441130119557103
113,2010,广西,9569.85,2007.5907,63.9887,0.0318733793696096
114,2010,海南,2064.5,581.3379,14.8874,0.0256088584625224
115,2010,重庆,7925.58,1709.0353,69.0101,0.0403795638393192
116,2010,四川,17185.48,4257.9806,112.9947,0.0265371570739425
117,2010,贵州,4602.16,1631.4792,54.3197,0.0332947548457866
118,2010,云南,7224.18,2285.7234,86.406,0.0378024742626339
119,2010,西藏,507.46,551.0362,11.7746,0.0213681061244252
120,2010,陕西,10123.48,2218.8283,82.8806,0.0373533184158504
121,2010,甘肃,4120.75,1468.581,68.307,0.0465122454941198
122,2010,青海,1350.43,743.4033,36.1484,0.0486255576212804
123,2010,宁夏,1689.65,557.5285,30.7857,0.0552181637351274
124,2010,新疆,5437.47,1698.9126,51.0155,0.0300283251769396
125,2011,北京,16251.93,3245.23,94.51,0.029122743226212
126,2011,天津,11307.28,1796.33,32.24,0.0179477044863694
127,2011,河北,24515.76,3537.39,105.48,0.0298185950658536
128,2011,山西,11237.55,2363.85,82.18,0.0347653192884489
129,2011,内蒙古,14359.88,2989.21,117.55,0.0393247714279024
130,2011,辽宁,22226.7,3905.85,74.2,0.0189971453076795
131,2011,吉林,10568.83,2201.74,102.42,0.0465177541399075
132,2011,黑龙江,12582.0,2794.08,92.27,0.0330233923151807
133,2011,上海,19195.69,3914.88,51.62,0.0131855893411803
