row_id,iter,RMSE
1,0,0.1823768707
2,1,0.1775393363
3,2,0.1719245008
4,3,0.1670636368
5,4,0.1626793325
6,5,0.1582106651
7,6,0.1537406606
8,7,0.1490973566
9,8,0.1448129559
10,9,0.140866009
11,10,0.1373746727
12,11,0.134231044
13,12,0.1308598177
14,13,0.1276654721
15,14,0.1247688012
16,15,0.1215019233
17,16,0.1186381296
18,17,0.1159758524
19,18,0.1133350884
20,19,0.1107969503
21,20,0.1082843589
22,21,0.1058647264
23,22,0.1036965256
24,23,0.1015541444
25,24,0.09926145562
26,25,0.09730511505
27,26,0.09571322789
28,27,0.09394379726
29,28,0.09205275165
30,29,0.09009421711
31,30,0.08843374213
32,31,0.08700900535
33,32,0.0855307575
34,33,0.08403324059
35,34,0.08281318873
36,35,0.08152266433
37,36,0.08017071576
38,37,0.07903080948
39,38,0.07806014675
40,39,0.07689645686
41,40,0.07595350158
42,41,0.07484755581
43,42,0.07394188723
44,43,0.07296990332
45,44,0.07211082634
46,45,0.07136018026
47,46,0.07067583595
48,47,0.0700846912
49,48,0.06918944012
50,49,0.06844231127
51,50,0.06781913452
52,51,0.06713783159
53,52,0.06651083847
54,53,0.06586279965
55,54,0.06529162301
56,55,0.06466316251
57,56,0.06407476109
58,57,0.06355412768
59,58,0.06309760166
60,59,0.06270189343
61,60,0.06227913538
62,61,0.06203344951
63,62,0.06148012653
64,63,0.06096912359
65,64,0.06051296125
66,65,0.05996830117
67,66,0.05954278209
68,67,0.05905224548
69,68,0.05869062779
70,69,0.05832902699
71,70,0.05797718833
72,71,0.0575322101
73,72,0.05714234829
74,73,0.0568613884
75,74,0.05647676421
76,75,0.05600047706
77,76,0.05584069601
78,77,0.05552289872
79,78,0.05528790755
80,79,0.05486841025
81,80,0.05456178134
82,81,0.05421807688
83,82,0.05402088578
84,83,0.0535904035
85,84,0.05340194317
86,85,0.05307391913
87,86,0.05277781072
88,87,0.05251569408
89,88,0.05223018963
90,89,0.05197435615
91,90,0.05172682666
92,91,0.05153491643
93,92,0.05129550785
94,93,0.05103424939
95,94,0.05062188598
96,95,0.05040513792
97,96,0.050150905
98,97,0.049944583
99,98,0.04972011303
100,99,0.04954607075
101,100,0.04927071449
102,101,0.04905698528
103,102,0.04885566597
104,103,0.04857949058
105,104,0.04839229077
106,105,0.04819754347
107,106,0.04801375267
108,107,0.04775018055
109,108,0.04753902841
110,109,0.04732315304
111,110,0.04711194052
112,111,0.04690000636
113,112,0.04662208051
114,113,0.04633952738
115,114,0.04614680627
116,115,0.04592468054
117,116,0.04580377609
118,117,0.04564872439
119,118,0.04551582026
120,119,0.04533451662
121,120,0.04520601144
122,121,0.04493597987
123,122,0.04475485922
124,123,0.04463373162
125,124,0.04446601151
126,125,0.04434484426
127,126,0.04405597524
128,127,0.04395532751
129,128,0.04362023922
130,129,0.04338316258
131,130,0.04330987371
132,131,0.04321298438
133,132,0.04310803513
134,133,0.0428793495
135,134,0.04274621139
136,135,0.0425620302
137,136,0.04243522493
138,137,0.04226310444
139,138,0.04202651403
140,139,0.04194737982
141,140,0.04169533004
142,141,0.04161414038
143,142,0.04140565002
144,143,0.04132586459
145,144,0.04124616113
146,145,0.04102870897
147,146,0.04075360192
148,147,0.04061941445
149,148,0.04040332559
150,149,0.04029068139
151,150,0.04018747964
152,151,0.03999912246
153,152,0.03987319798
154,153,0.03977130245
155,154,0.03961145666
156,155,0.0394144504
157,156,0.03917161852
158,157,0.03900358487
159,158,0.03894119781
160,159,0.03873843817
161,160,0.03863506743
162,161,0.03854919461
163,162,0.03847546775
164,163,0.03832792152
165,164,0.03812698257
166,165,0.03806346108
167,166,0.03797507907
168,167,0.03787328184
169,168,0.03782286789
170,169,0.03778344919
171,170,0.03762958554
172,171,0.03749587975
173,172,0.03741625849
174,173,0.03733187587
175,174,0.03719299192
176,175,0.0371248125
177,176,0.03694423997
178,177,0.03687640158
179,178,0.03682355381
180,179,0.03676633083
181,180,0.03655552423
182,181,0.03650176594
183,182,0.03645231027
184,183,0.03638266579
185,184,0.03614637188
186,185,0.03609498906
187,186,0.03600018917
188,187,0.03589872382
189,188,0.03564035122
190,189,0.03547612886
191,190,0.03525645545
192,191,0.0351863869
193,192,0.03497794217
194,193,0.03487679084
195,194,0.03469779186
196,195,0.0345058517
197,196,0.03446471222
198,197,0.03438627274
199,198,0.03420713313
200,199,0.03409321216
201,200,0.03405570301
202,201,0.03388779378
203,202,0.03384919575
204,203,0.03363913937
205,204,0.0335885662
206,205,0.03339182412
207,206,0.03336743133
208,207,0.03332732721
209,208,0.03314453129
210,209,0.03311561688
211,210,0.03293366752
212,211,0.03286097852
213,212,0.03270087967
214,213,0.03259867336
215,214,0.03251548476
216,215,0.03226725245
217,216,0.0321687817
218,217,0.03199314397
219,218,0.03188062853
220,219,0.03172679496
221,220,0.0316057396
222,221,0.03146474731
223,222,0.03130829457
224,223,0.03125476804
225,224,0.03108333809
226,225,0.03090417998
227,226,0.03084829445
228,227,0.03081455064
229,228,0.03061641782
230,229,0.03055491694
231,230,0.03048016096
232,231,0.03031365882
233,232,0.03011520811
234,233,0.03009119849
235,234,0.03003771124
236,235,0.02995292806
237,236,0.02980726623
238,237,0.02970292217
239,238,0.02966887011
240,239,0.02954154783
241,240,0.02943349436
242,241,0.02927688962
243,242,0.0292246104
244,243,0.02907004357
245,244,0.02899671303
246,245,0.02897293575
247,246,0.02890462672
248,247,0.02877407905
249,248,0.02873389908
250,249,0.02862510789
251,250,0.02859891133
252,251,0.02850821452
253,252,0.02835500125
254,253,0.02818610429
255,254,0.02804300709
256,255,0.02799562856
257,256,0.02787483382
258,257,0.02776288852
259,258,0.02773968415
260,259,0.0276085706
261,260,0.0275769557
262,261,0.02743089724
263,262,0.02741358164
264,263,0.02736766696
265,264,0.02731145908
266,265,0.02719161538
267,266,0.02713629303
268,267,0.02698773406
269,268,0.02697403662
270,269,0.02686467557
271,270,0.02672511257
272,271,0.02669751192
273,272,0.02658874403
274,273,0.0264482575
275,274,0.02632531505
276,275,0.02629273941
277,276,0.026259397
278,277,0.02617975561
279,278,0.02614546024
280,279,0.02602071256
281,280,0.02600633968
282,281,0.02596833665
283,282,0.02595002155
284,283,0.02579409818
285,284,0.02568975168
286,285,0.02565439968
287,286,0.02561169949
288,287,0.02557113402
289,288,0.02554485295
290,289,0.0254784444
291,290,0.02544116778
292,291,0.02540518314
293,292,0.02535412275
294,293,0.02520471596
295,294,0.02519674764
