row_id,ADMINCODE,REGION,ZONE,YEAR,PCGDP,PCRS,FSR,TIG,RUUR,HBTP,IPR,URIR,GCR,WEI,SDEI,EPES,UGPR,UWPR,PCURA,REPC
126,120000,天津,东部,2024,132143,30266.1290322581,58.930366671454,63.9458952636163,3.7,53.16,65,1.76387,38.2,7.97529014045237,3.76404796472549e-05,1.03005103005103,99.48,100.0,16.41,3580.808081
127,640000,宁夏,西部,2007,14458,3926.22950819672,33.090758734753,41.3286235186873,4.3,33.45,28,3.143653,33.5,42.4031449407475,0.042137648131267,5.27599751912342,74.58,90.07,17.16,310.818713
128,640000,宁夏,西部,2008,18554,4779.93527508091,29.268968916546,41.0990168539326,4.4,33.45,28,3.20538,37.8,33.311095505618,0.0305477528089887,5.39416530605958,75.68,87.25,14.82,322.058824
129,640000,宁夏,西部,2009,20382,5428.8,25.8071977056157,43.6725349332912,4.4,35.12,28,3.135755,38.8,32.6328254519618,0.0248046104049893,5.2248126561199,87.13,97.2,16.57,300.0
130,640000,宁夏,西部,2010,24984,6611.37440758294,27.5411188635589,43.7042692625819,4.4,36.8,28,2.944976,38.8,25.8656232105364,0.0197747661767512,5.52257277635284,88.01,98.23,17.35,332.121212
131,640000,宁夏,西部,2011,30161,7955.24691358025,31.1626127976654,43.3274666114505,4.4,39.6,33,2.91536,37.5,20.41205093695,0.0212444352417434,4.99072119675313,88.38,95.45,17.9,371.826625
132,640000,宁夏,西部,2012,32609,8960.54628224583,30.5382016752279,44.5565462224308,4.2,42.9,40,2.878837,38.4,18.2768653214453,0.0190802440168934,4.09204498125781,79.67,92.3,17.56,395.962733
133,640000,宁夏,西部,2013,35135,10037.5375375375,33.4251149076403,45.4311122567341,4.1,47.59,44,2.826161,38.5,16.5519611633802,0.0167418481763113,3.56972508889082,89.08,96.51,18.81,440.764331
134,640000,宁夏,西部,2014,36815,10873.1563421829,33.9707131790694,46.21852136303,4.0,49.1,45,2.768728,38.0,15.0681110796718,0.0152431383645256,3.45844370033485,89.23,97.26,23.16,443.137255
135,640000,宁夏,西部,2015,37876,15201.7543859649,32.7978287029311,47.5226796929518,4.0,50.61,49,2.761926,37.9,12.4156780646662,0.0138636892300534,3.99564335215944,87.26,96.4,22.52,469.047619
136,640000,宁夏,西部,2016,40339,16267.6258992806,30.9005691329093,48.9214064859423,3.9,53.8,51,2.75609,40.4,12.2057237362479,0.0070647875170777,2.92457793294753,90.69,94.75,23.11,493.379791
137,640000,宁夏,西部,2017,45718,17782.9787234043,30.4192951529014,48.2361028653564,3.9,58.39,51,2.744645,40.4,12.2057237362479,0.0046276911539543,4.19659377321931,91.71,95.66,21.83,532.0
