row_id,ADMINCODE,REGION,ZONE,YEAR,PCGDP,PCRS,FSR,TIG,RUUR,HBTP,IPR,URIR,GCR,WEI,SDEI,EPES,UGPR,UWPR,PCURA,REPC
1,310000,上海,东部,2007,63951,18765.988372093,95.0863554691797,55.1437645103931,4.2,69.98,64,2.406725,37.6,17.596030655268,0.0038652969632028,0.918558175351106,100.0,100.0,4.5,7368.240343
2,310000,上海,东部,2008,69154,21378.7949556282,90.9337990377498,56.4914115113951,4.2,69.98,64,2.418133,37.8,15.3919336309667,0.0030680543994937,0.966876387860844,100.0,100.0,4.63,7297.131148
3,310000,上海,东部,2009,72363,23408.1447963801,84.9698125198602,59.9991106819799,4.3,72.19,64,2.403802,38.0,14.6431293830674,0.0024068756987498,1.13591892027495,100.0,100.0,4.48,7611.111111
4,310000,上海,东部,2010,79396,26863.2218844985,87.0019891670628,57.8613929915045,4.4,74.4,64,2.378047,38.2,13.8567935965706,0.0019988389876865,1.43238194429727,100.0,100.0,4.04,7946.341463
5,310000,上海,东部,2011,85897,30500.0,87.6100927742357,58.541107562832,3.5,75.48,66,2.356167,38.2,10.7025592587595,0.0011999180397507,1.31855893411803,99.87,100.0,4.04,8106.349206
6,310000,上海,东部,2012,89613,32681.9508128387,89.4763887361915,61.0266784319616,3.1,46.12,68,2.35675,38.3,10.2904400720937,0.001071079903875,1.31882734786163,100.0,100.0,4.08,8131.51751
7,310000,上海,东部,2013,95746,34955.0653594771,90.745504691285,63.7214974939774,4.0,47.33,71,2.336422,38.4,9.60877603526963,0.0009300080589206,1.24607771479549,100.0,100.0,4.11,34289.411765
8,310000,上海,东部,2014,102827,37711.7957032833,93.1371155127309,65.3131405867874,4.1,48.44,71,2.30469,38.4,8.75194896675083,0.0007443667935638,1.57044667955738,100.0,100.0,4.11,33546.969697
9,310000,上海,东部,2015,109186,47216.0292921074,89.1455465181634,68.2590099304497,4.0,50.85,73,2.282353,38.5,8.33663108565478,0.0006352512366571,1.68535877872459,100.0,100.0,4.27,32595.390071
10,310000,上海,东部,2016,121369,51026.3477908391,92.5883155512261,70.9418810854218,4.1,53.37,74,2.260658,38.6,7.38645564961354,0.0002174858634188,1.94263861227298,100.0,100.0,4.37,36281.180812
11,310000,上海,东部,2017,133489,55553.5279805353,88.0046955199122,70.7313591495824,3.9,55.67,74,2.249632,39.1,7.38645564961354,4.19134396355353e-05,2.97656744775174,100.0,100.0,4.51,37665.427509
12,310000,上海,东部,2018,145767,60100.202020202,85.1118476352864,70.9386923175181,3.5,57.36,74,2.239802,36.2,7.38645564961354,3.08232301634464e-05,2.79457441382068,100.0,100.0,4.58,39160.594796
13,310000,上海,东部,2019,153299,62349.8589278517,87.600620103481,72.884046373027,3.6,60.32,74,2.217653,36.8,7.38645564961354,1.97432846507808e-05,2.25044258174314,100.0,100.0,4.72,41274.906367
14,310000,上海,东部,2020,156803,61049.8392282958,86.9687032143479,73.3949639789237,3.7,61.2,74,2.189482,37.3,7.38645564961354,1.38591957046759e-05,2.24484732989308,100.0,100.0,4.76,382.706767
15,310000,上海,东部,2021,175420,67570.5102450783,92.1827666453956,73.7412148479378,2.7,64.43,74,2.139846,37.7,7.38645564961354,1.32865402765433e-05,1.88948695625357,100.0,100.0,4.81,425.56391
16,310000,上海,东部,2022,180536,60275.5555555556,80.9964867454487,74.3197252343832,2.7,66.82,74,2.11518,38.1,7.38645564961354,1.49523199528667e-05,2.16980730331098,100.0,100.0,5.0,230.681818
17,310000,上海,东部,2023,190321,65885.8061921994,86.2425831378501,75.2024092149932,2.7,70.35,74,2.081441,37.8,7.38645564961354,1.35539521418421e-05,2.6453258854325,100.0,100.0,4.98,474.045802
18,310000,上海,东部,2024,217140,64001.2096774193,84.8030955438265,78.2347149000402,2.7,70.35,74,2.039589,37.8,7.38645564961354,1.35539521418421e-05,2.6453258854325,100.0,100.0,4.98,474.045802
19,530000,云南,西部,2007,11287,3151.30704474967,42.8736280192386,42.7462874699649,4.2,28.88,22,3.970932,31.0,16.4964351833616,0.0105112853035017,2.76422191293318,77.57,95.41,9.28,156.962435
20,530000,云南,西部,2008,13286,3884.437596302,41.7652900206769,42.1932652993385,4.2,28.88,22,3.845878,32.0,13.9389356114749,0.0083435827543795,3.9762215692676,76.1,95.22,12.09,165.703022
21,530000,云南,西部,2009,14427,4487.20192518049,35.7647745781985,44.4040520807983,4.3,31.79,22,3.818629,36.3,13.3230408858603,0.0075946093940131,4.20828339326142,77.68,96.23,10.0,180.344713
22,530000,云南,西部,2010,16866,5553.67231638418,38.114467213832,43.6608793453389,4.2,34.7,22,3.58863,37.3,11.8924928574199,0.0064729228342792,3.78042804892988,76.4,96.5,10.9,205.224626
23,530000,云南,西部,2011,20653,6722.72727272727,37.9287274713271,45.3119257384675,4.1,38.01,25,3.473114,38.7,15.4910690846468,0.0072581407314844,3.27211906062261,74.21,95.09,11.97,227.918089
24,530000,云南,西部,2012,23992,7769.1643273591,37.455285417588,45.0429830410727,4.0,41.78,28,3.435245,39.3,13.8780254834466,0.0060572746769513,2.83038408356799,66.46,94.32,11.92,258.968059
25,530000,云南,西部,2013,27665,8861.45227321698,39.3334814268731,46.3646641456474,4.0,44.84,33,3.340274,37.8,12.2087248060504,0.0051701688043351,2.57023661604634,71.53,97.92,12.29,295.763016
26,530000,云南,西部,2014,30217,9956.80206318504,38.2620020820283,47.4137746854013,4.0,47.71,35,3.258986,38.1,11.2197241074799,0.0045343512537655,2.45336842437325,76.18,97.85,17.12,318.537477
27,530000,云南,西部,2015,32117,13705.3399099292,38.3654831598,49.3917112299465,4.0,50.11,37,3.19983,37.3,11.5864304812834,0.0039017379679144,2.84499971354791,76.79,97.33,14.23,343.667794
28,530000,云南,西部,2016,35051,15443.0190292923,36.1095946091343,51.2926873969088,3.6,53.15,40,3.171951,37.8,11.0629238194148,0.0027594843912273,2.9913167532069,78.78,96.66,15.76,367.94129
29,530000,云南,西部,2017,39458,17461.751544854,33.0155768365666,53.17429406037,3.2,57.24,40,3.142973,38.9,11.0629238194148,0.0014070107108081,3.14162335877836,75.93,96.71,12.52,405.95002
30,530000,云南,西部,2018,44446,19556.2406974272,32.8286444675993,53.2288344204669,3.4,60.29,40,3.109955,39.8,11.0629238194148,0.0011848318534908,2.79521253392987,77.31,96.6,14.11,424.514563
31,530000,云南,西部,2019,49323,21766.8646584642,30.6282486643457,52.2123855699756,3.3,64.2,40,3.044698,39.7,11.0629238194148,0.0010153377138969,3.03038807460462,77.92,97.08,15.0,497.603306
32,530000,云南,西部,2020,52047,21172.8081321474,30.3510744161904,51.1347670805556,3.9,68.9,40,2.920106,40.5,11.0629238194148,0.0007191812898838,2.35115471421074,78.65,98.1,16.62,695.125053
33,530000,云南,西部,2021,57717,23589.552238806,34.3407653488807,50.7816181668237,3.8,70.42,40,2.881243,42.5,11.0629238194148,0.0006372967719132,2.05144128446452,78.53,99.02,18.1,756.750871
34,530000,云南,西部,2022,60868,24031.3232473897,29.0973299163108,50.5457678044271,3.8,72.72,40,2.783918,43.1,11.0629238194148,0.0006464468187182,2.19335232895359,71.75,99.01,17.4,731.421006
35,530000,云南,西部,2023,64107,25982.4523860475,31.9378075743528,51.8242169673996,3.8,77.02,40,2.662612,43.7,11.0629238194148,0.0006238945275156,2.28823431519388,76.69,98.94,19.1,931.045455
36,530000,云南,西部,2024,67612,26833.0827067669,31.9568882238176,53.945094358171,3.8,77.02,40,2.596676,43.7,11.0629238194148,0.0006238945275156,2.28823431519388,76.69,98.94,19.1,931.045455
37,150000,内蒙古,西部,2007,21334,8085.63194730342,45.4915874379799,44.1599411639474,4.0,33.28,31,3.073123,28.1,11.6907623526679,0.0281755017515338,5.70354149920078,75.6,81.45,12.23,281.585467
38,150000,内蒙古,西部,2008,25620,10077.7414075286,44.7334951222698,44.6046392413174,4.1,33.28,31,3.035995,30.6,11.2810777905934,0.0229238754325259,5.47790756030992,74.25,82.03,12.76,309.322034
39,150000,内蒙古,西部,2009,28982,11616.3547599674,44.1583110170019,45.7954449480589,4.0,35.69,31,3.138246,32.4,10.2974296894795,0.0196897609864587,5.08085777750099,75.51,87.89,13.62,359.075044
40,150000,内蒙古,西部,2010,33262,13689.3203883495,47.0631185396965,44.8981085135185,3.9,38.1,31,3.122837,33.4,11.2864791034037,0.0170014268466688,4.74994501869364,79.26,87.97,14.89,440.090909
41,150000,内蒙古,西部,2011,38276,16160.7287449393,45.3855701004613,43.3956079973779,3.8,40.81,35,2.998127,34.1,10.6140768230406,0.0149015129888666,3.93247714279023,82.23,91.39,15.77,492.931197
42,150000,内蒙古,西部,2012,42441,18557.224025974,45.3226658571683,42.6290102291287,3.7,44.5,39,2.967697,36.2,9.78252356711015,0.0132271898071651,3.84093356956675,84.39,94.43,17.67,538.04878
43,150000,内蒙古,西部,2013,46320,20831.7718940937,46.683050681944,43.3569748253221,3.7,48.07,44,2.894157,36.2,9.38520417120185,0.0119263719672764,3.58359645410848,87.93,96.23,19.69,604.056795
44,150000,内蒙古,西部,2014,49585,23101.6741527154,47.517512976871,44.4621736770246,3.6,51.5,46,2.84182,39.8,9.20506324949417,0.0107943610073859,3.67914267599317,92.28,97.79,21.1,660.251046
45,150000,内蒙古,西部,2015,52972,16817.6229508197,46.1908882284338,46.7155764923932,3.7,53.32,50,2.839087,39.2,8.5613560892733,0.0095057533400262,4.12065949362326,94.09,98.47,22.61,781.189189
46,150000,内蒙古,西部,2016,56560,18127.6683087028,44.6833499161258,47.5651410876549,3.7,55.25,52,2.840469,39.9,7.59255364666807,0.0041300138513195,3.53202399445123,94.9,98.98,23.45,796.973094
47,150000,内蒙古,西部,2017,61196,19081.792026305,37.5990357466892,49.4962444875521,3.6,59.44,52,2.834552,40.2,7.59255364666807,0.0025379075184083,3.1715721876497,96.01,99.1,23.89,916.376307
48,150000,内蒙古,西部,2018,66491,20034.2691990091,38.4490402487033,49.9027309674861,3.6,62.75,52,2.775121,40.6,7.59255364666807,0.0022508178033306,3.36792605133852,94.76,99.23,22.75,1024.071856
49,150000,内蒙古,西部,2019,71170,20565.6314699793,40.3788735735388,49.8829339143065,3.7,63.43,52,2.668455,40.5,7.59255364666807,0.0020473493100944,3.02847923213701,95.8,99.27,23.32,1125.432099
50,150000,内蒙古,西部,2020,71640,19163.9617145235,38.9210194756895,48.2158998725229,3.8,67.4,52,2.496107,40.5,7.59255364666807,0.0015870900451964,2.83425930142538,97.26,99.5,23.93,1382.330346
51,150000,内蒙古,西部,2021,88137,20048.75,44.8500544892043,42.1973920438439,3.8,69.42,52,2.42008,42.0,7.59255364666807,0.0010620806954549,2.74583601326063,97.86,99.58,25.52,1569.986894
52,150000,内蒙古,西部,2022,97433,19343.1903373594,47.971024338876,40.1100522042507,3.8,69.84,52,2.357059,41.9,7.59255364666807,0.0008666504196435,2.40433445997588,97.96,99.7,24.57,1369.893899
53,150000,内蒙古,西部,2023,102677,20588.4808013356,45.1072519396627,41.3615137856824,3.8,72.26,52,2.293766,42.2,7.59255364666807,0.000894140577415,2.60464816916902,97.76,99.13,23.93,2443.621399
54,150000,内蒙古,西部,2024,110011,21578.3082077052,45.4710134468046,44.984913318082,3.8,72.26,52,2.257375,42.2,7.59255364666807,0.000894140577415,2.60464816916902,97.76,99.13,23.93,2443.621399
55,110000,北京,东部,2007,63629,22883.0548926014,90.4904516520158,75.8985180566879,1.8,69.91,69,2.654448,36.2,10.3416622703947,0.0014550860869982,1.7932706880873,100.0,100.0,5.6,1581.538462
56,110000,北京,东部,2008,68541,26230.9429700734,93.7747857642309,77.6688591478951,1.8,69.91,69,2.677875,37.2,9.58757650405059,0.0010412169540594,1.81034966748159,100.0,100.0,6.21,1600.749064
57,110000,北京,东部,2009,71059,28547.8494623656,87.3862298813902,77.8837135393655,1.4,71.7,69,2.680406,47.7,10.9149749242301,0.0009208659860939,2.33037419644128,100.0,100.0,6.15,1573.835125
58,110000,北京,东部,2010,78307,32315.494393476,86.6268970897796,77.5735097567495,1.4,73.5,69,2.597995,46.7,9.11621224271585,0.0007691793638064,2.23933876024907,100.0,100.0,5.57,1613.818182
59,110000,北京,东部,2011,86246,35682.8063241107,92.6368855212111,78.4871544261379,1.4,73.96,70,2.646267,45.6,8.46301079772875,0.0005695569207856,2.9122743226212,100.0,100.0,5.26,1627.240143
60,110000,北京,东部,2012,92758,39092.8777670837,89.9498278299519,78.9515734807908,1.3,48.41,72,2.623235,46.2,7.37325687133043,0.0004930432542957,3.0808805772106,100.0,100.0,7.57,1660.0
61,110000,北京,东部,2013,100569,41751.0588235294,87.7194117393367,79.5212589781685,1.2,49.18,75,2.605929,47.1,6.84091489784524,0.0004116472514265,3.31052361716096,100.0,100.0,7.61,1679.238754
62,110000,北京,东部,2014,106732,44394.2883463842,89.0045019857802,79.9699031667103,1.3,51.03,75,2.572322,49.1,6.57393352525517,0.000344150745878,4.71548201305289,100.0,100.0,7.44,1725.59727
