row_id,province,year,GDP
174,湖南省,2015年,28538.6
175,湖南省,2016年,30853.5
176,湖南省,2017年,33828.1
177,湖南省,2018年,36329.7
178,湖南省,2019年,39894.1
179,湖南省,2020年,41542.6
180,湖南省,2021年,45713.5
181,湖南省,2022年,47558.6
182,湖南省,2023年,50012.9
183,吉林省,2010年,6410.5
184,吉林省,2011年,7734.6
185,吉林省,2012年,8678.0
186,吉林省,2013年,9427.9
187,吉林省,2014年,9966.5
188,吉林省,2015年,10018.0
189,吉林省,2016年,10427.0
190,吉林省,2017年,10922.0
191,吉林省,2018年,11253.8
192,吉林省,2019年,11726.8
193,吉林省,2020年,12256.0
194,吉林省,2021年,13163.8
195,吉林省,2022年,12818.1
196,吉林省,2023年,13531.2
197,江苏省,2010年,41383.9
198,江苏省,2011年,48839.2
199,江苏省,2012年,53701.9
200,江苏省,2013年,59349.4
201,江苏省,2014年,64830.5
202,江苏省,2015年,71255.9
203,江苏省,2016年,77350.9
204,江苏省,2017年,85869.8
205,江苏省,2018年,93207.6
206,江苏省,2019年,98656.8
207,江苏省,2020年,102807.7
208,江苏省,2021年,117392.4
209,江苏省,2022年,122089.3
210,江苏省,2023年,128222.2
211,江西省,2010年,9383.2
212,江西省,2011年,11584.5
213,江西省,2012年,12807.7
214,江西省,2013年,14300.2
215,江西省,2014年,15667.8
216,江西省,2015年,16780.9
217,江西省,2016年,18388.6
218,江西省,2017年,20210.8
219,江西省,2018年,22716.5
220,江西省,2019年,24667.3
221,江西省,2020年,25782.0
222,江西省,2021年,29827.8
223,江西省,2022年,31213.8
224,江西省,2023年,32200.1
225,辽宁省,2010年,13896.3
226,辽宁省,2011年,16354.9
227,辽宁省,2012年,17848.6
228,辽宁省,2013年,19208.8
229,辽宁省,2014年,20025.7
230,辽宁省,2015年,20210.3
231,辽宁省,2016年,20392.5
232,辽宁省,2017年,21693.0
233,辽宁省,2018年,23510.5
234,辽宁省,2019年,24855.3
235,辽宁省,2020年,25011.4
236,辽宁省,2021年,27569.5
237,辽宁省,2022年,28826.1
238,辽宁省,2023年,30209.4
239,内蒙古自治区,2010年,8199.9
240,内蒙古自治区,2011年,9458.1
241,内蒙古自治区,2012年,10470.1
242,内蒙古自治区,2013年,11392.4
243,内蒙古自治区,2014年,12158.2
244,内蒙古自治区,2015年,12949.0
245,内蒙古自治区,2016年,13789.3
246,内蒙古自治区,2017年,14898.1
247,内蒙古自治区,2018年,16140.8
248,内蒙古自治区,2019年,17212.5
249,内蒙古自治区,2020年,17258.0
250,内蒙古自治区,2021年,21166.0
251,内蒙古自治区,2022年,23388.9
252,内蒙古自治区,2023年,24627.0
253,宁夏回族自治区,2010年,1571.7
254,宁夏回族自治区,2011年,1931.8
255,宁夏回族自治区,2012年,2131.0
256,宁夏回族自治区,2013年,2327.7
257,宁夏回族自治区,2014年,2473.9
258,宁夏回族自治区,2015年,2579.4
259,宁夏回族自治区,2016年,2781.4
260,宁夏回族自治区,2017年,3200.3
261,宁夏回族自治区,2018年,3510.2
262,宁夏回族自治区,2019年,3748.5
263,宁夏回族自治区,2020年,3956.3
264,宁夏回族自治区,2021年,4588.2
265,宁夏回族自治区,2022年,5104.6
266,宁夏回族自治区,2023年,5315.0
267,青海省,2010年,1144.2
268,青海省,2011年,1370.4
269,青海省,2012年,1528.5
270,青海省,2013年,1713.3
271,青海省,2014年,1847.7
272,青海省,2015年,2011.0
273,青海省,2016年,2258.2
274,青海省,2017年,2465.1
275,青海省,2018年,2748.0
276,青海省,2019年,2941.1
277,青海省,2020年,3009.8
278,青海省,2021年,3385.1
279,青海省,2022年,3623.3
280,青海省,2023年,3799.1
281,山东省,2010年,33922.5
282,山东省,2011年,39064.9
283,山东省,2012年,42957.3
284,山东省,2013年,47344.3
285,山东省,2014年,50774.8
286,山东省,2015年,55288.8
287,山东省,2016年,58762.5
288,山东省,2017年,63012.1
289,山东省,2018年,66648.9
290,山东省,2019年,70540.5
291,山东省,2020年,72798.2
292,山东省,2021年,82875.2
293,山东省,2022年,87576.9
294,山东省,2023年,92068.7
295,山西省,2010年,8903.9
296,山西省,2011年,10894.4
297,山西省,2012年,11683.1
298,山西省,2013年,11987.2
299,山西省,2014年,12094.7
300,山西省,2015年,11836.4
301,山西省,2016年,11946.4
302,山西省,2017年,14484.3
303,山西省,2018年,15958.1
304,山西省,2019年,16961.6
305,山西省,2020年,17835.6
306,山西省,2021年,22870.4
307,山西省,2022年,25583.9
308,山西省,2023年,25698.2
309,陕西省,2010年,9845.2
310,陕西省,2011年,12175.1
311,陕西省,2012年,14142.4
312,陕西省,2013年,15905.4
313,陕西省,2014年,17402.5
314,陕西省,2015年,17898.8
315,陕西省,2016年,19045.8
316,陕西省,2017年,21473.5
317,陕西省,2018年,23941.9
318,陕西省,2019年,25793.2
319,陕西省,2020年,26014.1
320,陕西省,2021年,30121.7
321,陕西省,2022年,32838.2
322,陕西省,2023年,33786.1
323,上海市,2010年,17915.4
324,上海市,2011年,20009.7
325,上海市,2012年,21305.6
326,上海市,2013年,23204.1
327,上海市,2014年,25269.8
328,上海市,2015年,26887.0
329,上海市,2016年,29887.0
330,上海市,2017年,32925.0
331,上海市,2018年,36011.8
332,上海市,2019年,37987.6
333,上海市,2020年,38963.3
334,上海市,2021年,43653.2
335,上海市,2022年,44809.1
336,上海市,2023年,47218.7
337,四川省,2010年,17224.8
338,四川省,2011年,21050.9
339,四川省,2012年,23922.4
340,四川省,2013年,26518.0
341,四川省,2014年,28891.3
342,四川省,2015年,30342.0
343,四川省,2016年,33138.5
344,四川省,2017年,37905.1
345,四川省,2018年,42902.1
346,四川省,2019年,46363.8
347,四川省,2020年,48501.6
348,四川省,2021年,54088.0
349,四川省,2022年,56610.2
350,四川省,2023年,60132.9
351,天津市,2010年,6830.8
352,天津市,2011年,8112.5
353,天津市,2012年,9043.0
354,天津市,2013年,9945.4
355,天津市,2014年,10640.6
356,天津市,2015年,10879.5
357,天津市,2016年,11477.2
358,天津市,2017年,12450.6
359,天津市,2018年,13362.9
360,天津市,2019年,14055.5
361,天津市,2020年,14008.0
362,天津市,2021年,15685.1
363,天津市,2022年,16132.2
364,天津市,2023年,16737.3
365,西藏自治区,2010年,512.9
366,西藏自治区,2011年,611.5
367,西藏自治区,2012年,710.2
368,西藏自治区,2013年,828.2
369,西藏自治区,2014年,939.7
370,西藏自治区,2015年,1043.0
371,西藏自治区,2016年,1173.0
372,西藏自治区,2017年,1349.0
373,西藏自治区,2018年,1548.4
374,西藏自治区,2019年,1697.8
375,西藏自治区,2020年,1902.7
376,西藏自治区,2021年,2080.2
377,西藏自治区,2022年,2150.2
378,西藏自治区,2023年,2392.7
379,新疆维吾尔自治区,2010年,5360.2
380,新疆维吾尔自治区,2011年,6532.0
381,新疆维吾尔自治区,2012年,7411.8
382,新疆维吾尔自治区,2013年,8392.6
383,新疆维吾尔自治区,2014年,9264.5
384,新疆维吾尔自治区,2015年,9306.9
385,新疆维吾尔自治区,2016年,9630.8
386,新疆维吾尔自治区,2017年,11159.9
387,新疆维吾尔自治区,2018年,12809.4
388,新疆维吾尔自治区,2019年,13597.1
389,新疆维吾尔自治区,2020年,13800.7
390,新疆维吾尔自治区,2021年,16311.6
391,新疆维吾尔自治区,2022年,18042.7
392,新疆维吾尔自治区,2023年,19125.9
393,云南省,2010年,7735.3
394,云南省,2011年,9523.1
395,云南省,2012年,11097.4
396,云南省,2013年,12825.5
397,云南省,2014年,14041.7
398,云南省,2015年,14960.0
399,云南省,2016年,16369.0
400,云南省,2017年,18486.0
401,云南省,2018年,20880.6
402,云南省,2019年,23223.8
403,云南省,2020年,24555.7
404,云南省,2021年,27161.6
405,云南省,2022年,28556.1
406,云南省,2023年,30021.1
407,浙江省,2010年,27399.9
408,浙江省,2011年,31854.8
409,浙江省,2012年,34382.4
410,浙江省,2013年,37334.6
411,浙江省,2014年,40023.5
412,浙江省,2015年,43507.7
413,浙江省,2016年,47254.0
414,浙江省,2017年,52403.1
415,浙江省,2018年,58002.8
416,浙江省,2019年,62462.0
417,浙江省,2020年,64689.1
418,浙江省,2021年,74040.8
419,浙江省,2022年,78060.6
420,浙江省,2023年,82553.2
421,重庆市,2010年,8065.3
422,重庆市,2011年,10161.2
423,重庆市,2012年,11595.4
424,重庆市,2013年,13027.6
425,重庆市,2014年,14623.8
426,重庆市,2015年,16040.5
427,重庆市,2016年,18023.0
428,重庆市,2017年,20066.3
429,重庆市,2018年,21588.8
430,重庆市,2019年,23605.8
431,重庆市,2020年,25041.4
432,重庆市,2021年,28077.3
433,重庆市,2022年,28576.1
434,重庆市,2023年,30145.8
