row_id,省份,(全部),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1,,,,,,,,,,,,,,
2,,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,
3,1.0,0.202460657463331,0.224389255713455,0.240713709892062,0.252255584129849,0.266333710712669,0.268164051496515,0.272005836749499,0.278585600275051,0.284025963334493,0.287407661558703,0.296516862150647,0.301364419516034,3.17422331299231
4,2.0,0.12031183456645,0.14922799350015,0.168584857790867,0.182649044066727,0.206244337202103,0.205001029781813,0.210344259636857,0.223878278547048,0.236961060028029,0.243680188089013,0.25465885693352,0.262806899025265,2.46434863916784
5,3.0,0.0871169232968569,0.126296280246387,0.161813516450392,0.175803663299595,0.200209274170207,0.211358586355863,0.222497504303007,0.236164408603979,0.2476681194028,0.250516445937477,0.259682290575748,0.262031589134149,2.44115860177646
6,4.0,0.0690657933862569,0.110963543271843,0.146206274637603,0.162728087626821,0.189571290172142,0.196426767881007,0.205649990599254,0.225466941517704,0.228925678126988,0.236641648971601,0.252245951109192,0.264492921395559,2.28838488869597
7,5.0,0.0736846455998882,0.117208196225846,0.161041344685878,0.178545986173308,0.211304047216701,0.22018609759537,0.228140032612361,0.231469846322584,0.238947490681278,0.24790573668216,0.271255217361428,0.285130500932707,2.46481914208951
8,6.0,0.0969634710660517,0.137251816778248,0.174987595155603,0.192905923908139,0.216985489228615,0.213484355887288,0.220428115634359,0.232421867750303,0.240411984933703,0.24157152998686,0.250580144577072,0.254440811495405,2.47243310640165
9,7.0,0.0613170268163487,0.102967001987076,0.133818333575447,0.150182273526123,0.175683308994022,0.173735673745989,0.183770276470445,0.195221828986068,0.19843918708091,0.204022924729771,0.209817542995202,0.21286625516109,2.00184163406849
10,8.0,0.048187457095776,0.0902570279813149,0.134674297315711,0.151778603938727,0.172907160217788,0.172720987052071,0.177986580990173,0.185383615980945,0.189689474820808,0.19506247965901,0.201880851580786,0.207526622751613,1.92805515938472
11,9.0,0.166036285896211,0.190154788588492,0.206593504107689,0.221743875604443,0.236511848878365,0.239981569136465,0.246043237535962,0.25310395546675,0.259164302767142,0.263398862588254,0.27255475320861,0.278305881976273,2.83359286575466
12,10.0,0.206445697273443,0.231219536722056,0.253750999677309,0.264741046167966,0.284244151236747,0.289591777364066,0.302227438856992,0.317200666395321,0.327339471747659,0.33118378998241,0.342212247086182,0.346118237005561,3.49627505951571
13,11.0,0.20929674909919,0.216730432330075,0.224883553352736,0.234397716792233,0.259161148828406,0.265150079546372,0.271342727538563,0.282437591436186,0.291042550672512,0.293703494673356,0.303406749813508,0.307682569872149,3.15923536395529
14,12.0,0.092862076893154,0.132416038571053,0.161593412334534,0.182749753548872,0.20864639125321,0.216561994979673,0.227966181323098,0.245797370717822,0.257949080732535,0.26127242839164,0.271415530392833,0.275753031359892,2.53498329049832
15,13.0,0.137761236788802,0.163662694182161,0.187246292948225,0.196896243969854,0.222447114112866,0.236064908733509,0.25884742839866,0.26703107674813,0.271375900630243,0.261450872015236,0.274775080275698,0.278517382905177,2.75607623170856
16,14.0,0.073926725212064,0.113869043779957,0.144677328411071,0.162789044429114,0.187070721617675,0.185557920878401,0.197527130228521,0.213117333770293,0.223495350083943,0.229893062749139,0.237950931372638,0.24382964967142,2.21370424220424
17,15.0,0.116767846218849,0.161764807747236,0.222959429525314,0.230288601140802,0.248902215009359,0.260833427812196,0.271310664275788,0.292604851522098,0.298002902291899,0.302187462251066,0.318561565573409,0.327494115077695,3.05167788844571
18,16.0,0.0786674389484144,0.118746790210001,0.156159470485426,0.17184197404702,0.198760424783911,0.207072920986977,0.217694520284183,0.234882209118643,0.244860116675166,0.246814968589078,0.251225413584303,0.25647268187981,2.38319892959293
19,17.0,0.0902839339016143,0.129403119842202,0.166644749982121,0.183143513984043,0.215282032916777,0.22134121123464,0.230547317757749,0.246713904577592,0.261089318520375,0.264706125139284,0.271376010007436,0.275459836789906,2.55599107465374
20,18.0,0.0786360196724103,0.118075064975023,0.150212974881057,0.163522882979702,0.187006497094921,0.195646041879258,0.202263618120201,0.214386833560631,0.224182480211345,0.227975189810141,0.234651734568637,0.239857747603882,2.23641708535721
21,19.0,0.202437767533766,0.225233427346807,0.24582585732231,0.254763257624609,0.268211489147224,0.27527066268279,0.280724307229173,0.294221663649844,0.30343332837127,0.308200558154142,0.319223470092566,0.325899041568056,3.30344483072256
