row_id,全国主要城市间公路里程表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
1,地理矩阵,安徽省,北京市,福建省,甘肃省,广东省,广西壮族自治区,贵州省,海南省,河北省,河南省,黑龙江省,湖北省,湖南省,吉林省,,,,,,,,,,,,,,,,,
2,安徽省,0,1106,1172,1678,1378,1861,1806,0,954,649,2375,512,904,2015,162.0,503.0,1700.0,1684.0,1667.0,1902.0,649.0,1144.0,987.0,511.0,2004.0,996.0,3792.0,3716.0,2471.0,514.0,1743.0
3,北京市,1106,0,2257,1782,2478,2657,2618,0,279,722,1392,1253,1645,1032,1141.0,1609.0,717.0,578.0,1253.0,2006.0,457.0,503.0,1224.0,1490.0,2161.0,118.0,3896.0,3820.0,3228.0,1493.0,2136.0
4,福建省,1172,2257,0,2714,985,1714,2028,0,2131,1688,3256,1157,1130,3166,1116.0,725.0,2851.0,2772.0,2703.0,2938.0,1800.0,2183.0,2023.0,1107.0,2649.0,2147.0,4799.0,4752.0,2691.0,894.0,2485.0
5,甘肃省,1678,1782,2714,0,2724,2439,1789,0,1504,1233,3122,1557,1891,1814,1840.0,1989.0,2499.0,1204.0,529.0,224.0,1667.0,1280.0,691.0,2189.0,1084.0,1837.0,2114.0,2038.0,2178.0,2192.0,1278.0
6,广东省,1378,2478,985,2724,0,729,1359,0,2199,1756,3753,1225,833,3393,1540.0,875.0,3078.0,2840.0,2713.0,2948.0,2027.0,2251.0,2033.0,1653.0,2200.0,2374.0,403.0,4762.0,1706.0,1440.0,1870.0
7,广西壮族自治区,1861,2657,1714,2439,729,0,650,0,2378,1935,3976,1404,1012,3616,2023.0,1358.0,3301.0,3019.0,2753.0,2663.0,2297.0,2430.0,2073.0,2195.0,1491.0,2597.0,3302.0,4477.0,977.0,1982.0,1161.0
8,贵州省,1806,2618,2028,1789,1359,650,0,0,2339,1896,4009,1377,957,3649,1968.0,1303.0,3334.0,2575.0,2103.0,2013.0,2270.0,2144.0,1423.0,2121.0,841.0,2630.0,2956.0,3827.0,714.0,1908.0,511.0
9,海南省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,河北省,954,279,2131,1504,2199,2378,2339,0,0,443,1671,974,1366,1311,989.0,1406.0,996.0,813.0,1119.0,1728.0,314.0,224.0,945.0,1338.0,1882.0,333.0,3618.0,3542.0,2949.0,1341.0,1857.0
11,河南省,649,722,1688,1233,1756,1935,1896,0,443,0,2113,531,923,1753,746.0,963.0,1438.0,1084.0,1206.0,1457.0,434.0,495.0,542.0,1095.0,1479.0,734.0,3347.0,3271.0,2546.0,1098.0,1454.0
12,黑龙江省,2375,1392,3256,3122,3753,3976,4009,0,1671,2113,0,2572,2964,360,2410.0,2878.0,675.0,1918.0,2593.0,3346.0,1726.0,1895.0,2616.0,2759.0,3553.0,1379.0,5236.0,5160.0,4620.0,2762.0,3528.0
13,湖北省,512,1253,1157,1557,1225,1404,1377,0,974,531,2572,0,392,2212,674.0,432.0,1897.0,1615.0,1546.0,1781.0,893.0,1026.0,866.0,919.0,1492.0,1193.0,3642.0,3595.0,2014.0,875.0,1231.0
14,湖南省,904,1645,1130,1891,833,1012,957,0,1366,923,2964,392,0,2604,1066.0,405.0,2289.0,2007.0,1880.0,2115.0,1285.0,1418.0,1200.0,1223.0,1752.0,1585.0,3902.0,3929.0,1622.0,1010.0,1355.0
15,吉林省,2015,1032,3166,1814,3393,3616,3649,0,1311,1753,360,2212,2604,0,2050.0,2518.0,315.0,1610.0,2285.0,3038.0,1366.0,1535.0,2256.0,2399.0,3193.0,1019.0,4928.0,4852.0,4260.0,2402.0,3168.0
16,江苏省,162,1141,1116,1840,1540,2023,1968,0,989,746,2410,674,1066,2050,0.0,665.0,1735.0,1719.0,1829.0,2064.0,684.0,1213.0,1149.0,349.0,2166.0,1031.0,3954.0,3878.0,2633.0,352.0,1905.0
17,江西省,503,1609,725,1989,875,1358,1303,0,1406,963,2878,432,405,2518,665.0,0.0,2203.0,2047.0,1978.0,2213.0,1152.0,1458.0,1298.0,837.0,1924.0,1499.0,4074.0,4027.0,1968.0,624.0,1760.0
18,辽宁省,1700,717,2851,2499,3078,3301,3334,0,996,1438,675,1897,2289,315,1735.0,2203.0,0.0,1295.0,1970.0,2723.0,1051.0,1220.0,1941.0,2084.0,2878.0,704.0,4613.0,4537.0,3945.0,2087.0,2853.0
19,内蒙古自治区,1684,578,2772,1204,2840,3019,2575,0,813,1084,1918,1615,2007,1610,1719.0,2047.0,1295.0,0.0,675.0,1428.0,1035.0,589.0,1152.0,2068.0,2089.0,696.0,4239.0,3242.0,3156.0,2071.0,2064.0
20,宁夏回族自治区,1667,1253,2703,529,2713,2753,2103,0,1119,1206,2593,1546,1880,2285,1829.0,1978.0,1970.0,675.0,0.0,753.0,1433.0,895.0,680.0,2178.0,1613.0,1371.0,2643.0,2567.0,2684.0,2181.0,1592.0
21,青海省,1902,2006,2938,224,2948,2663,2013,0,1728,1457,3346,1781,2115,3038,2064.0,2213.0,2723.0,1428.0,753.0,0.0,1891.0,1504.0,915.0,2413.0,1308.0,2061.0,1890.0,1824.0,2402.0,2416.0,1502.0
22,山东省,649,457,1800,1667,2027,2297,2270,0,314,434,1726,893,1285,1366,684.0,1152.0,1051.0,1035.0,1433.0,1891.0,0.0,538.0,976.0,1033.0,1913.0,347.0,3781.0,3705.0,2907.0,1036.0,1888.0
