row_id,MODEL,PARAMS_JSON,learning_rate,max_depth,n_estimators,subsample,TRAIN_R2,TRAIN_MAE,TRAIN_RMSE,TRAIN_MAPE(%),VAL_R2,VAL_MAE,VAL_RMSE,VAL_MAPE(%),TEST_R2,TEST_MAE,TEST_RMSE,TEST_MAPE(%)
1,GBDT,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 1.0}",0.05,3,500,1.0,0.9962521913437079,0.004735109860434386,0.006012888674717136,1.08698313000257,0.4038203496116191,0.03237984766454038,0.03809379720571,5.691495887130324,0.5741739162184691,0.02676065453864596,0.03577017914252053,4.886314293671818
2,GBDT,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 1.0}",0.03,3,500,1.0,0.9897965744442482,0.007822210368530851,0.009921274329802943,1.818672986657613,0.387809445328806,0.03242752162032551,0.03860192866312678,5.674659618190444,0.5783147230595315,0.02722149966521087,0.03559583655355299,4.977299317768711
3,GBDT,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}",0.05,3,300,1.0,0.9904124432677676,0.007647561783616873,0.009617195213826315,1.778060333565531,0.3852528451583431,0.03272086664813594,0.03868244842569588,5.732931729522347,0.578294305242067,0.02657586113316013,0.03559669831057357,4.857778560250178
4,GBDT,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",0.03,2,300,0.8,0.9558840764291503,0.01679082667340362,0.02062966359483281,3.944661181176413,0.3740789880303046,0.03336922452999189,0.03903241808250458,5.756494638346173,0.5886162476659631,0.02731251446861054,0.03515835545061038,5.026150128905233
5,GBDT,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.05,3,300,0.8,0.9906514977968388,0.007635575662141682,0.009496541612181313,1.765282893339705,0.3682142318429031,0.03247934953408706,0.03921485475191662,5.661116974251536,0.5323634703346405,0.0276024668172467,0.03748514537166659,5.038407032194046
6,GBDT,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",0.03,2,500,0.8,0.9713436178126867,0.01344210275968872,0.01662666469421251,3.128833184167668,0.3635665119861385,0.03286384084278739,0.0393588321079741,5.681529977434126,0.5617933371010996,0.02767522944705769,0.03628644926519276,5.077475243832779
7,GBDT,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",0.05,3,500,0.8,0.9965035240660122,0.004681951828546861,0.00580777429076117,1.076915135951462,0.3586165357213398,0.03248628232154341,0.03951159585490426,5.669325278510487,0.5194099200929435,0.02766339525463428,0.03800076906266845,5.034611291982197
8,GBDT,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}",0.03,3,300,1.0,0.9805619709442792,0.01097808395423381,0.01369369251281594,2.563282352847612,0.3554607833482656,0.03345676059473567,0.0396086795974382,5.832360517553557,0.591395074755906,0.0267199291174385,0.0350394098984342,4.888767788615612
9,GBDT,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}",0.05,2,300,0.8,0.9715922528459264,0.01338968186688798,0.01655437752549445,3.116132851642084,0.3529448810871769,0.03339277838446122,0.03968590880865799,5.78976478843334,0.5689664286462888,0.0275623737990228,0.03598823380989962,5.059068201700414
10,GBDT,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",0.03,3,500,0.8,0.9909738408396224,0.007539099571183415,0.009331381641069223,1.745526663431795,0.3488879651603981,0.03348620564764573,0.03981012606237846,5.837864724314482,0.5721116276561611,0.02679747508477766,0.03585669255030149,4.904435090053137
11,GBDT,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 1.0}",0.05,2,500,1.0,0.9813165584939817,0.01061734081127881,0.01342526591533479,2.460161151539218,0.3455947662653814,0.0333775524384016,0.03991067504709234,5.815383378175199,0.5598675160829488,0.02821453169496631,0.03636609729742311,5.167412658743123
12,GBDT,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 0.8}",0.05,2,500,0.8,0.9830147112065651,0.01026417662600307,0.01280061766088194,2.37274678263019,0.3396166932759801,0.03354744833764784,0.04009255510093956,5.822648026156642,0.5532095252355494,0.02796306939230941,0.03664012425672653,5.102053075053497
13,GBDT,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.03,3,300,0.8,0.9817545749870586,0.01073087448021435,0.0132669609368744,2.497000203031809,0.3360216126118236,0.03415072718510941,0.0402015375159715,5.942515855109678,0.5813883775283528,0.02674851697980062,0.03546587066607444,4.910341755212865
14,GBDT,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 1.0}",0.03,2,300,1.0,0.9567740248967186,0.01665102329020633,0.02042052285403587,3.908310185209295,0.333071785886649,0.03484972735937957,0.04029073932800627,6.015619049233555,0.6092909285740664,0.02695199816723849,0.03426350066671133,4.934190201381013
15,GBDT,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 500, ""subsample"": 1.0}",0.03,2,500,1.0,0.9704056326142401,0.01364727915329873,0.016896586993025,3.181690095866392,0.3282843715932712,0.0345893808858464,0.04043509035489495,6.01099575967679,0.5910751206651207,0.0273210918322015,0.03505312584755225,5.004629375492908
16,GBDT,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 1.0}",0.05,2,300,1.0,0.9706302428565188,0.01353633125884871,0.01683234546282464,3.147038998974771,0.3185127478921849,0.03481520604735946,0.0407281383819708,6.047235878822286,0.5885956336417245,0.02735354407818406,0.03515923631441258,5.017006727316662
