row_id,MODEL,TRAIN_R2,TRAIN_MAE,TRAIN_RMSE,TRAIN_MAPE(%),TEST_R2,TEST_MAE,TEST_RMSE,TEST_MAPE(%)
1,OLS,0.856,0.028,0.036,6.449,-0.306,0.039,0.056,6.675
2,Ridge Regression,0.852,0.028,0.037,6.446,-0.257,0.037,0.055,6.293
