row_id,MODEL,SPLIT,R2,MAE,RMSE,MAPE(%)
1,CATBOOST_XGBOOST,TRAIN,0.9989330566152158,0.002494745732888723,0.003208227415859295,0.5689518148526268
2,CATBOOST_XGBOOST,VAL,0.532240598140024,0.0292569748449938,0.03374247650878084,5.071575031997157
3,CATBOOST_XGBOOST,TEST,0.7439683731286472,0.02270160654966821,0.0277365086349893,4.18464986840254
4,RF,TRAIN,0.9839385693223072,0.009310976253449727,0.01244762717359462,2.178938549692768
5,RF,VAL,0.3441310596562118,0.03123452125835779,0.03995528417209068,5.379020604276958
6,RF,TEST,0.4654703892611864,0.0268901652759438,0.04007659992381622,4.938777082418352
7,SVR,TRAIN,0.9180416832581543,0.02104813719090619,0.02811842386803439,5.011497989694665
8,SVR,VAL,0.5597449248840038,0.02688878817861148,0.03273541695841643,4.752047515565875
9,SVR,TEST,0.6512367804300168,0.02587176923182518,0.03237205905827863,4.756603298470851
10,XGBOOST,TRAIN,0.9998408578914024,0.000914979866378064,0.001239044808163953,0.2066704964547465
11,XGBOOST,VAL,0.5308674598867759,0.02975991354674678,0.03379196683590071,5.169542322332377
12,XGBOOST,TEST,0.7287080893745252,0.02331492302418781,0.02855113693972417,4.31983251575958
13,GBDT,TRAIN,0.9962521913437079,0.004735109860434386,0.006012888674717136,1.08698313000257
14,GBDT,VAL,0.4038203496116191,0.03237984766454038,0.03809379720571,5.691495887130324
15,GBDT,TEST,0.5741739162184691,0.02676065453864596,0.03577017914252053,4.886314293671818
16,ELM,TRAIN,0.9491623505003661,0.01691130787275755,0.02214558665018959,4.038407782506479
17,ELM,VAL,0.4164255116915432,0.0327598487203535,0.03768893282420912,5.727103375187076
18,ELM,TEST,0.6132657025252155,0.02799222044679017,0.03408876986913511,5.132189561393982
19,CatBoost,TRAIN,0.9956850227604163,0.005150179638573973,0.006451841844035242,1.178302344245679
20,CatBoost,VAL,0.4797299520890337,0.03045427776468922,0.03558607613271655,5.343842914361142
21,CatBoost,TEST,0.6968253026822534,0.02393497336083234,0.03018223952183592,4.412250538335032
22,AdaBoost,TRAIN,0.9127983647489617,0.02362189341240808,0.02900392495681758,5.570240367088885
23,AdaBoost,VAL,0.1940730885604571,0.03441800869532147,0.04429079955720693,5.871227260897428
24,AdaBoost,TEST,0.3051152806980418,0.03261687121217562,0.04569423024783459,6.00476031737451
