row_id,证券代码,证券简称,统计截止日期,年份,营业收入（亿元）,所属省份,Unnamed: 8
83,600980.0,北矿磁材,2011-12-31,2011.0,289177062.96,北京市,
84,601126.0,四方股份,2011-12-31,2011.0,1686559621.52,北京市,
85,601558.0,华锐风电,2011-12-31,2011.0,9506490078.47,北京市,
86,601600.0,中国铝业,2011-12-31,2011.0,145874433000.0,北京市,
87,601908.0,京运通,2011-12-31,2011.0,1775402299.91,北京市,
88,601991.0,大唐发电,2011-12-31,2011.0,72381865000.0,北京市,
89,601992.0,金隅股份,2011-12-31,2011.0,28744793854.2,北京市,
90,,,,,577819234319.35,北京市 汇总,
91,536.0,华映科技,2011-12-31,2011.0,2182537883.08,福建省,
92,547.0,闽福发A,2011-12-31,2011.0,408753586.7,福建省,
93,993.0,闽东电力,2011-12-31,2011.0,384930148.09,福建省,
94,2102.0,冠福家用,2011-12-31,2011.0,654688453.51,福建省,
95,2222.0,福晶科技,2011-12-31,2011.0,192068830.92,福建省,
96,2300.0,太阳电缆,2011-12-31,2011.0,3488386875.64,福建省,
97,2335.0,科华恒盛,2011-12-31,2011.0,942387893.91,福建省,
98,2396.0,星网锐捷,2011-12-31,2011.0,2644270656.53,福建省,
99,2509.0,天广消防,2011-12-31,2011.0,344711468.75,福建省,
100,2529.0,海源机械,2011-12-31,2011.0,375626430.32,福建省,
101,2578.0,闽发铝业,2011-12-31,2011.0,711325502.97,福建省,
102,2614.0,蒙发利,2011-12-31,2011.0,1886839584.65,福建省,
103,2639.0,雪人股份,2011-12-31,2011.0,303871469.96,福建省,
104,200512.0,闽灿坤B,2011-12-31,2011.0,2914385253.04,福建省,
105,300056.0,三维丝,2011-12-31,2011.0,285846227.9,福建省,
106,300062.0,中能电气,2011-12-31,2011.0,322501567.32,福建省,
107,300102.0,乾照光电,2011-12-31,2011.0,376907978.96,福建省,
108,600163.0,福建南纸,2011-12-31,2011.0,2116314213.86,福建省,
109,600203.0,*ST 福日,2011-12-31,2011.0,2114099563.77,福建省,
110,600388.0,龙净环保,2011-12-31,2011.0,3515235387.5,福建省,
111,600436.0,片仔癀,2011-12-31,2011.0,1021565728.37,福建省,
112,600483.0,福建南纺,2011-12-31,2011.0,1559173923.13,福建省,
113,600549.0,厦门钨业,2011-12-31,2011.0,11910403995.65,福建省,
114,600563.0,法拉电子,2011-12-31,2011.0,1325238015.38,福建省,
115,600592.0,龙溪股份,2011-12-31,2011.0,840950616.74,福建省,
116,600660.0,福耀玻璃,2011-12-31,2011.0,9689410198.0,福建省,
117,600734.0,实达集团,2011-12-31,2011.0,1135663157.28,福建省,
118,600802.0,福建水泥,2011-12-31,2011.0,1875637826.4,福建省,
119,600815.0,厦工股份,2011-12-31,2011.0,11992039858.72,福建省,
120,600870.0,ST 厦华,2011-12-31,2011.0,3253166001.89,福建省,
121,,,,,70768938298.94,福建省 汇总,
122,672.0,*ST 铜城,2011-12-31,2011.0,20278109.77,甘肃省,
123,791.0,西北化工,2011-12-31,2011.0,330154743.47,甘肃省,
124,2185.0,华天科技,2011-12-31,2011.0,1308920880.27,甘肃省,
125,2644.0,佛慈制药,2011-12-31,2011.0,271184334.08,甘肃省,
126,600192.0,长城电工,2011-12-31,2011.0,1836698185.26,甘肃省,
127,600516.0,方大炭素,2011-12-31,2011.0,4526045609.06,甘肃省,
128,600720.0,祁连山,2011-12-31,2011.0,3625421630.34,甘肃省,
129,600886.0,国投电力,2011-12-31,2011.0,21703539229.47,甘肃省,
