row_id,MODEL,PARAMS_JSON,model__activation,model__alpha,model__n_hidden,TRAIN_R2,TRAIN_MAE,TRAIN_RMSE,TRAIN_MAPE(%),VAL_R2,VAL_MAE,VAL_RMSE,VAL_MAPE(%),TEST_R2,TEST_MAE,TEST_RMSE,TEST_MAPE(%)
1,ELM,"{""model__activation"": ""sigmoid"", ""model__alpha"": 1.0, ""model__n_hidden"": 200}",sigmoid,1.0,200,0.9491623505003661,0.01691130787275755,0.02214558665018959,4.038407782506479,0.4164255116915432,0.0327598487203535,0.03768893282420912,5.727103375187076,0.6132657025252155,0.02799222044679017,0.03408876986913511,5.132189561393982
2,ELM,"{""model__activation"": ""sigmoid"", ""model__alpha"": 0.1, ""model__n_hidden"": 200}",sigmoid,0.1,200,0.9702181799050902,0.01287495665057883,0.01695001458107763,3.055959304144385,0.2054779832718994,0.03585224444879141,0.04397629726092948,6.202576792048383,0.5890022496038605,0.02854888995225146,0.03514185701305429,5.24550080163137
3,ELM,"{""model__activation"": ""sigmoid"", ""model__alpha"": 1.0, ""model__n_hidden"": 100}",sigmoid,1.0,100,0.9264130224998869,0.02049985642554631,0.026643724896179,4.904547426249636,0.1684079830615279,0.03682832807339641,0.044990502853276,6.495413754776758,0.4810825776489434,0.03105282654773872,0.03948699738843982,5.766075833148172
4,ELM,"{""model__activation"": ""sigmoid"", ""model__alpha"": 1.0, ""model__n_hidden"": 50}",sigmoid,1.0,50,0.8912345336736773,0.02530318479940573,0.03239216465228105,5.982455269802869,-0.1047313895236697,0.04183321585659895,0.05185540595366377,7.275357786950821,0.224823520528402,0.03710703668057985,0.04826199589338782,6.703916838196189
5,ELM,"{""model__activation"": ""sigmoid"", ""model__alpha"": 0.1, ""model__n_hidden"": 100}",sigmoid,0.1,100,0.9416506820142856,0.01833028326241842,0.02372533483393075,4.386125013122869,-0.2677020511925665,0.04629437838741077,0.05554874966970884,8.024141318579085,0.469395652062763,0.03174550833605096,0.03992917960452533,5.802654203110981
6,ELM,"{""model__activation"": ""sigmoid"", ""model__alpha"": 0.1, ""model__n_hidden"": 50}",sigmoid,0.1,50,0.9054858967480424,0.02409384716515897,0.03019553767691607,5.714534590822752,-0.4267791128961871,0.0488338418078615,0.05893103422584152,8.550158500945843,0.185101511463868,0.03765114409004271,0.04948308196982237,6.866001611010594
7,ELM,"{""model__activation"": ""relu"", ""model__alpha"": 1.0, ""model__n_hidden"": 100}",relu,1.0,100,0.9395823619368913,0.01915750406126102,0.02414217144962522,4.477194464253047,-0.6698650021447841,0.05406206535727057,0.0637538436133665,9.4981948806869,-0.1875243378722899,0.04050414392153491,0.05973463914811115,7.184389390712363
8,ELM,"{""model__activation"": ""sigmoid"", ""model__alpha"": 0.01, ""model__n_hidden"": 50}",sigmoid,0.01,50,0.9067955132441214,0.02396059265981882,0.0299856085992058,5.679569865950578,-0.7511422680153883,0.05482144135295124,0.0652869540136113,9.63889713779241,0.101795084506151,0.03893289678593627,0.051950854900094,7.132225622880418
9,ELM,"{""model__activation"": ""sigmoid"", ""model__alpha"": 0.01, ""model__n_hidden"": 200}",sigmoid,0.01,200,0.9798542571086569,0.01053046260114937,0.01394074880178714,2.497417010878018,-0.8261549939731061,0.05220337154126718,0.06667062234312819,9.08381249266184,0.1407392452129312,0.03918867325120994,0.05081213850878336,7.171763410177451
10,ELM,"{""model__activation"": ""sigmoid"", ""model__alpha"": 0.01, ""model__n_hidden"": 100}",sigmoid,0.01,100,0.9455168038143626,0.01781222235196398,0.02292586584417959,4.251489246219257,-0.8919728421344266,0.0599048232044266,0.06786145086338363,10.47037762652621,0.2956649305916025,0.03660923390321744,0.04600389900587935,6.669433258325316
11,ELM,"{""model__activation"": ""relu"", ""model__alpha"": 0.1, ""model__n_hidden"": 100}",relu,0.1,100,0.9429527420940146,0.01852955865293672,0.02345912693671779,4.330272615970593,-1.112568180315965,0.06028004527232088,0.07170856943253806,10.72155250881624,-0.1891131673498267,0.04274299372943495,0.05977458630055414,7.682504517211767
12,ELM,"{""model__activation"": ""relu"", ""model__alpha"": 0.01, ""model__n_hidden"": 100}",relu,0.01,100,0.9430420059648857,0.01847706191762205,0.02344076608682237,4.317176937273123,-1.232441013442779,0.06162041338879557,0.07371496908889137,10.98180254678737,-0.203523300208053,0.04325661228228699,0.06013568138988364,7.792138191619393
13,ELM,"{""model__activation"": ""tanh"", ""model__alpha"": 0.1, ""model__n_hidden"": 50}",tanh,0.1,50,0.658618317196406,0.0440442142164761,0.05738713792343224,10.10619396030367,-1.352786233591353,0.06071996591509182,0.07567578360426411,10.8037731041188,-0.7912663838726035,0.0598262566066563,0.07336434978323701,11.31589506613435
14,ELM,"{""model__activation"": ""tanh"", ""model__alpha"": 0.01, ""model__n_hidden"": 50}",tanh,0.01,50,0.658654481611683,0.0440383351584738,0.05738409817736684,10.10604861420074,-1.35525772049743,0.0609047616259343,0.07571552002708053,10.83897198087464,-0.794179728728063,0.0598533074211437,0.07342398603213679,11.32527186959526
15,ELM,"{""model__activation"": ""tanh"", ""model__alpha"": 1.0, ""model__n_hidden"": 50}",tanh,1.0,50,0.6558911626045063,0.04420258471531521,0.0576159028022868,10.12905021362878,-1.402729365260983,0.0603578349044589,0.07647475944488666,10.73592169546204,-0.8022045209555937,0.05963156696662696,0.07358800384284063,11.24226218118117
