row_id,Variable,ER,SDR,EER,IR
1,URB,0.0,0.0,0.000139,0.0
2,GOV,0.0,0.035008,0.738816,0.000279
3,INNO,0.0,0.0,0.924977,9e-06
4,EDU,0.012047,0.020839,0.0002,0.000364
5,OPENPC,0.0,0.0,0.825697,0.564288
6,FIN,0.0,0.0,7.8e-05,0.029062
7,DIG,0.0,0.0,0.0,0.908088
8,PRI,0.0,0.0,2e-06,1e-06
9,INC,0.0,0.0,6.9e-05,0.0
10,SOC,0.000304,8.3e-05,0.001902,0.051377
