row_id,MODEL,PARAMS_JSON,learning_rate,loss,n_estimators,TRAIN_R2,TRAIN_MAE,TRAIN_RMSE,TRAIN_MAPE(%),VAL_R2,VAL_MAE,VAL_RMSE,VAL_MAPE(%),TEST_R2,TEST_MAE,TEST_RMSE,TEST_MAPE(%)
1,AdaBoost,"{""learning_rate"": 0.05, ""loss"": ""linear"", ""n_estimators"": 200}",0.05,linear,200,0.9127983647489617,0.02362189341240808,0.02900392495681758,5.570240367088885,0.1940730885604571,0.03441800869532147,0.04429079955720693,5.871227260897428,0.3051152806980418,0.03261687121217562,0.04569423024783459,6.00476031737451
2,AdaBoost,"{""learning_rate"": 0.05, ""loss"": ""linear"", ""n_estimators"": 500}",0.05,linear,500,0.9198643892744938,0.02329363917495822,0.02780399705088456,5.485448777881103,0.1864226696732457,0.03483203479163959,0.04450052256378318,5.962773311925883,0.3031107070495349,0.03174739449323284,0.04576009116210769,5.843100348457424
3,AdaBoost,"{""learning_rate"": 0.1, ""loss"": ""linear"", ""n_estimators"": 200}",0.1,linear,200,0.9186578046580187,0.02332900323335033,0.0280125344032086,5.505530909970119,0.1786675495156834,0.03493206301542137,0.04471211178995795,5.978821428693619,0.2746659233018052,0.03246319045548589,0.04668464123393291,5.972202963441098
4,AdaBoost,"{""learning_rate"": 0.03, ""loss"": ""linear"", ""n_estimators"": 500}",0.03,linear,500,0.9168908641199831,0.02342574328588449,0.02831514836802482,5.517082881714296,0.1659183273652342,0.03523747846633027,0.04505779976628366,6.01791597157464,0.2841803392239299,0.03250421919902417,0.04637744256488887,5.970541215404221
5,AdaBoost,"{""learning_rate"": 0.05, ""loss"": ""square"", ""n_estimators"": 200}",0.05,square,200,0.9148559591932864,0.02383314302452166,0.02865969649108218,5.603872760661853,0.1634739178409252,0.03520128375748821,0.04512377600160216,6.009850547870501,0.2779653944945724,0.03216537803337421,0.04657833835544931,5.913282844950764
6,AdaBoost,"{""learning_rate"": 0.03, ""loss"": ""square"", ""n_estimators"": 200}",0.03,square,200,0.9121265039723794,0.02390943520161675,0.02911544355898932,5.61082698029399,0.1616665623954663,0.03472663732930074,0.04517249576109814,5.91188407828957,0.2546412090914582,0.03278222512455037,0.04732467868298105,6.010197323063776
7,AdaBoost,"{""learning_rate"": 0.1, ""loss"": ""linear"", ""n_estimators"": 500}",0.1,linear,500,0.9211997174660528,0.02356194762498464,0.02757136994540173,5.556467008831171,0.1471664195979299,0.03584350605768953,0.04556148153070589,6.137103779101327,0.2705353972758174,0.03243243291894249,0.04681737894934981,5.952387605257914
8,AdaBoost,"{""learning_rate"": 0.03, ""loss"": ""linear"", ""n_estimators"": 200}",0.03,linear,200,0.9107887027239043,0.02372232065998421,0.02933623565441662,5.583652977498428,0.1440602098376847,0.03587469936046987,0.04564437864626017,6.108505586703279,0.285087504997121,0.03315712075350132,0.04634804593827811,6.082292977963572
9,AdaBoost,"{""learning_rate"": 0.1, ""loss"": ""square"", ""n_estimators"": 200}",0.1,square,200,0.9208998243068479,0.02351858902326143,0.02762378481628688,5.541206524346405,0.1382686374241388,0.03580615613005534,0.04579854080765705,6.120055364572267,0.2614441293263922,0.03234171680910518,0.04710821649497039,5.941555162118481
10,AdaBoost,"{""learning_rate"": 0.03, ""loss"": ""square"", ""n_estimators"": 500}",0.03,square,500,0.9186466821232674,0.02357044875859641,0.0280144495207927,5.5364948119781,0.1352093163651219,0.03562034753650757,0.04587976583311693,6.078809125606098,0.2489154191195171,0.03237241203421998,0.04750610323192273,5.930475708182002
11,AdaBoost,"{""learning_rate"": 0.05, ""loss"": ""square"", ""n_estimators"": 500}",0.05,square,500,0.9207953115451929,0.02362163090070545,0.02764202804395902,5.549370606226898,0.1125556932533091,0.03633096847443683,0.04647680285809309,6.207063922497517,0.2597421557908618,0.03242073967741727,0.04716246479421422,5.941574817818045
12,AdaBoost,"{""learning_rate"": 0.1, ""loss"": ""square"", ""n_estimators"": 500}",0.1,square,500,0.9215277114049287,0.02376136419898132,0.02751392933830081,5.593678802941924,0.07520432528374654,0.0369337865284883,0.04744479630360061,6.299401656090166,0.2484864314562328,0.03188558142583178,0.04751966803113809,5.820665499854147
