row_id,province,year,地方财政一般预算收入(亿元)
175,湖南省,2016年,2697.88
176,湖南省,2017年,2757.82
177,湖南省,2018年,2860.84
178,湖南省,2019年,3007.15
179,湖南省,2020年,3008.66
180,湖南省,2021年,3250.69
181,湖南省,2022年,3101.76
182,湖南省,2023年,3360.51
183,吉林省,2010年,602.41
184,吉林省,2011年,850.1
185,吉林省,2012年,1041.25
186,吉林省,2013年,1156.96
187,吉林省,2014年,1203.38
188,吉林省,2015年,1229.35
189,吉林省,2016年,1263.78
190,吉林省,2017年,1210.91
191,吉林省,2018年,1240.89
192,吉林省,2019年,1116.95
193,吉林省,2020年,1085.02
194,吉林省,2021年,1143.98
195,吉林省,2022年,851.0
196,吉林省,2023年,1074.84
197,江苏省,2010年,4079.86
198,江苏省,2011年,5148.91
199,江苏省,2012年,5860.69
200,江苏省,2013年,6568.46
201,江苏省,2014年,7233.14
202,江苏省,2015年,8028.59
203,江苏省,2016年,8121.23
204,江苏省,2017年,8171.53
205,江苏省,2018年,8630.16
206,江苏省,2019年,8802.36
207,江苏省,2020年,9058.99
208,江苏省,2021年,10015.16
209,江苏省,2022年,9258.88
210,江苏省,2023年,9930.18
211,江西省,2010年,778.09
212,江西省,2011年,1053.43
213,江西省,2012年,1371.99
214,江西省,2013年,1621.24
215,江西省,2014年,1881.83
216,江西省,2015年,2165.74
217,江西省,2016年,2151.47
218,江西省,2017年,2247.06
219,江西省,2018年,2373.01
220,江西省,2019年,2487.39
221,江西省,2020年,2507.54
222,江西省,2021年,2812.23
223,江西省,2022年,2948.33
224,江西省,2023年,3059.59
225,辽宁省,2010年,2004.84
226,辽宁省,2011年,2643.15
227,辽宁省,2012年,3105.38
228,辽宁省,2013年,3343.81
229,辽宁省,2014年,3192.78
230,辽宁省,2015年,2127.39
231,辽宁省,2016年,2200.49
232,辽宁省,2017年,2392.77
233,辽宁省,2018年,2616.08
234,辽宁省,2019年,2652.4
235,辽宁省,2020年,2655.75
236,辽宁省,2021年,2765.59
237,辽宁省,2022年,2525.07
238,辽宁省,2023年,2755.29
239,内蒙古自治区,2010年,1069.98
240,内蒙古自治区,2011年,1356.67
241,内蒙古自治区,2012年,1552.75
242,内蒙古自治区,2013年,1720.98
243,内蒙古自治区,2014年,1843.67
244,内蒙古自治区,2015年,1964.48
245,内蒙古自治区,2016年,2016.43
246,内蒙古自治区,2017年,1703.21
247,内蒙古自治区,2018年,1857.65
248,内蒙古自治区,2019年,2059.69
