row_id,VARIABLE,OLS_COEFFICIENT,RIDGE_COEFFICIENT
1,URB,0.0682317047095604,0.057976849519973
2,GOV,0.012349984348763,0.00801421588675441
3,INNO,0.0123266128515944,0.0101138966392366
4,EDU,0.0181747305673061,0.0157741998443821
5,OPENPC,-0.0549203514128518,-0.0441113299801175
6,FIN,-0.000607268288000013,0.00276862254330067
7,DIG,0.0184544830121047,0.0141631658578833
8,PRI,-0.00203064764305827,0.00247090183544693
9,INC,0.0535178663558891,0.0489852061263488
10,SOC,-0.011728643716949,-0.00998890424097597
