row_id,年份,能源消费部门,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,能源供应部门
1,,,,,,,
2,2010.0,345.355807253546,14312.6792032951,1398.26197767079,534.578837063184,1148.04562581014,5800.39298020673
3,2011.0,393.867026688815,15171.8565891225,1494.7386706473,620.825331089308,1205.1268300005,7973.61136411395
4,2012.0,448.948695152687,15494.5922429731,1618.15285440031,690.811109453895,1372.08810917275,8374.62509730998
5,2013.0,362.176278634877,16347.8093008019,1743.67099839747,738.213382347293,1469.90698360846,7541.32733109676
6,2014.0,383.723704577314,17018.5287899782,1915.87570012418,728.321082074771,1472.45179199036,6651.6046959323
7,2015.0,429.373902074431,17242.1899995931,2019.28551976246,756.825099866686,1566.16086537802,7019.77268170741
8,2016.0,433.462151293226,17724.5526430005,2083.59084078907,794.942977720326,1706.30588207097,7205.12212333935
9,2017.0,440.486349951252,17832.3201745844,2187.95748216309,861.243913814952,1862.64285859489,7485.23567762693
10,2018.0,457.994663493837,18123.6590114367,2324.65331105413,976.136262623808,2033.68690323234,7456.99649730273
11,2019.0,438.576122251079,19109.5523605921,2482.92505377501,1039.45971752752,2070.42768534482,7086.564445883
12,2020.0,423.781819260314,18872.7432996153,2484.46503299719,1023.15305358907,2180.60458621815,6453.24976276806
