row_id,ZONE,Dataset,R2,MAE,RMSE,MAPE(%)
1,西部,Train,0.9995429522433406,0.001448679094076317,0.001797665430998126,0.3451501405984853
2,西部,Test,0.9060991055708659,0.0170747034640012,0.0254790800410013,4.190831045996162
3,西部,All,0.9808466091433555,0.00463175813239435,0.0116109603075036,1.128529584290605
