row_id,电力生产量(亿千瓦小时),人口与社会类,甲烷排放量（千吨二氧化碳当量）,二氧化碳排放量（千吨）,耕地（占土地面积的百分比）,人均 GDP（2015年不变价美元）,电力的生产和供应业总投入(万元),高科技出口（现价美元）,能源消费与结构类1,能源消费与结构类2
1,13556.0,-1.94381775979243,807417.2368,3346525.8,12.6797199043056,2193.89686642786,85232150.48,136999618971.258,376.161022473953,-283.555386433607
2,14808.0,-1.67073822198482,800529.1555,3529081.3,12.742981982665,2359.57238508918,85006860.79,169873522766.816,465.013174911451,-253.385892756114
3,16540.0,-1.38290905708287,793448.8666,3796157.1,12.7849342939932,2557.8916119735,84781571.09,202747426562.375,404.050268549613,-177.117776069198
4,19105.8,-1.10814353215915,818239.3002,4424412.6,12.8055826110544,2797.17665915912,126171718.03,235621330357.934,496.005525439612,-99.4284091543862
5,22033.1,-0.850977286818605,864479.5989,5113216.6,12.8262305311048,3061.83317270117,160176791.525,268495234153.492,425.023894428014,-40.6621843404236
6,25002.6,-0.58924753802546,901769.085,5824625.1,12.8522049534502,3390.71615949399,194181865.02,301369137949.051,303.348672726253,-75.4084174701536
7,28657.3,-0.382301202683411,940300.2025,6437470.3,12.8888306349812,3800.76579592557,260415005.55,334243041744.61,218.927530520556,-154.920881853114
8,32815.5,-0.253358762071103,969728.9275,6993182.8,12.8828499568842,4319.03139754429,326648146.1,342573982177.0,186.72028740306,-57.6097055912128
9,34668.8,-0.158115185087219,987719.575,7199604.7,12.9088234363038,4711.64344920235,401977542.95,390966877665.0,20.9208774935423,-205.655998734618
10,37146.5,-0.089471442244297,1017352.598,7719071.4,12.9294708011995,5128.9041276874,439642241.375,359238436559.0,86.6893060741639,-12.3911382129722
11,42071.6,-0.0385822316619336,1065645.775,8474922.7,12.7960801051446,5647.06872715225,477306939.8,474347228702.0,110.820823338635,-122.680901711762
12,47130.2,0.151803056269075,1112586.85,9282553.7,12.6413860958174,6152.69687273613,490625696.1,540167515628.0,179.013301405474,43.731635277273
13,49875.5,0.257751410468169,1113082.918,9540539.7,12.4973437431264,6591.66249406498,503944452.38,593857571482.0,-7.36020935638897,32.5204986832691
14,54316.4,0.351489115449907,1136038.588,9979128.0,12.39590801698,7056.42309150833,559522937.95,655897281624.0,-4.46156186891795,-82.0160026199031
15,57944.6,0.466545981055146,1149171.233,10021043.4,12.3136452727788,7532.78530126065,587312180.73,653847619827.0,-92.4201441567629,-29.519061446813
16,58145.7,0.570652252275014,1147403.83,9859281.2,12.2356431912321,8016.44559491162,615101423.51,652212458371.0,-174.791364929101,-153.889958736802
17,61331.6,0.654484495223974,1107003.366,9860914.0,12.0845010177659,8516.52874232698,625043926.645,594520851399.0,-196.936085180304,-16.2493249701806
18,66044.5,0.69968960782546,1116767.24,10089273.2,11.9333575516526,9053.22872457598,634986429.78,654156803837.0,-299.112921598151,-12.36372098932
19,71661.3,0.724356655733572,1147167.921,10567262.0,11.7822140748875,9619.20947506207,646074064.09,731318634577.0,-394.813812387774,-29.9578888623993
20,75034.3,0.777889097849386,1163215.195,10762824.0,11.6275626557139,10155.510883076,733763093.545,715302940183.0,-261.757225949788,84.3142855138785
21,77790.6,0.265584375852529,1186285.181,10944686.2,11.6062593401724,10358.1699972413,821452123.0,757458883661.0,-501.304717716017,74.3143615920267
22,85342.5,1.03210208255291,1249816.68081524,12271300.2319048,11.5956076824016,11223.255347703,920026377.76,942314815525.0,-396.840702136089,70.4353866272036
23,87752.5,1.18823234496892,1271032.2550755,12677930.2278788,11.6621287346752,11560.2421221288,1039629806.8688,769699283036.0,-437.807145086418,180.722089691976
24,92070.6,1.32708174408721,1292247.82933576,13084560.2238528,11.5918832172677,11781.9376221441,1164385383.69306,883957806125.85,-337.907139009163,138.369403633738
