row_id,admincode,region,zone,year,urb,gov,inno,edu,openpc,fin,dig,pri,inc,soc
1,310000,上海,东部,1990,89.1005291005291,8.52463429956026,4.84809871291849,12.9867808294525,340012554.381603,8.8755272368303,1.48462354188759,85.7675574891237,2008,12.5692127168054
2,310000,上海,东部,1991,89.1005291005291,8.52463429956026,4.84809871291849,12.9867808294525,340012554.381603,8.8755272368303,1.48462354188759,85.7675574891237,2913,12.5692127168054
3,310000,上海,东部,1992,89.1005291005291,8.52463429956026,4.84809871291849,12.9867808294525,340012554.381603,8.8755272368303,1.48462354188759,85.7675574891237,3818,12.5692127168054
4,310000,上海,东部,1993,89.1005291005291,8.50842548709847,4.84809871291849,12.9867808294525,340012554.381603,9.10347551342812,1.48462354188759,85.7675574891237,4722,12.5692127168054
5,310000,上海,东部,1994,89.1005291005291,9.89100406851173,4.84809871291849,12.9867808294525,340012554.381603,10.4475362901201,1.48462354188759,85.7675574891237,5627,12.5692127168054
6,310000,上海,东部,1995,89.1005291005291,10.6385767046583,4.84809871291849,12.9867808294525,340012554.381603,9.29272070211668,1.48462354188759,85.7675574891237,6532,12.5692127168054
7,310000,上海,东部,1996,89.1005291005291,11.4955716586151,4.84809871291849,12.9867808294525,340012554.381603,10.9467257112185,1.48462354188759,85.7675574891237,7437,12.5692127168054
8,310000,上海,东部,1997,89.1005291005291,12.3775719273945,4.84809871291849,12.9867808294525,340012554.381603,12.2471358901105,1.48462354188759,85.7675574891237,8342,12.5692127168054
9,310000,上海,东部,1998,89.1005291005291,12.2696423910206,4.84809871291849,12.9867808294525,340012554.381603,12.1508744453145,1.48462354188759,85.7675574891237,9246,12.5692127168054
10,310000,上海,东部,1999,89.1005291005291,12.6362409113516,4.84809871291849,12.9867808294525,340012554.381603,12.2326693981953,1.48462354188759,85.7675574891237,10151,12.5692127168054
11,310000,上海,东部,2000,89.1005291005291,12.6461909313827,4.84809871291849,12.9867808294525,340012554.381603,12.5306512613773,1.48462354188759,85.7675574891237,11056,12.5692127168054
