row_id,year,province,province_2,id,income,gdp,tax_burden
1,2000,110000,北京市,北京,344.9968,3277.8,0.105252547440356
2,2000,120000,天津市,天津,133.6069,1591.67,0.0839413320600376
3,2000,130000,河北省,河北,248.7621,4628.15,0.0537497920335339
4,2000,140000,山西省,山西,114.4762,1845.72,0.0620225169581518
5,2000,150000,内蒙古自治区,内蒙古,95.032,1539.12,0.0617443734081813
6,2000,210000,辽宁省,辽宁,295.6274,4669.06,0.0633162563770866
7,2000,220000,吉林省,吉林,103.8267,1751.35,0.0592838096325692
8,2000,230000,黑龙江省,黑龙江,185.3379,2855.5,0.0649055857117843
9,2000,310000,上海市,上海,485.3777,4812.15,0.100865039535343
10,2000,320000,江苏省,江苏,448.3097,8553.69,0.0524112634430287
11,2000,330000,浙江省,浙江,342.7745,6164.79,0.0556019750875537
12,2000,340000,安徽省,安徽,178.7187,3125.33,0.0571839453753684
13,2000,350000,福建省,福建,234.1061,3764.54,0.0621871729348074
14,2000,360000,江西省,江西,111.5536,2003.07,0.0556913138332659
15,2000,370000,山东省,山东,463.6788,8278.06,0.0560129788863574
16,2000,410000,河南省,河南,246.4694,5052.99,0.0487769419690124
17,2000,420000,湖北省,湖北,214.345,3545.39,0.0604573826856848
18,2000,430000,湖南省,湖南,177.0403,3551.49,0.0498495842590012
19,2000,440000,广东省,广东,910.556,10810.21,0.0842311111440018
20,2000,450000,广西壮族自治区,广西,147.0539,2080.04,0.070697630814792
21,2000,460000,海南省,海南,39.1995,526.82,0.0744077673588702
22,2000,500000,重庆市,重庆,87.2442,1822.06,0.0478821773157854
23,2000,510000,四川省,四川,233.863,3928.2,0.0595343923425488
24,2000,520000,贵州省,贵州,85.2324,1029.92,0.0827563305887836
25,2000,530000,云南省,云南,180.745,2030.08,0.0890334371059269
26,2000,540000,西藏自治区,西藏,5.3848,117.8,0.0457113752122241
27,2000,610000,陕西省,陕西,114.9711,1804.0,0.0637312084257206
28,2000,620000,甘肃省,甘肃,61.2849,1052.88,0.0582069181673125
29,2000,630000,青海省,青海,16.5843,263.68,0.0628955552184466
30,2000,640000,宁夏回族自治区,宁夏,20.8244,295.02,0.0705864009219714
31,2000,650000,新疆维吾尔自治区,新疆,79.0724,1363.56,0.0579896740884156
32,2001,110000,北京市,北京,454.1676,3861.5,0.117614294963097
33,2001,120000,天津市,天津,163.635,1756.89,0.0931390126871916
34,2001,130000,河北省,河北,283.5023,5062.9,0.0559960299433131
35,2001,140000,山西省,山西,132.7618,2029.53,0.0654150468335033
36,2001,150000,内蒙古自治区,内蒙古,99.4313,1713.81,0.058017691576079
37,2001,210000,辽宁省,辽宁,370.4387,5033.08,0.073600797126213
38,2001,220000,吉林省,吉林,121.1015,1900.85,0.0637091301259963
39,2001,230000,黑龙江省,黑龙江,213.6398,3043.38,0.070198200684765
40,2001,310000,上海市,上海,609.4719,5257.66,0.115920751817348
41,2001,320000,江苏省,江苏,572.1473,9456.84,0.0605008967054534
42,2001,330000,浙江省,浙江,500.6948,6927.7,0.0722743190380646
43,2001,340000,安徽省,安徽,192.1813,3502.78,0.0548653640822432
44,2001,350000,福建省,福建,274.2846,4072.85,0.067344635820126
45,2001,360000,江西省,江西,131.979,2175.68,0.0606610347109869
46,2001,370000,山东省,山东,573.1793,9076.22,0.0631517636196566
47,2001,410000,河南省,河南,267.7459,5533.01,0.0483906408988959
48,2001,420000,湖北省,湖北,231.941,3880.53,0.0597704437280475
49,2001,430000,湖南省,湖南,205.4078,3831.9,0.0536046869699105
50,2001,440000,广东省,广东,1160.5126,12126.59,0.0956998298779789
51,2001,450000,广西壮族自治区,广西,178.6706,2279.34,0.0783869892161766
52,2001,460000,海南省,海南,43.7656,579.18,0.0755647639766567
53,2001,500000,重庆市,重庆,106.1243,2014.59,0.0526778649750073
54,2001,510000,四川省,四川,271.1245,4293.49,0.0631478121528174
55,2001,520000,贵州省,贵州,99.7494,1133.27,0.0880190951847309
56,2001,530000,云南省,云南,191.2799,2159.0,0.0885965261695229
57,2001,540000,西藏自治区,西藏,6.1108,139.16,0.0439120436907157
58,2001,610000,陕西省,陕西,135.8109,2010.62,0.0675467766161681
59,2001,620000,甘肃省,甘肃,69.9485,1125.37,0.0621560020260003
60,2001,630000,青海省,青海,19.8241,300.13,0.0660517109252657
61,2001,640000,宁夏回族自治区,宁夏,27.5745,337.44,0.0817167496443812
62,2001,650000,新疆维吾尔自治区,新疆,95.0933,1491.6,0.0637525475998927
63,2002,110000,北京市,北京,533.99,4525.7,0.1179905870915
64,2002,120000,天津市,天津,171.8323,1926.87,0.0891769034755848
65,2002,130000,河北省,河北,302.3068,5518.9,0.0547766402725181
66,2002,140000,山西省,山西,150.8245,2324.8,0.0648763334480385
67,2002,150000,内蒙古自治区,内蒙古,112.8546,1940.94,0.0581443012148753
68,2002,210000,辽宁省,辽宁,399.6888,5458.22,0.0732269494450572
69,2002,220000,吉林省,吉林,131.4885,2043.09,0.0643576641263968
70,2002,230000,黑龙江省,黑龙江,231.8908,3242.71,0.0715114210028032
71,2002,310000,上海市,上海,708.9518,5795.02,0.122338110998754
72,2002,320000,江苏省,江苏,643.6966,10606.85,0.0606868768767353
73,2002,330000,浙江省,浙江,566.8522,8040.66,0.0704982178079909
74,2002,340000,安徽省,安徽,200.2154,3827.66,0.0523075194766515
75,2002,350000,福建省,福建,272.8867,4467.55,0.0610819576725498
76,2002,360000,江西省,江西,140.5457,2450.48,0.0573543550651301
77,2002,370000,山东省,山东,610.2242,10076.52,0.0605590223608944
78,2002,410000,河南省,河南,296.7179,6035.48,0.0491622704407934
79,2002,420000,湖北省,湖北,243.4403,4212.82,0.0577855925484592
80,2002,430000,湖南省,湖南,231.1459,4151.54,0.055677146311971
81,2002,440000,广东省,广东,1201.6126,13601.89,0.0883415907642247
82,2002,450000,广西壮族自治区,广西,186.732,2523.73,0.0739904823416134
83,2002,460000,海南省,海南,46.2385,642.74,0.0719396645610978
84,2002,500000,重庆市,重庆,126.0674,2279.8,0.0552975699622774
85,2002,510000,四川省,四川,291.8746,4725.01,0.0617722713814362
