row_id,zone,dataset,r2,mae,rmse,field_006
1,中部,Train,0.9998552818696118,0.0008619097614179001,0.001084897216017984,0.1957373121687114
2,中部,Test,0.9564384705652493,0.01427506314619494,0.01668804830344741,3.331739447189773
3,中部,All,0.9926952630600949,0.003563169818074387,0.007551486680173132,0.8272932976937865
4,西部,Train,0.9995429522433406,0.001448679094076317,0.001797665430998126,0.3451501405984853
5,西部,Test,0.9060991055708659,0.0170747034640012,0.0254790800410013,4.190831045996162
6,西部,All,0.9808466091433555,0.00463175813239435,0.0116109603075036,1.128529584290605
7,东部,Train,0.9995032146828815,0.001644578093916659,0.002014884598204029,0.3055985256338036
8,东部,Test,0.9134229986976949,0.01795465273860238,0.02361745648113767,3.545082591071706
9,东部,All,0.9851811721663063,0.004939542668600643,0.01076676801169628,0.9600397509747937
