row_id,urb,gov,inno,edu,openpc,fin,dig,pri,inc,soc
1,-0.04650643083549397,-0.00270985097130981,-0.001209401946944333,-0.0004189645149643654,-0.004580486450295922,-0.008845358651630747,-0.001360671798436323,-0.04053564750385585,-0.04945929753747605,0.005272511460163311
2,-0.04050568164046518,-0.002610901681164467,0.001965139415021258,0.0008854057398447288,-0.003273126043244591,-0.001370909988893252,-0.001113870806510415,-0.02655409014698667,-0.04540254277933037,0.008333322381350974
3,-0.03970635037553635,-0.0006821164924570209,-0.0005669221538274474,0.001583844235556562,-0.003599673081268586,-0.0008073554070283043,0.0003880748528484448,-0.02548666963923109,-0.047224004473978,0.00863709278332969
4,-0.0375474376726001,7.88528324056336e-05,-0.0003379623541603388,0.002524750151872459,0.001518281216484453,-0.00117096900534322,-0.003013297590770138,-0.02368791042314098,-0.04702543908164744,0.005719477711194625
5,-0.03690005777455773,0.0002013750437388724,-0.0001764811790876263,0.00208756166246149,0.003791478817304229,-0.001552834118808628,-0.00165580489895389,-0.02363794869237995,-0.04378133540203727,0.004448277521033682
6,-0.03101075867318023,0.001646791686651256,-0.0007588556860591587,-0.0004765254583536193,0.0007329831124385051,-0.001821144677079815,-0.003255837847748201,-0.0214599689263371,-0.03578323736964303,-0.002828159732790578
7,-0.02151746485325216,-0.001186965798520719,-0.001315839361165932,0.0001814499293564565,-0.0003178039057904098,-0.000723643231867445,0.0001351202260242866,-0.01143239668445946,-0.0330070097420553,-0.002510787328871316
8,-0.01850147010985923,-0.001562424090986709,-0.001054320227495129,-0.0001015865876843946,-0.0003497448532615177,0.0009969279838053628,-0.001377560314300632,0.005478885437410369,-0.0273415075354438,0.0002453235221368896
9,-0.02538794458407399,-0.002284437894365519,-0.001679824770026241,0.0006985200619052004,-0.0007770610469131353,0.001569560151951555,-0.0007012872689744219,0.01385204293607239,-0.01897226289744941,0.001263887040446768
10,-0.02175883155001789,-0.002082557793844002,-0.0008248929768662045,0.0007956470581729561,-0.0003651817884896675,0.00225284117791943,-0.000823944055165886,0.0145295616067387,-0.002960147978112085,0.001664689756421691
11,-0.02267071604511411,-0.002342784878203339,-0.001191026252101708,0.0005076660216438787,-0.0001418626093992159,0.002021088985390442,-0.0005001962609122263,0.01481925501171198,0.01294449741779445,0.0006694334853049745
12,-0.02378256743843542,-0.002714199092419199,-0.0007742730448215142,0.0001288709726768829,0.0004888344597360188,0.001174841010849581,-0.0008275084320101601,0.01456293563537688,0.01617238511605429,0.001783384066884908
13,-0.01910472088484834,-0.002360164902893659,0.0002155555362726937,0.002072701609028756,0.001336036315476192,-2.810440413032759e-05,0.0004383244306961098,0.01416615429498086,0.02262946757176602,0.00134015882559471
14,-0.01751642980881448,-0.004083626832366604,-0.001089999141057396,0.0001076479035869184,-0.0005918339824010403,-0.0009115222512745865,-0.001023337729713422,0.01410748077558007,0.02331552968749302,0.001026491531584789
15,-0.01216822994476519,-0.003283810165450377,-0.0009078858729056518,0.0002371623352458824,-0.0003772777873301108,-0.002080544491002234,-0.0008469483529239962,0.01496640268076407,0.02347742638072262,0.001924178917788862
16,-0.009421343744040482,-0.003440773819446492,-0.0004446040451156254,3.70046058288749e-05,-0.0001713217236621907,-0.002137953289375539,0.0002893075085718081,0.01501053775781051,0.03034073802865414,0.003093289261237225
17,-0.001179601354447199,-0.001133951928651989,-0.0006785328890167433,0.0007205892142717823,0.001952566170446843,-0.002087844186811533,0.0002477826151492756,0.01612430514318313,0.03108718036393516,0.003538485503102821
