row_id,urb,gov,inno,edu,openpc,fin,dig,pri,inc,soc
1,0.01282164532134271,0.00616017628182733,0.01071129415006434,-0.01467896008211396,0.01524992797590436,-0.001489598279354886,-0.01827230529776517,0.03889646830360186,0.02126409397030063,0.002243282288162565
2,0.009938634951405387,0.002252841622221008,0.009210728671942118,-0.02199783105696741,0.01211415478022299,-0.004405475299038402,-0.02136049678934598,0.04111671705892497,0.03272176869433062,0.002301670597731435
3,0.01222533305089315,-0.0005930395305094851,0.01326123581598876,-0.0195390022700448,0.01178377497094771,0.001239337688910171,-0.02003865139083773,0.03791783956216302,0.04655684123139255,0.0005583344914663545
4,0.006374273833506442,-0.002825108277857502,0.0139529745540303,-0.02138938044181352,0.00834669909812072,-0.003957085617411983,-0.02396739506092232,0.03619001119339664,0.05649033504948355,-6.939157109819947e-05
5,0.007487163224066874,-0.005942344161422078,0.013782283247897,-0.008741653596993677,0.007840158612889316,-0.001285930249633154,-0.02232891824805244,0.03892292721444506,0.09074846364902621,-0.001478457178562237
6,0.003270099893609265,-0.0072924228420349,0.01413208239695372,-0.002252570614591525,0.007199663725995164,-0.003006690283220325,-0.02625061515795792,0.03727869825806392,0.09345879765519376,-0.006214688569464948
7,0.005316042456669104,-0.007380433173641316,0.01620651680131121,-0.0009787628281347042,0.008539119875557383,-0.003577493639452438,-0.01138790326607164,0.04154859944340869,0.1043964846420714,-0.003185938128295551
8,0.003408559415850679,-0.007268674715905282,0.01564684351703946,-0.00893559908155058,0.008349598192607383,-0.004024292589548553,-0.01075803381299021,0.03480258167803696,0.1024339084330529,-0.003697618546399844
9,0.01789356339851174,-0.005748886405461053,0.01222737038163001,-0.01269559933684405,0.01069938381759475,0.006262256354014211,-0.006801859905549911,0.04025512285071291,0.1122613429968694,-0.00616642860433385
10,0.01475382329968103,-0.003411028904818897,0.01908025263677725,-0.01344924203647486,0.01223831093437899,0.02363433473984672,-0.002479336348907566,0.04787292380886891,0.1484763809686662,0.00973739100388853
11,0.01378168560636999,0.000815041366553546,0.02035353569827974,-0.01313320834837236,0.01236593758782561,0.02348088596625087,-0.00320673364643433,0.04773626908392438,0.1498589971292557,0.009404565528671176
12,0.01418143416864696,-0.0005560295822958994,0.01932581863718681,-0.01347346057007444,0.01255059154265961,0.02733837660727795,0.006910464537464118,0.04849293743199969,0.1477382374147735,0.003196050802370594
13,0.01634722096241259,-0.001643256472582921,0.01894546942007862,-0.01492149040176227,0.01512517604431041,0.02725768165864732,0.008096163156580365,0.04869946260210786,0.15017742163917,0.008542439901410365
14,-0.0001653252536349906,-0.005730090001028009,0.01077225897599758,-0.01816431672839998,0.008746112734126694,0.02296652694072231,0.0739770214917458,0.05437028748589837,0.1345852849957251,0.003192640864773213
15,0.00534741957150397,-0.001622069830748428,0.01840861751236944,-0.0169822387626805,0.009079968319600326,0.02311058798673264,0.1012330049998721,0.05959652442225797,0.1423833632139444,0.005482028918758354
16,0.005128143007162071,-0.0007320113539076907,0.007286481122224063,-0.01735561367807775,0.009751315714056158,0.02330470972740725,0.1015990589063136,0.06019715635942167,0.1412593963543068,0.004279812410898602
17,0.005732803567599325,-0.003195881853620862,0.02062562092256049,-0.007540085553418236,0.009660562812555902,0.02693658732393791,0.1148124124065068,0.06569017021164442,0.1454975696735693,0.006279285809191573
18,0.00764492211949617,0.003190266750353894,0.02064436579391957,-0.007465618786872773,0.009615178768309182,0.02782571630868945,0.1140148109571244,0.06477794958926428,0.1510827427373446,0.006274260699243738
19,-0.04873714626103105,-0.006444456565290645,-0.007912113207561418,0.001271218819879993,-0.01036031248382655,-0.008660158547945232,-0.00579983794818165,-0.07981549373320707,-0.1581550976441853,0.004051532971906041
20,-0.04583811601069991,-0.008667573098892961,-0.005920737081729314,0.001400106862276406,-0.00929755696739172,0.002729499768369532,-0.005293445439749892,-0.06388688316113741,-0.1494737609749847,0.00997519005715844
21,-0.04490475356548203,-0.01148761590443739,-0.0064534707717351,-5.633706444783521e-05,-0.009498780471475784,0.0008861569830359873,-0.003504242657727473,-0.05702041918703218,-0.1454709798264145,0.008141136556367787
22,-0.0418223208748585,-0.009497890846717197,-0.004043132575300468,0.001327821341102597,-0.000651487899973584,0.0001410378435532712,-0.008986777431355168,-0.05433488040895583,-0.1441220156913901,0.00046225187128059
23,-0.04162703611864194,-0.009457156500234879,-0.007164828850687525,0.001276526367936689,-0.0004671685678452725,0.001488081808449899,-0.008434680153171843,-0.0474308308509763,-0.1320137341147621,0.000602162944102283
24,-0.04596704611803429,-0.006606167817517017,-0.004985390013970078,0.0008280746638094095,-0.0009261518426471982,-0.002774817851441616,-0.01015067751897324,-0.05069369515135536,-0.09916233694568892,-0.003236446267749576
25,-0.04109887839431096,-0.006644671403435504,-0.00532106473107965,0.00095329334733298,-0.001408108118415771,0.000702465905554817,-0.00352267374127761,-0.05018266214138038,-0.07941587217565552,-0.001824399677629489
26,-0.03386804697568814,-0.006178373379618176,-0.005300651236059516,-0.002402735568908795,-0.00209776910832777,0.001103141858328332,-0.008032662642104409,-0.03025385208120586,-0.06280184064711762,-7.670415528101705e-05
