row_id,urb,gov,inno,edu,openpc,fin,dig,pri,inc,soc
1,0.01584750039308929,0.009494810271665637,0.01194375037765049,-0.01485618059429603,0.01289806701129387,-0.001659183581942418,-0.01991300757198126,0.03374730712126016,0.01395814065061378,0.001778512571626554
2,0.01407008086514606,0.005641813985289032,0.01131804962778209,-0.01774801652024542,0.01030182831217687,-0.002936219034720462,-0.02344722448010329,0.0396204152926031,0.02644384056380826,0.001609807396282463
3,0.01727382973495645,0.001406847905731623,0.01644624245637916,-0.01721990557791074,0.01171637718316367,0.002314456173889654,-0.02128502173501803,0.03928978615855644,0.04873470208759473,0.0008486449994563921
4,0.007030326542848995,0.0009053407260087367,0.0146772159478382,-0.01898137439166585,0.008758074374199202,-0.002989366844026664,-0.02539257805076577,0.03733417645221151,0.05723997579383116,2.332188926462971e-05
5,0.01363227899016135,-0.00685149661058711,0.01582167527912819,-0.009224230141130252,0.00945782047564282,-1.779398784112183e-05,-0.02330258724495891,0.0379193161395919,0.09223883910049421,0.001013033699458692
6,0.007706547912789321,-0.009218604965385525,0.01401415703068636,0.001030128756210353,0.007990751744879013,-0.002794789208978566,-0.02818234682347397,0.03514315738374467,0.1016051035615768,-0.006139493774716232
7,0.01156654892613055,-0.008168963079997796,0.01693380844798536,0.002654350214548995,0.01041935359231996,-0.004597079857633931,-0.009679419912706941,0.0423659097849852,0.1243877954809903,-0.005295349215006925
8,0.004560465895946938,-0.008608753928938544,0.01550913928963489,-0.007449613862084094,0.01080808275832565,-0.005048268596756778,-0.009270660881506142,0.02982149535832174,0.1197021854922552,-0.004278403374656774
9,0.01992474298754494,-0.008640617270451992,0.01379654263950724,-0.00855554077038129,0.01374783220196774,0.008818477759407346,-0.005697470178332973,0.03330685617710602,0.1308784563177941,-0.006391122100362892
10,0.02087635200710223,-0.007263739608340499,0.01999690701513598,-0.01189933322463416,0.01347102305797403,0.02809553637513191,-0.001401437554920592,0.0420690741537309,0.1766244462297522,0.01058136243715403
11,0.02069796601508136,-0.003113176248732499,0.02302718004577774,-0.01245475190293213,0.01373663971606756,0.02833912076694231,-0.001086554062910738,0.04226890801947215,0.1825369525063103,0.00952554795578887
12,0.02217388510229353,-0.004068065221960488,0.02044919507416527,-0.0095317236298418,0.0148602242457284,0.0350391116729085,0.008814352084557903,0.04453177207526349,0.1817259539021195,0.00494203961317724
13,0.02388009851066469,-0.004022452397533656,0.01950464432794372,-0.01183039415159789,0.01644223714258863,0.03527207504656617,0.008281364655998073,0.0443333084029708,0.1837849979343681,0.007584117915938415
