row_id,model,params_json,alpha,cat_depth,cat_iterations,cat_l2_leaf_reg,cat_learning_rate,xgb_colsample_bytree,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,xgb_subsample,train_r2,train_mae,train_rmse,field_016,val_r2,val_mae,val_rmse,field_020,test_r2,test_mae,test_rmse,field_024
452,CATBOOST_XGBOOST,"{""alpha"": 0.3, ""cat_depth"": 4, ""cat_iterations"": 300, ""cat_l2_leaf_reg"": 5, ""cat_learning_rate"": 0.05, ""xgb_colsample_bytree"": 1.0, ""xgb_learning_rate"": 0.03, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 300, ""xgb_subsample"": 1.0}",0.3,4,300,5,0.05,1.0,0.03,5,300,1.0,0.9926509574617992,0.006577772231353523,0.008419956325721557,1.525688914885992,0.4451096647515533,0.03121283274865818,0.03675100939017211,5.389639617631495,0.7104533197222703,0.02393760649402612,0.02949607846873931,4.41852269468675
453,CATBOOST_XGBOOST,"{""alpha"": 0.5, ""cat_depth"": 4, ""cat_iterations"": 500, ""cat_l2_leaf_reg"": 3, ""cat_learning_rate"": 0.03, ""xgb_colsample_bytree"": 0.8, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 500, ""xgb_subsample"": 1.0}",0.5,4,500,3,0.03,0.8,0.05,5,500,1.0,0.9931602749070965,0.006555173292321917,0.008122950028712871,1.517167715386408,0.44504198555249,0.03122273016627666,0.03675325055647511,5.382494803684444,0.7053377704633568,0.02360248067879251,0.02975549779823725,4.312694159874845
454,CATBOOST_XGBOOST,"{""alpha"": 0.3, ""cat_depth"": 4, ""cat_iterations"": 500, ""cat_l2_leaf_reg"": 5, ""cat_learning_rate"": 0.03, ""xgb_colsample_bytree"": 1.0, ""xgb_learning_rate"": 0.03, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 300, ""xgb_subsample"": 1.0}",0.3,4,500,5,0.03,1.0,0.03,5,300,1.0,0.9923532239889896,0.006743078348956035,0.008588822800827319,1.563167302028828,0.445018871275073,0.03135632300979728,0.03675401594409149,5.421544004562687,0.7092954297031296,0.02393250139528101,0.02955499666884738,4.421371825626899
455,CATBOOST_XGBOOST,"{""alpha"": 0.3, ""cat_depth"": 6, ""cat_iterations"": 300, ""cat_l2_leaf_reg"": 5, ""cat_learning_rate"": 0.03, ""xgb_colsample_bytree"": 1.0, ""xgb_learning_rate"": 0.03, ""xgb_max_depth"": 3, ""xgb_n_estimators"": 300, ""xgb_subsample"": 0.8}",0.3,6,300,5,0.03,1.0,0.03,3,300,0.8,0.9763829246133741,0.01199051251895515,0.01509411019210883,2.78461253675427,0.4445230800737935,0.03145873063538315,0.03677042933985716,5.4757118404047,0.7069014867636487,0.02401964061756187,0.02967643939348885,4.421072289415181
456,CATBOOST_XGBOOST,"{""alpha"": 0.3, ""cat_depth"": 6, ""cat_iterations"": 300, ""cat_l2_leaf_reg"": 5, ""cat_learning_rate"": 0.03, ""xgb_colsample_bytree"": 1.0, ""xgb_learning_rate"": 0.03, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 300, ""xgb_subsample"": 0.8}",0.3,6,300,5,0.03,1.0,0.03,5,300,0.8,0.9922872252152187,0.00680577218488982,0.008625807924228263,1.567384098214008,0.4443927508773807,0.03128835879387595,0.03677474273189177,5.407783401899337,0.7240426056490135,0.02364457961214583,0.02879559142061373,4.373662070549914
457,CATBOOST_XGBOOST,"{""alpha"": 0.5, ""cat_depth"": 6, ""cat_iterations"": 300, ""cat_l2_leaf_reg"": 5, ""cat_learning_rate"": 0.03, ""xgb_colsample_bytree"": 1.0, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 500, ""xgb_subsample"": 1.0}",0.5,6,300,5,0.03,1.0,0.05,5,500,1.0,0.9908771354148784,0.007452779933995937,0.009381236237387007,1.723802139055871,0.4443900236380007,0.03156826375823202,0.03677483298755677,5.460985853664632,0.73156136800522,0.02307561764274547,0.02840059857617853,4.266021633505466
458,CATBOOST_XGBOOST,"{""alpha"": 0.3, ""cat_depth"": 4, ""cat_iterations"": 500, ""cat_l2_leaf_reg"": 3, ""cat_learning_rate"": 0.05, ""xgb_colsample_bytree"": 1.0, ""xgb_learning_rate"": 0.03, ""xgb_max_depth"": 3, ""xgb_n_estimators"": 500, ""xgb_subsample"": 0.8}",0.3,4,500,3,0.05,1.0,0.03,3,500,0.8,0.9890575826089296,0.008179629529136711,0.01027427288781843,1.890249426824938,0.44435933152635,0.03097324333372642,0.03677584870158371,5.389161466975582,0.6818507494585175,0.02433678784377029,0.03091864388714042,4.455650354866175
459,CATBOOST_XGBOOST,"{""alpha"": 0.3, ""cat_depth"": 4, ""cat_iterations"": 300, ""cat_l2_leaf_reg"": 5, ""cat_learning_rate"": 0.03, ""xgb_colsample_bytree"": 1.0, ""xgb_learning_rate"": 0.03, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 500, ""xgb_subsample"": 1.0}",0.3,4,300,5,0.03,1.0,0.03,5,500,1.0,0.993143433533295,0.006464322376146868,0.008132944401893214,1.509984432228182,0.4442842855275494,0.03151459587797452,0.036778332129518,5.445096701529664,0.7121171533828137,0.02364264483012655,0.02941120912380146,4.372872436526358
460,CATBOOST_XGBOOST,"{""alpha"": 0.3, ""cat_depth"": 6, ""cat_iterations"": 300, ""cat_l2_leaf_reg"": 5, ""cat_learning_rate"": 0.03, ""xgb_colsample_bytree"": 0.8, ""xgb_learning_rate"": 0.03, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 500, ""xgb_subsample"": 1.0}",0.3,6,300,5,0.03,0.8,0.03,5,500,1.0,0.9947663765245718,0.005596988786443168,0.007105517209294164,1.291378273661924,0.4441961430849188,0.0312455871737408,0.03678124873184922,5.395344635700074,0.7357439508808536,0.02303565705604698,0.0281784729276555,4.247281655790248
461,CATBOOST_XGBOOST,"{""alpha"": 0.5, ""cat_depth"": 6, ""cat_iterations"": 300, ""cat_l2_leaf_reg"": 3, ""cat_learning_rate"": 0.03, ""xgb_colsample_bytree"": 1.0, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 500, ""xgb_subsample"": 0.8}",0.5,6,300,3,0.03,1.0,0.05,5,500,0.8,0.9924696969530471,0.006765954265168098,0.008523160864265524,1.564532973389981,0.44411757278346,0.03148830761523596,0.03678384840045548,5.460417452297121,0.725229203160985,0.02352030088743697,0.0287336152100518,4.334583957514385
462,CATBOOST_XGBOOST,"{""alpha"": 0.5, ""cat_depth"": 6, ""cat_iterations"": 300, ""cat_l2_leaf_reg"": 5, ""cat_learning_rate"": 0.05, ""xgb_colsample_bytree"": 0.8, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 3, ""xgb_n_estimators"": 300, ""xgb_subsample"": 0.8}",0.5,6,300,5,0.05,0.8,0.05,3,300,0.8,0.9863426142393246,0.009054172225312197,0.01147831784176138,2.090174395865438,0.4440752782967179,0.0315261431576959,0.03678524772909132,5.51863888934998,0.7039692230530639,0.02361783736943605,0.02982451688541603,4.342290804746055
463,CATBOOST_XGBOOST,"{""alpha"": 0.7, ""cat_depth"": 6, ""cat_iterations"": 300, ""cat_l2_leaf_reg"": 3, ""cat_learning_rate"": 0.05, ""xgb_colsample_bytree"": 1.0, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 3, ""xgb_n_estimators"": 300, ""xgb_subsample"": 0.8}",0.7,6,300,3,0.05,1.0,0.05,3,300,0.8,0.9883370004019192,0.008450166420830204,0.01060717144719031,1.944975270865449,0.4440117779899783,0.03169844205161403,0.03678734856012409,5.54049323713257,0.7017002209388435,0.02400034086604718,0.02993859744674066,4.411275639575927
