row_id,alpha,val_r2,val_mae,val_rmse,field_005
1,10.0,0.0191114527182973,0.036004891490782,0.052520140841618,6.21631208535025
2,1.0,-0.000415237302441529,0.0364909807362862,0.0530403277558193,6.3269324042521
3,0.1,-0.00487094092520213,0.0365638058622292,0.0531583134726836,6.34298692672678
4,0.01,-0.00535079954548134,0.0365711716006732,0.0531710043712684,6.34461429789328
5,0.001,-0.0053991392402486,0.0365719090176876,0.0531722826510626,6.34477725867967
6,0.0001,-0.00540397675908211,0.0365719827678314,0.0531724105712086,6.34479355699958
7,100.0,-0.127011224142582,0.041411998108799,0.0562963412788763,7.13920625100736
8,1000.0,-0.404871116156302,0.0547752121470357,0.0628541983835492,9.62745048248301
