row_id,variable,er,sdr,eer,ir
1,URB,0.851621,0.741895,0.160581,0.331365
2,GOV,-0.424861,-0.089272,-0.014146,-0.153258
3,INNO,0.848967,0.528454,-0.003995,0.186383
4,EDU,0.106227,-0.097813,-0.156825,0.150403
5,OPENPC,0.905979,0.524127,0.009344,-0.024456
6,FIN,0.742513,0.671009,0.166385,0.092408
7,DIG,0.705356,0.54689,0.242726,-0.004898
8,PRI,0.842974,0.689148,0.199061,0.210276
9,INC,0.812801,0.771606,0.167638,0.370461
10,SOC,-0.152362,0.165813,0.131178,0.082523
