row_id,year,region,urb,gov,inno,edu,openpc,fin,dig,inc,soc
1,2022,上海,0.0125764346931815,-0.0002172549716862701,0.01726892469868657,-0.005970767284468799,0.01015607493951941,0.03165464541956974,0.06718312262291191,0.1065140516431915,0.004659644927827907
2,2022,云南,0.001008457373444029,-0.004164486368087161,-0.003964662397916299,0.003262160526569907,0.004082889429639499,-0.001938452966301062,-0.005789599856165784,0.07244395903972836,0.005809342586400082
3,2022,内蒙古,0.0150023596441098,-0.006768070362305807,-0.007224976916770595,-0.008797768549017556,0.003003855662388156,-0.01388345146786199,-0.006049838577253807,0.08061485103704959,-0.009880535957206275
4,2022,北京,0.02113113051141524,-0.0009903689658209188,0.02010565243005789,0.0004215182809114906,0.01097556492741085,0.03121888469746945,0.06453620478895436,0.1117994179146104,0.003540261421884252
5,2022,吉林,0.01462569972196658,-0.004100777983270937,-0.005393496346117731,-0.01166459622943472,0.002970566878649257,0.006254126338651515,-0.001859014842299333,0.0658834446564012,-0.01530939903596838
6,2022,四川,0.01414649368842227,-0.001506243165291266,-0.005606125344280289,-0.001631006129147815,0.006681388469948369,0.006008392713376254,0.001026730995830596,0.07114735538054032,-0.0124371466455208
7,2022,天津,0.0167012555737337,0.0007744406333551027,-0.0006826125622298057,0.003037524486743597,0.007237487941321707,0.01069429086927745,-0.001254777969527271,0.08138524565062774,-0.0143054246909465
8,2022,宁夏,0.01607408212572289,-0.00201017203577452,-0.002323956914979554,-0.008460124621164779,-0.002757730081655308,0.007623660731181344,-0.006073890400445913,0.07715865270982018,-0.006474874766847837
9,2022,安徽,0.01887962444043011,0.000259996743764764,0.01472770901776045,0.001834211394745701,0.006734751515638198,0.004131915394764381,-0.001011274628176746,0.07556864342628945,-0.008923722560848467
10,2022,山东,0.01721482325718161,0.01280585568274199,0.00165368923752832,0.00799216580730055,0.009041470039595208,0.0006100542595837693,-0.0001992892732254454,0.08266433341941427,-0.007882647665314465
11,2022,山西,0.01834151737219637,-0.003813683105911141,-0.004200393831765327,-0.001910054600432938,0.003889162342643686,-0.0008999762346726012,-0.004608328235889719,0.07673245218409475,-0.002158256352014063
12,2022,广东,0.0206314754603556,0.008060333118814544,0.01369405592161708,0.005253937975602789,0.007139819517269438,0.003948498203500614,0.006728209786205575,0.08828976605526546,0.005246761993392062
13,2022,广西,0.01431552759933653,-0.002590951139849226,-0.00603305303012684,0.008315996297394294,0.006967493553058965,0.006772674708347514,-0.004719679108993203,0.07181085958742406,-0.001277945239477335
14,2022,新疆,0.01581968810597642,-0.002695449281163345,-0.002306592172931836,0.001914900694232559,0.006664482422735568,0.006532244676767,-0.00606303113016465,0.07305303501420154,0.006889030801735401
15,2022,江苏,0.02043638323165916,0.01641215159728552,0.01634836027795271,0.004837152868472423,0.00743903488139985,0.003539006784982887,0.006022852560178951,0.08900886696704984,0.005548335274634189
16,2022,江西,0.01786950361660601,-0.002668942490240307,0.004489267788578322,0.004529002255774417,0.006759409826402716,0.004945019905713437,-0.00896170428192558,0.0781209784467768,0.003813476658138669
17,2022,河北,0.01692958641772369,-0.002930710114459278,-0.01042495988657828,0.00872268337074385,0.003449204098950639,0.006971151084889822,0.0009669659770852441,0.07860778346242381,-0.007490231369245412
18,2022,河南,0.01907525809423068,0.001705759986956446,0.0147430521923129,0.004790240136880741,0.006588151302804574,-0.000600632326723659,0.002576695287150883,0.0718750236012894,-0.005711442633005714
19,2022,浙江,0.02045920304097407,0.008730966082104543,0.01508331992416814,0.004975122257580906,0.00765418042698244,0.00418352829624209,0.006696542457952402,0.09045122224201453,0.004900411101904416
20,2022,海南,0.01677856487907431,-0.001207320534286575,0.006359058334405683,-0.000214073080750007,0.008484864341936568,0.003889941300158152,0.003936730037967639,0.07235431366577562,0.004776009443690927
21,2022,湖北,0.01877653482294403,0.002186533953351324,0.01667960413824184,-0.001393933624827311,0.006853052544180269,0.004545914681996887,0.0003751073864876342,0.07656726668465551,-0.01013067500813157
22,2022,湖南,0.01666520434687951,0.00010384344362257,0.005676057367490829,0.001491584147197364,0.008784624500587122,-0.002279638561892647,-0.007062916519878527,0.07789905767489859,-0.006043267319687089
23,2022,甘肃,0.00727775858013968,-0.001731673441612192,-0.00518006260918641,0.0006121888182496135,-0.006482718971432119,0.008972376460619916,-0.00281290386519657,0.04151092295469118,0.003906334251875343
24,2022,福建,0.01647659427407739,0.01166147668410812,0.001716227241255992,0.004393893118901399,0.01370648410998402,0.004018939956715021,0.003609535324700143,0.09390086499629693,0.004809566121575713
25,2022,西藏,-0.03950984529979858,-0.00184723883023736,-0.002390270075683113,-0.006594990432739723,-0.01387112312967919,0.01249364670554,0.0002586396029315504,0.0757579469421049,-0.005184016647219868
26,2022,贵州,0.01113779629032635,-0.001288689154369094,-0.005446884425606328,0.007168257613340791,-0.01196436803287788,0.0008996012477611846,-0.003332957903227515,0.05617177043346189,0.002321885521528962
27,2022,辽宁,0.01483286852386851,-0.003105359972331765,-0.01174539335160151,-0.009775952723040278,0.007226244071576434,0.004906346150934422,-0.002397701220483507,0.07483525111062121,-0.0193926744162688
