row_id,scenario,dataset,r2,mae,rmse,field_006
1,Without PRI,Train,0.998743721478229,0.002660370544612098,0.003396705680375796,0.589633947883713
2,Without PRI,Validation,0.7329902589838093,0.0230859399309806,0.02740183222513658,4.176264055339834
3,Without PRI,Test,0.5568426789553813,0.02681201550168312,0.03286466382771219,4.652224696514555
4,Without INC,Train,0.9989047433464726,0.002455357827460541,0.003171559768593556,0.5407966996274874
5,Without INC,Validation,0.7297771123862151,0.0228529726668874,0.0275662134998437,4.097207965901304
6,Without INC,Test,0.3938955475539718,0.03221253137801086,0.03843474174514578,5.590644940013129
