row_id,province,province_2,region,year,gdp,primary_industry,primary_industry_2,tertiary_industry,tertiary_industry_2,secondary_industry,secondary_industry_2,industrial_structure,industrial_structure_2
53,500000,重庆市,重庆,2001,2014.59,290.1,14.4,864.57,42.9,859.92,42.7,1.00540747976556,2.285
54,510000,四川省,四川,2001,4293.49,981.67,22.86,1739.81,40.52,1572.01,36.61,1.10674232352211,2.1764
55,520000,贵州省,贵州,2001,1133.27,274.17,24.2,425.58,37.5,433.52,38.3,0.981684812696069,2.133
56,530000,云南省,云南,2001,2159.0,444.42,20.58,843.19,39.05,871.39,40.36,0.967637911842,2.1845
57,540000,西藏自治区,西藏,2001,139.16,36.53,26.2,70.66,50.78,31.97,22.97,2.21019705974351,2.2448
58,610000,陕西省,陕西,2001,2010.62,263.63,15.6,868.17,40.1,878.82,44.3,0.987881477435652,2.245
59,620000,甘肃省,甘肃,2001,1125.37,207.96,18.48,459.4,40.82,458.07,40.7,1.00290348636671,2.2234
60,630000,青海省,青海,2001,300.13,44.74,14.91,159.3,53.1,96.09,32.0,1.65782079300656,2.3821
61,640000,宁夏回族自治区,宁夏,2001,337.44,49.67,14.72,151.89,45.01,135.89,40.27,1.11774229155935,2.3029
62,650000,新疆维吾尔自治区,新疆,2001,1491.6,274.33,18.4,656.74,44.0,560.53,37.6,1.1716411253635,2.256
63,110000,北京市,北京,2002,4525.7,82.4,1.8,3208.2,70.9,1235.1,27.3,2.59752246781637,2.691
64,120000,天津市,天津,2002,1926.87,84.21,4.4,911.2,47.3,931.46,48.3,0.978249200180362,2.429
65,130000,河北省,河北,2002,5518.9,957.0,17.3,2094.2,38.0,2467.7,44.7,0.848644486769056,2.207
66,140000,山西省,山西,2002,2324.8,197.8,8.51,992.69,42.7,1134.31,48.79,0.875148768855075,2.3419
67,150000,内蒙古自治区,内蒙古,2002,1940.94,374.69,19.3,811.47,41.8,754.78,38.9,1.0751079784838,2.225
68,210000,辽宁省,辽宁,2002,5458.22,574.13,10.52,2284.37,41.85,2599.72,47.63,0.878698475220408,2.3133
69,220000,吉林省,吉林,2002,2043.09,441.6,19.86,808.0,36.5,793.49,43.6,1.01828630480535,2.1656
70,230000,黑龙江省,黑龙江,2002,3242.71,464.2,14.3,1050.2,32.4,1728.3,53.3,0.607649134988139,2.181
71,310000,上海市,上海,2002,5795.02,77.7,1.3,3082.1,53.2,2635.3,45.5,1.16954426441012,2.519
72,320000,江苏省,江苏,2002,10606.85,1110.44,10.47,3891.92,36.69,5604.49,52.84,0.69442893108918,2.2622
73,330000,浙江省,浙江,2002,8040.66,685.2,8.5,3242.59,40.3,4112.87,51.2,0.788400800414309,2.318
74,340000,安徽省,安徽,2002,3827.66,783.66,20.5,1696.74,44.3,1347.26,35.2,1.2594005611389,2.238
75,350000,福建省,福建,2002,4467.55,659.51,14.8,1778.85,39.8,2029.19,45.4,0.876630576732588,2.25
76,360000,江西省,江西,2002,2450.48,535.98,21.87,972.73,39.7,941.77,38.43,1.03287426866432,2.1783
77,370000,山东省,山东,2002,10076.52,1369.15,13.6,3669.74,36.4,5037.63,50.0,0.728465568134222,2.228
78,410000,河南省,河南,2002,6035.48,1207.11,20.0,1946.77,32.26,2881.6,47.74,0.675586479733481,2.1226
79,420000,湖北省,湖北,2002,4212.82,707.0,16.8,1801.41,42.8,1704.41,40.4,1.05691118920917,2.26
80,430000,湖南省,湖南,2002,4151.54,847.25,20.4,1780.79,42.9,1523.5,36.7,1.16888086642599,2.225
81,440000,广东省,广东,2002,13601.89,1015.08,7.5,6377.76,46.9,6209.06,45.6,1.02716997419899,2.394
82,450000,广西壮族自治区,广西,2002,2523.73,601.99,23.9,1076.99,42.7,844.75,33.5,1.2749215744303,2.19
83,460000,海南省,海南,2002,642.74,222.89,34.6,270.97,42.16,148.88,23.2,1.82005642127888,2.0748
84,500000,重庆市,重庆,2002,2279.8,312.57,13.7,985.91,43.3,981.32,43.0,1.00467737333388,2.296
85,510000,四川省,四川,2002,4725.01,1047.95,22.18,1943.68,41.14,1733.38,36.69,1.12132365667078,2.1898
86,520000,贵州省,贵州,2002,1243.43,280.82,22.6,480.65,38.6,481.96,38.8,0.997281932110549,2.16
87,530000,云南省,云南,2002,2358.73,463.44,19.65,953.2,40.41,942.09,39.94,1.01179292848879,2.2076
88,540000,西藏自治区,西藏,2002,162.04,38.68,23.87,90.64,55.94,32.72,20.19,2.77017114914425,2.3207
89,610000,陕西省,陕西,2002,2253.39,282.21,13.7,963.62,41.2,1007.56,45.1,0.95638969391401,2.275
90,620000,甘肃省,甘肃,2002,1232.03,215.51,17.49,514.83,41.79,501.69,40.72,1.02619147282186,2.243
91,630000,青海省,青海,2002,340.65,45.31,13.3,182.33,53.5,113.01,33.2,1.61339704450934,2.402
92,640000,宁夏回族自治区,宁夏,2002,377.16,52.96,14.04,171.14,45.38,153.06,40.58,1.11812361165556,2.3134
93,650000,新疆维吾尔自治区,新疆,2002,1612.64,290.4,18.0,733.0,45.5,589.21,36.5,1.24403862799341,2.275
94,110000,北京市,北京,2003,5267.2,84.1,1.6,3726.7,70.8,1456.4,27.7,2.55884372425158,2.694
95,120000,天津市,天津,2003,2257.77,89.91,4.0,1030.3,45.6,1137.6,50.4,0.905678621659634,2.416
96,130000,河北省,河北,2003,6333.6,1064.2,16.8,2346.8,37.1,2922.7,46.1,0.802956170664112,2.203
97,140000,山西省,山西,2003,2854.25,215.19,7.54,1118.33,39.18,1520.73,53.28,0.735390240213582,2.3164
98,150000,内蒙古自治区,内蒙古,2003,2388.38,420.1,17.59,1127.4,47.2,840.88,35.2,1.34073827418895,2.2959
99,210000,辽宁省,辽宁,2003,5906.29,598.06,10.13,2467.26,41.77,2840.97,48.1,0.868456900284058,2.3164
100,220000,吉林省,吉林,2003,2141.03,486.71,19.3,848.6,35.37,805.72,45.33,1.0532194807129,2.1607
101,230000,黑龙江省,黑龙江,2003,3609.73,493.0,13.7,1160.3,32.1,1956.4,54.2,0.593079124923328,2.184
102,310000,上海市,上海,2003,6804.04,79.0,1.2,3485.4,51.2,3239.6,47.6,1.07587356463761,2.5
103,320000,江苏省,江苏,2003,12442.87,1162.45,9.34,4493.31,36.11,6787.11,54.55,0.662035829683032,2.2677
104,330000,浙江省,浙江,2003,9753.37,717.85,7.4,3909.25,40.1,5126.27,52.6,0.762591513907773,2.329
105,340000,安徽省,安徽,2003,4307.77,749.4,17.4,2000.76,46.4,1557.61,36.2,1.28450639120191,2.29
106,350000,福建省,福建,2003,4999.59,682.06,13.6,1987.86,39.8,2329.67,46.6,0.853279649049007,2.262
107,360000,江西省,江西,2003,2812.7,551.51,19.61,1056.87,37.57,1204.33,42.82,0.877558476497306,2.1796
108,370000,山东省,山东,2003,10903.23,1456.98,13.4,3726.24,34.2,5720.01,52.4,0.651439420560453,2.208
109,410000,河南省,河南,2003,6942.41,1198.7,17.27,2395.08,34.5,3348.63,48.23,0.715241755583627,2.1723
110,420000,湖北省,湖北,2003,4757.45,798.35,16.8,2009.34,42.2,1949.76,41.0,1.0305576070901,2.254
111,430000,湖南省,湖南,2003,4659.95,869.68,18.7,2017.98,43.3,1772.29,38.0,1.13862855401768,2.246
