row_id,year,region,urb,gov,inno,edu,openpc,fin,dig,pri,soc
1,2022,上海,0.01539154211530925,0.001926627107959942,0.01743243694701287,-0.005405680336671468,0.01022927988957853,0.03031820120801433,0.06118881708319666,0.1112269937385266,0.004684585224810167
2,2022,云南,0.001789469760574921,-0.007615355717282501,-0.001495105600134849,0.001468947491568068,0.005902355957340632,0.002906244594913307,0.0002299272801655382,0.03036449887123138,0.0006295830500578235
3,2022,内蒙古,0.0211099062923176,-0.004876535852027183,0.001387705672567073,-0.006380744496067096,0.004308354312669117,-0.004879140897669856,0.001333683814935879,0.04845303005291843,-0.005296934894361166
4,2022,北京,0.02402671062137986,0.00177928223148497,0.01946767968114383,-0.0009386799785460995,0.010441481314296,0.0292800827065358,0.05778139486800693,0.1153982817130065,0.002621587443803447
5,2022,吉林,0.01998772997127365,-0.003962496544859885,-0.003111259791191888,-0.01041149414994194,0.003361050141637647,-0.0001635203214337942,0.001719508298140641,0.04933248105936083,-0.007529342003520892
6,2022,四川,0.0177774360145015,0.002020426630066356,-0.008152430149890802,-0.002029877625575694,0.005069461988088439,0.00521823660451408,-0.002524686821675652,0.0421693844283991,-0.005732869184347481
7,2022,天津,0.02198672506065148,0.001406729651112018,-0.003964723106818776,0.004147531162064329,0.0103394140242034,0.004908215583658763,-0.001122871178602659,0.09317505145253316,-0.009850633899684514
8,2022,宁夏,0.02136531184993619,-0.001997914357281974,-0.005923434430073588,-0.006970515913102999,0.0004767184003025894,0.00462077436268104,-0.004721332956665207,0.07981254130337882,-0.00591783086363611
9,2022,安徽,0.02009015269680307,0.003488525038557302,0.01346548638193958,0.001065077727346784,0.005243107013937492,0.00347960928323241,0.001015214527198247,0.07740068465823921,-0.009770718531931935
10,2022,山东,0.01944676953590094,0.01256414375061267,0.001599529610285567,0.01362994800757874,0.008276140232237918,0.001530475605320211,0.002808503137050073,0.08064615214544191,-0.00516857333691665
11,2022,山西,0.02077848895824473,-0.00422583169015701,-0.002488583858648281,-0.002965726096454297,0.0055360001301583,0.00143661781342557,-0.001223971186750721,0.06288182143564718,-0.004335941692450926
12,2022,广东,0.02417572207407253,0.007818426620044014,0.01647010368537483,0.01219017026544757,0.009531146807730345,0.002013469214848322,0.005882915086230775,0.09296003848141099,0.005621283986453748
13,2022,广西,0.0180063145274259,-0.00390526098246572,-0.008055134671345303,0.00800114806271531,0.004918194177758881,0.004982363509046687,-0.0001657733553065325,0.03781335493562708,-0.003892942872771979
14,2022,新疆,0.01989499650439078,-0.002222404290765776,0.002775748020418476,-0.0006873348816932537,0.006652282887552671,0.006107947297261738,-0.001455873988244332,0.03079907448547856,4.629516019144827e-05
15,2022,江苏,0.02338370694200605,0.01506657067127417,0.01574107486148125,0.006087165154607947,0.008793448969571838,0.001650349987181609,0.003797129380624428,0.09412569722526781,0.004005811882420999
16,2022,江西,0.0221564409208519,-0.003772842516936423,0.004171154237772428,0.005485824557904584,0.00473455051773765,0.00410895637691613,-0.003024897433219073,0.04582981740993605,0.001443094154901558
17,2022,河北,0.01948478329652526,-0.001457915585672487,-0.01148727602688746,0.008712790860590609,0.004183413913491972,0.004136055496062882,-0.0004067494485990612,0.07894354279705323,-0.009521918058842862
18,2022,河南,0.02141020275846258,0.004996063242708808,0.01335302632849742,0.003503708330422855,0.005942767121183752,-7.67162213845949e-05,0.002975775573324475,0.04545035319395702,-0.008480857935766382
19,2022,浙江,0.02314137958758413,0.006015764104969526,0.01433985548031766,0.009087177573338854,0.0085568636026377,0.001399778927240861,0.005724834822547112,0.09311708338282769,0.004949318668989663
20,2022,海南,0.02003148000408215,-0.002170668820184956,0.005676624233514465,-0.003777918993527372,0.009171448356276361,0.002601344950904375,0.001836471039894305,0.08214087298912195,0.003430315070777825
21,2022,湖北,0.0210879024950457,0.0006817108876048703,0.01439297437223134,-0.002844446999931414,0.004505899333149464,0.004163700678039384,-4.741184346051175e-05,0.06558125794314941,-0.009048816228535001
22,2022,湖南,0.01925354679155608,0.005016642950319313,0.002766435662785234,-0.001000583502544515,0.006066034284968526,0.00110297724507262,-0.001632723538475819,0.03527913746818662,-0.005710885884471184
23,2022,甘肃,0.01187507905078187,-0.003630495565238172,-0.006022415440658476,0.0008539838497894948,-0.00890946263447058,0.003317803274434287,0.0001247507511763027,0.0392054049162997,0.002409942234529061
24,2022,福建,0.01897959259452463,0.008985814954144734,0.003035461479113477,0.01234628715256306,0.01235201087078863,0.002172404396980371,0.0047880813980765,0.08635833657854189,0.002830858881568683
25,2022,西藏,-0.0582960179287773,-0.005750206118528483,-0.001045485072199334,-0.009441356064910396,-0.0169537225964477,0.00621690941267595,-0.001344093736213215,0.04397335918887739,-0.005225248686588759
26,2022,贵州,0.0162251273930568,-0.004545772899030135,-0.008149524813799767,0.006658859207618618,-0.01496607029460411,0.002726366206581498,0.001248292730969377,0.0422655241929316,0.0005994794398869057
27,2022,辽宁,0.01738107169454417,0.001406548618051819,-0.009735999587982188,-0.01233993699238345,0.0080487107650744,0.0007030959650679773,-0.0014272873603723,0.06204191010752311,-0.00730317014245692
28,2022,重庆,0.01563400668130398,0.001537129576391617,-0.007422960586136203,0.0003406208402590806,0.005117279592622852,0.003164013446819824,-0.001150585600731128,0.08142962915305144,-0.006646817170013565
29,2022,陕西,0.01898676281839978,0.001856151168061991,-0.01156750590101208,-0.002603308721081075,0.004816765734245899,0.003672104537461572,-0.002924450914203601,0.07849088973280664,0.002972681239125276
30,2022,青海,0.02359486693007759,-0.0034232918651954,0.001223710043772387,-0.007774824037510287,-0.01180009207896187,0.001239846239865055,-0.0008111009562111991,0.03877694196034218,-0.005247146612594927
31,2022,黑龙江,0.02075239542328416,-0.004956553488393299,-0.003836532292675737,-0.006136751921418823,0.005672642093042292,0.001390852346865777,0.003111540857430861,0.02980418592915406,-0.007819293748393227
32,2023,上海,0.0153111414839781,0.002827903383471857,0.02052125108363656,-0.004451329576258749,0.01026191115215676,0.03099018036780383,0.06237661486580495,0.1135779421194839,0.004761351681015847
33,2023,云南,0.006759926869036941,-0.005337563678629731,-0.001681490693746981,0.00163777855583723,0.007599910211078644,0.002577720533140077,0.0004916763952862763,0.03345527615667461,-0.006375926069852629
34,2023,内蒙古,0.02142227754402528,-0.005094989916708056,-0.004581500632876887,-0.006951595063635024,0.004581423330388516,-0.001492692359456773,0.000552915829517828,0.04803235646380351,-0.00562336348911998
35,2023,北京,0.02391767027260531,0.001658300853734633,0.019680633362486,-0.0008566270533271321,0.01007359127688757,0.02936139747918667,0.05789761862065065,0.1157682513144395,0.002620133437001652
36,2023,吉林,0.02046106090052026,-0.004866425162296498,-0.006530270056883025,-0.01074849002573406,0.003635809160804586,-0.0002742686182931375,0.001899263226016735,0.05002561818134314,-0.006779129403219923
37,2023,四川,0.01845232198400487,0.002072716861140839,-0.008268588767115817,-0.002463883455952286,0.004895096665036586,0.005201447716876605,-0.002451569903001953,0.0421407125404225,-0.005720841674292864
38,2023,天津,0.02296151861739424,-0.0008977525679992834,-0.000363198119049416,-0.003900978842537716,0.009063882901938396,0.005836204416184964,0.0005240399859672957,0.09483993648853001,-0.007140990194742194
39,2023,宁夏,0.0202663779013405,-0.001731462984261088,-0.004900323417973909,-0.0117523807715228,-0.004256779446898509,0.003529135657159015,-0.005643644374692173,0.07695102563355469,-0.004066958418647544
40,2023,安徽,0.02116773569849269,0.003714427143836093,0.01368557551761167,0.005273593161533196,0.005302602113545413,0.003028211333123741,0.0006380536282643145,0.07793012125193284,-0.01140847372362678
41,2023,山东,0.01959281522303419,0.01229368751893799,0.001252976250439738,0.01267385692977186,0.008044762349700783,0.001424418978313192,0.003101504085767292,0.07995181826056438,-0.008053801051199034
42,2023,山西,0.02182060939203081,-0.003326015493747325,-0.007149987953598362,-0.006799706450114127,0.006885748712163596,0.002812789708112869,-0.008105808823207312,0.0616889797321763,-0.005669009130499202
43,2023,广东,0.02440897311401436,0.01164731575640165,0.01687529210065194,0.01068223337592368,0.009733560096063628,0.002015694401248485,0.005880411990036619,0.09269797926466242,0.005472801571936069
44,2023,广西,0.01933402606754369,-0.003918605801961391,-0.00956878083622821,0.008026925532205735,0.00466669082354417,0.003095442124915951,0.001387698221951185,0.03643557247378217,-0.004894824449357135
45,2023,新疆,0.02044007762086455,-0.002986136150398381,0.001356550143542787,-0.002491893853678893,0.005661492300332736,0.006038230876292383,-0.0002262601224541303,0.0303806359160098,-9.623658085844053e-05
46,2023,江苏,0.02389916406294666,0.0154499970276883,0.01595850799547236,0.008349691760164077,0.00922551914267283,0.001722957453653761,0.004312024366145833,0.09343738078485496,0.004758956790304972
47,2023,江西,0.02184052338694505,-0.003657335305079738,0.003312242862231459,0.006055793726560716,0.00492847856126066,0.004550546029892679,-0.0020028863626133,0.04584644605655296,0.002683277228911589
48,2023,河北,0.01852284763102387,0.00105589859156662,-0.01106350572211959,0.008478062843001913,0.004820313465473991,0.004223693831468419,-0.0008547717256655498,0.0783332689978552,-0.008572588114060462
49,2023,河南,0.02190562870995212,0.00509265585218357,0.01306712442034486,0.005171780619727552,0.005567118352099391,6.883432551358379e-05,0.001929710092002214,0.04539058718623476,-0.008675344763516718
50,2023,浙江,0.02335786288558946,0.006338078276611378,0.01295452501480945,0.00892485934033397,0.008111589836349234,0.002218957202913817,0.005750492133519022,0.09236177295777466,0.004643049789329099
51,2023,海南,0.02055251226663622,-0.002779405894069069,0.006026465751081287,-0.001657777341956035,0.00805280833196597,0.0002231688476544105,0.001868790473848378,0.08590187245115224,0.0008206148081694817
52,2023,湖北,0.02133266438127287,0.0008354017569906678,0.0145124948105794,-0.003352515886788114,0.004534778365784331,0.004315527965455331,0.0005877387941835717,0.0656327365096772,-0.009150021646626027
53,2023,湖南,0.01983487936450008,0.001979281589993925,0.002540952782128488,-0.00187088737524997,0.005264456497380132,0.001266305815828246,-0.001333635256679198,0.03542708378146975,-0.006032546696555393
54,2023,甘肃,0.01157236177074187,-0.002683676437896469,-0.007608490264668557,-0.0008430501077933703,-0.01307843242755165,0.003957145205243253,0.001457432614698974,0.03929828939022473,-0.004555401526671856
55,2023,福建,0.01837072388180409,0.006582220052123245,0.0001696242617332414,0.01259785897449124,0.009798892348685194,0.002194510851172109,0.003934198933960872,0.08884750101166428,0.002876309225587468
56,2023,西藏,-0.05222036134164848,-0.005902731448466906,3.371788897017097e-05,-0.01008817222021843,-0.006515967315518208,0.005150689826800448,0.0008391218736319583,0.04181427139203155,-0.004438182052311458
57,2023,贵州,0.02279371712846694,-0.004837307424758889,-0.00862943029118,0.006674659108522607,-0.01149011107632323,0.00275900074057266,0.002533217530848799,0.0424351243597671,0.002670343588075488
58,2023,辽宁,0.017495804296717,0.001430538643449918,-0.009654288586156029,-0.01147493294521409,0.008274661552267325,0.001175466975708472,-0.00154958604696666,0.06250631675559878,-0.007274106116612773
59,2023,重庆,0.01569326268261375,0.002334531255908077,-0.007350291098432877,-0.001017751048227292,0.007239249297073855,0.002255058264628734,-0.0009667456374446862,0.08200584442712036,-0.006739249092917038
60,2023,陕西,0.01820211119433439,0.001321000650031198,-0.008714326960550836,-0.001855217138208408,0.004583150103804287,0.003847568232495721,-0.003778551858949877,0.07743911730329799,-0.005845697778727188
61,2023,青海,0.02573089216548343,-0.003283268653923164,0.001944353445916118,-0.008054540655684212,-0.01391641028269316,0.001520911758258436,0.0001382053471147701,0.04041081242793011,0.003925683822803166
62,2023,黑龙江,0.02100224692007562,-0.003731403613385754,-0.003459544043311384,-0.006227447809825843,0.005532407374915574,0.001701249866138388,0.001681616747218465,0.02994901950003703,-0.007461436098805891
63,2024,上海,0.01457358810860671,0.001598765791465089,0.0193030624979543,-0.004989883550494846,0.01020544678898263,0.03039218237990237,0.06280838855936145,0.1111122317653353,0.004832235937614863
64,2024,云南,0.006685721967379469,0.004796808259174798,5.400397231317957e-06,0.001760861078702728,0.008767828840801167,0.003464469351475096,0.0009641789990752809,0.03529219121484394,-0.006417958899491957
65,2024,内蒙古,0.02118023781954041,-0.004724972097063175,-0.004687367224285437,-0.007037150698527583,0.004682078238275199,-0.001508465667892809,0.0005363276387584711,0.04803715732441821,-0.005668050940597767
66,2024,北京,0.02360038494069164,-0.0007696975182895945,0.01942728019309404,-0.0009693835218766301,0.009976640110808822,0.02911339044430174,0.05773952977536331,0.115798254367505,0.002766171615107471
67,2024,吉林,0.02039411290031085,-0.004885667137573635,-0.006464951829681512,-0.01071767547525328,0.004318705502786681,-0.0002738667671541062,0.001739186108040808,0.04992541425612816,-0.006769707546598212
68,2024,四川,0.01846477020802324,0.002968216026196929,-0.008113526284164643,-0.002505494378420006,0.005009927748847441,0.004976640230938531,-0.002403685262282257,0.04211650781603232,-0.005601576870134559
69,2024,天津,0.0229328964669731,0.002379180995239231,-9.82349583056165e-05,-0.003794018427626594,0.009678844116701656,0.005914309366603659,0.0005670871721474785,0.09557331034396396,-0.007161784892517597
70,2024,宁夏,0.0202851416297803,-0.001878455750792272,-0.004902231604797039,-0.01175210826653746,-0.004233755057378222,0.003528614931424483,-0.005636100289308758,0.07694944536541008,-0.004055064684311644
71,2024,安徽,0.02109550968942728,0.003917114646594195,0.01356626937600818,0.005284190388079981,0.005308695220153455,0.003073895522659418,0.0006647119068595936,0.07784440397521268,-0.01138147936487064
72,2024,山东,0.01954999282478885,0.01238962221740629,0.00123995229506193,0.01248240355668337,0.008944600810137128,0.001431937534316172,0.003105016499008261,0.08056284473996743,-0.008178416227720106
73,2024,山西,0.02095265707762366,-0.003590233960127147,-0.007180192619856167,-0.006611982255477813,0.007431265647228619,0.00274825479235389,-0.00810055799464904,0.06151515414637924,-0.005667503292400773
74,2024,广东,0.02475354652780946,0.0128223595927297,0.01706204131224168,0.009656152137007263,0.009439501833051185,0.002118325187323024,0.005698901636350035,0.09263741292194515,0.005420142489730828
75,2024,广西,0.01929724129413003,-0.004102029546859473,-0.009552246141819412,0.008016980648267842,0.005494208751094373,0.003274011660343056,0.001413729564865626,0.03652917045256907,-0.004744597048792498
76,2024,新疆,0.02032895912703384,-0.002501622676985173,0.00134604949315553,-0.002517153167035323,0.006007620161434998,0.005981203752688694,-6.875976605612546e-05,0.03039720829185512,-0.0001965428813873058
77,2024,江苏,0.02318542168646488,0.01026837956824374,0.0157786783320437,0.007741249105098031,0.008740340539632761,0.001380143289965204,0.005215552053038669,0.0942804615676255,0.004360168430247603
78,2024,江西,0.02170779938926444,-0.002708562822797189,0.003468656493503833,0.006075433929557434,0.004804011052496405,0.004530692177899321,-0.002068840353239516,0.04578872526573721,0.002601653499560279
79,2024,河北,0.01850519739185428,0.00105589859156662,-0.01106350572211959,0.008478062843001913,0.004855045627495091,0.004224263288656667,-0.0008547717256655498,0.07831561484713079,-0.008572588114060462
80,2024,河南,0.02175270381104752,0.005371565446155108,0.01303363886510077,0.005165559296587022,0.005578093058174965,-7.536949529116175e-05,0.001997448683195071,0.04516534032060225,-0.008686891198368872
81,2024,浙江,0.02349627556154586,0.01070396337300891,0.013280117563807,0.008981106558824628,0.008421424091543294,0.002199632330661839,0.005873638766911281,0.09206803322693369,0.005092997778612243
82,2024,海南,0.02096238690020142,-0.003520422095291686,0.005954549160422918,-0.002226409059543474,0.005837874375250835,0.0003326173178506395,0.001950058072477574,0.08648906713850976,0.0007098786182185151
83,2024,湖北,0.02124876153052576,0.0006663566630556847,0.01451372043108759,-0.003355620846402689,0.004596869571984752,0.004300750437333263,0.0009404743322192028,0.06543292385899666,-0.009095437203056844
84,2024,湖南,0.01960090001836968,0.006059833427249482,0.002308664585419297,-0.001744970998610589,0.005803736274305993,0.00119649310621679,-0.00125623965827284,0.03474475598834006,-0.00635503153654378
