row_id,target,dataset,r2,mae,rmse,field_006
1,Factor,Train,0.9989883807734238,0.004706886045336003,0.005985639197038178,137529.5055791718
2,Factor,Test,0.9425114074798827,0.03392482501752245,0.04885327166132813,26.92765922801017
3,Factor,All,0.9861445976365235,0.01057141859889314,0.02253166445703465,109930.421838968
