row_id,feature,meanabsshap
1,INC,0.07792025423599051
2,PRI,0.03463621464023632
3,URB,0.01720820913013413
4,DIG,0.0126078145421151
5,GOV,0.008367782641583998
6,INNO,0.007849426686927084
7,OPENPC,0.005669974157340845
8,EDU,0.005188110316708064
9,FIN,0.004340749228985614
10,SOC,0.004105255205875485
