row_id,admincode,region,zone,year,urir,rrd
66,110000,北京,东部,2018,2.566629,55.477032
67,110000,北京,东部,2019,2.552855,56.6787
68,110000,北京,东部,2020,2.509527,57.509158
69,110000,北京,东部,2021,2.447767,57.509158
70,110000,北京,东部,2022,2.41765,58.671587
71,110000,北京,东部,2023,2.372986,59.022556
72,110000,北京,东部,2024,2.319952,
73,220000,吉林,中部,2007,2.572102,58.405004
74,220000,吉林,中部,2008,2.472905,59.108679
75,220000,吉林,中部,2009,2.517209,59.890539
76,220000,吉林,中部,2010,2.327551,60.49961
77,220000,吉林,中部,2011,2.232512,62.047244
78,220000,吉林,中部,2012,2.213934,65.281174
79,220000,吉林,中部,2013,2.180861,68.585944
80,220000,吉林,中部,2014,2.153803,72.392638
81,220000,吉林,中部,2015,2.19857,75.338753
82,220000,吉林,中部,2016,2.188402,83.002833
83,220000,吉林,中部,2017,2.186795,87.524558
84,220000,吉林,中部,2018,2.194646,92.901235
85,220000,吉林,中部,2019,2.162493,97.018104
86,220000,吉林,中部,2020,2.078546,102.120536
87,220000,吉林,中部,2021,2.020519,106.206897
88,220000,吉林,中部,2022,1.956049,109.507042
89,220000,吉林,中部,2023,1.925996,113.333333
90,220000,吉林,中部,2024,1.891277,
91,510000,四川,西部,2007,2.976287,33.492549
92,510000,四川,西部,2008,2.899631,41.107185
93,510000,四川,西部,2009,2.918753,46.182978
94,510000,四川,西部,2010,2.845185,51.475478
95,510000,四川,西部,2011,2.734358,56.387289
96,510000,四川,西部,2012,2.715285,59.475983
97,510000,四川,西部,2013,2.652189,62.760475
98,510000,四川,西部,2014,2.592426,65.916399
99,510000,四川,西部,2015,2.557334,68.938679
100,510000,四川,西部,2016,2.529233,72.588463
101,510000,四川,西部,2017,2.513045,76.207155
102,510000,四川,西部,2018,2.491636,78.650814
103,510000,四川,西部,2019,2.464485,82.77897
104,510000,四川,西部,2020,2.401469,100.773054
105,510000,四川,西部,2021,2.358122,104.276409
106,510000,四川,西部,2022,2.315392,106.995413
107,510000,四川,西部,2023,2.26384,113.39233
108,510000,四川,西部,2024,2.222034,
109,120000,天津,东部,2007,2.200438,30.30303
110,120000,天津,东部,2008,2.300584,30.970149
111,120000,天津,东部,2009,2.29487,35.185185
112,120000,天津,东部,2010,2.232692,36.090226
113,120000,天津,东部,2011,2.023114,37.40458
114,120000,天津,东部,2012,1.95586,38.976378
115,120000,天津,东部,2013,1.887579,40.4
116,120000,天津,东部,2014,1.851769,42.570281
117,120000,天津,东部,2015,1.845093,44.715447
118,120000,天津,东部,2016,1.848476,46.473029
119,120000,天津,东部,2017,1.851522,47.413793
120,120000,天津,东部,2018,1.863256,48.648649
121,120000,天津,东部,2019,1.859337,49.308756
122,120000,天津,东部,2020,1.855085,51.415094
123,120000,天津,东部,2021,1.841746,50.961538
124,120000,天津,东部,2022,1.826556,51.231527
125,120000,天津,东部,2023,1.794269,52.525253
126,120000,天津,东部,2024,1.76387,
127,640000,宁夏,西部,2007,3.143653,50.877193
128,640000,宁夏,西部,2008,3.20538,51.470588
129,640000,宁夏,西部,2009,3.135755,53.709199
