row_id,province,year,field_003
199,江苏省,2012年,7027.67
200,江苏省,2013年,7798.47
201,江苏省,2014年,8472.45
202,江苏省,2015年,9687.58
203,江苏省,2016年,9981.96
204,江苏省,2017年,10621.03
205,江苏省,2018年,11657.35
206,江苏省,2019年,12573.55
207,江苏省,2020年,13681.55
208,江苏省,2021年,14585.26
209,江苏省,2022年,14901.37
210,江苏省,2023年,15242.28
211,江西省,2010年,1923.26
212,江西省,2011年,2534.6
213,江西省,2012年,3019.22
214,江西省,2013年,3470.3
215,江西省,2014年,3882.7
216,江西省,2015年,4412.55
217,江西省,2016年,4617.4
218,江西省,2017年,5111.47
219,江西省,2018年,5667.52
220,江西省,2019年,6386.8
221,江西省,2020年,6674.08
222,江西省,2021年,6778.87
223,江西省,2022年,7289.07
224,江西省,2023年,7492.88
225,辽宁省,2010年,3195.82
226,辽宁省,2011年,3905.85
227,辽宁省,2012年,4558.59
228,辽宁省,2013年,5197.42
229,辽宁省,2014年,5080.49
230,辽宁省,2015年,4481.61
231,辽宁省,2016年,4577.47
232,辽宁省,2017年,4879.42
233,辽宁省,2018年,5337.72
234,辽宁省,2019年,5745.09
235,辽宁省,2020年,6014.17
236,辽宁省,2021年,5879.21
237,辽宁省,2022年,6261.43
238,辽宁省,2023年,6574.78
239,内蒙古自治区,2010年,2273.5
240,内蒙古自治区,2011年,2989.21
241,内蒙古自治区,2012年,3425.99
242,内蒙古自治区,2013年,3686.52
243,内蒙古自治区,2014年,3879.98
244,内蒙古自治区,2015年,4252.96
245,内蒙古自治区,2016年,4512.71
246,内蒙古自治区,2017年,4529.93
247,内蒙古自治区,2018年,4831.46
248,内蒙古自治区,2019年,5100.91
249,内蒙古自治区,2020年,5270.16
250,内蒙古自治区,2021年,5239.57
251,内蒙古自治区,2022年,5887.7
252,内蒙古自治区,2023年,6836.24
253,宁夏回族自治区,2010年,557.53
254,宁夏回族自治区,2011年,705.91
255,宁夏回族自治区,2012年,864.36
256,宁夏回族自治区,2013年,922.48
257,宁夏回族自治区,2014年,1000.45
258,宁夏回族自治区,2015年,1138.49
259,宁夏回族自治区,2016年,1254.54
260,宁夏回族自治区,2017年,1372.78
261,宁夏回族自治区,2018年,1419.06
262,宁夏回族自治区,2019年,1438.29
263,宁夏回族自治区,2020年,1480.36
264,宁夏回族自治区,2021年,1427.89
265,宁夏回族自治区,2022年,1587.85
266,宁夏回族自治区,2023年,1751.38
267,青海省,2010年,743.4
268,青海省,2011年,967.47
269,青海省,2012年,1159.05
270,青海省,2013年,1228.05
271,青海省,2014年,1347.43
272,青海省,2015年,1515.16
273,青海省,2016年,1524.8
274,青海省,2017年,1530.44
275,青海省,2018年,1647.43
276,青海省,2019年,1863.67
277,青海省,2020年,1932.84
278,青海省,2021年,1854.52
279,青海省,2022年,1975.1
280,青海省,2023年,2188.72
281,山东省,2010年,4145.03
282,山东省,2011年,5002.07
283,山东省,2012年,5904.52
284,山东省,2013年,6688.8
285,山东省,2014年,7177.31
286,山东省,2015年,8250.01
287,山东省,2016年,8755.21
288,山东省,2017年,9258.4
289,山东省,2018年,10100.96
290,山东省,2019年,10739.76
291,山东省,2020年,11233.52
292,山东省,2021年,11713.16
293,山东省,2022年,12128.63
294,山东省,2023年,12581.74
295,山西省,2010年,1931.36
296,山西省,2011年,2363.85
297,山西省,2012年,2759.46
298,山西省,2013年,3030.13
299,山西省,2014年,3085.28
300,山西省,2015年,3422.97
301,山西省,2016年,3428.86
302,山西省,2017年,3756.42
303,山西省,2018年,4283.91
304,山西省,2019年,4710.76
305,山西省,2020年,5110.87
306,山西省,2021年,5046.62
307,山西省,2022年,5876.5
308,山西省,2023年,6345.61
309,陕西省,2010年,2218.83
310,陕西省,2011年,2930.81
311,陕西省,2012年,3323.8
312,陕西省,2013年,3665.07
313,陕西省,2014年,3962.5
314,陕西省,2015年,4376.06
315,陕西省,2016年,4389.37
316,陕西省,2017年,4833.19
317,陕西省,2018年,5302.44
318,陕西省,2019年,5718.52
319,陕西省,2020年,5930.32
320,陕西省,2021年,6069.22
321,陕西省,2022年,6760.98
322,陕西省,2023年,7175.08
323,上海市,2010年,3302.89
324,上海市,2011年,3914.88
325,上海市,2012年,4184.02
326,上海市,2013年,4528.61
327,上海市,2014年,4923.44
328,上海市,2015年,6191.56
329,上海市,2016年,6918.94
330,上海市,2017年,7547.62
331,上海市,2018年,8351.54
332,上海市,2019年,8179.28
333,上海市,2020年,8102.11
334,上海市,2021年,8430.86
335,上海市,2022年,9393.0
336,上海市,2023年,9638.51
337,四川省,2010年,4257.98
338,四川省,2011年,4674.92
339,四川省,2012年,5450.99
340,四川省,2013年,6220.91
341,四川省,2014年,6796.61
342,四川省,2015年,7497.51
343,四川省,2016年,8008.89
344,四川省,2017年,8694.76
345,四川省,2018年,9707.5
346,四川省,2019年,10348.17
347,四川省,2020年,11198.54
348,四川省,2021年,11215.69
349,四川省,2022年,11914.66
350,四川省,2023年,12732.79
351,天津市,2010年,1376.84
352,天津市,2011年,1796.33
353,天津市,2012年,2143.21
354,天津市,2013年,2549.21
355,天津市,2014年,2884.7
356,天津市,2015年,3232.35
357,天津市,2016年,3699.43
358,天津市,2017年,3282.54
359,天津市,2018年,3103.16
360,天津市,2019年,3555.71
361,天津市,2020年,3151.35
362,天津市,2021年,3152.55
363,天津市,2022年,2729.83
364,天津市,2023年,3280.42
365,西藏自治区,2010年,551.04
366,西藏自治区,2011年,758.11
367,西藏自治区,2012年,905.34
368,西藏自治区,2013年,1014.31
369,西藏自治区,2014年,1185.51
370,西藏自治区,2015年,1381.46
371,西藏自治区,2016年,1587.98
372,西藏自治区,2017年,1681.94
373,西藏自治区,2018年,1970.68
374,西藏自治区,2019年,2187.75
375,西藏自治区,2020年,2210.92
376,西藏自治区,2021年,2027.01
377,西藏自治区,2022年,2592.98
378,西藏自治区,2023年,2809.02
379,新疆维吾尔自治区,2010年,1698.91
380,新疆维吾尔自治区,2011年,2284.49
381,新疆维吾尔自治区,2012年,2720.07
382,新疆维吾尔自治区,2013年,3067.12
383,新疆维吾尔自治区,2014年,3317.79
384,新疆维吾尔自治区,2015年,3804.87
385,新疆维吾尔自治区,2016年,4138.25
386,新疆维吾尔自治区,2017年,4637.24
387,新疆维吾尔自治区,2018年,5012.45
388,新疆维吾尔自治区,2019年,5315.49
389,新疆维吾尔自治区,2020年,5533.16
390,新疆维吾尔自治区,2021年,5376.91
391,新疆维吾尔自治区,2022年,6835.4
392,新疆维吾尔自治区,2023年,7566.98
393,云南省,2010年,2285.72
394,云南省,2011年,2929.6
395,云南省,2012年,3572.66
396,云南省,2013年,4096.51
397,云南省,2014年,4437.98
398,云南省,2015年,4712.83
399,云南省,2016年,5018.86
400,云南省,2017年,5712.97
401,云南省,2018年,6075.03
402,云南省,2019年,6770.09
403,云南省,2020年,6974.02
404,云南省,2021年,6634.36
405,云南省,2022年,6699.79
406,云南省,2023年,6730.08
407,浙江省,2010年,3207.88
408,浙江省,2011年,3842.59
409,浙江省,2012年,4161.88
410,浙江省,2013年,4730.47
411,浙江省,2014年,5159.57
412,浙江省,2015年,6645.98
413,浙江省,2016年,6974.26
414,浙江省,2017年,7530.32
415,浙江省,2018年,8629.53
416,浙江省,2019年,10053.03
417,浙江省,2020年,10082.01
418,浙江省,2021年,11014.59
419,浙江省,2022年,12017.78
420,浙江省,2023年,12353.09
421,重庆市,2010年,1709.04
422,重庆市,2011年,2570.24
423,重庆市,2012年,3046.36
424,重庆市,2013年,3062.28
425,重庆市,2014年,3304.39
426,重庆市,2015年,3792.0
427,重庆市,2016年,4001.81
428,重庆市,2017年,4336.28
429,重庆市,2018年,4540.95
430,重庆市,2019年,4847.68
431,重庆市,2020年,4893.95
432,重庆市,2021年,4835.06
433,重庆市,2022年,4892.77
434,重庆市,2023年,5304.56
