dataset_id,english_file,chinese_file,rows,columns,source_paths,first_year_detected,latest_year_detected,coverage_status,checked_at
1_2000-2023_1__Sheet2__3d2293c7,data_processed/english/1_2000-2023_1__Sheet2__3d2293c7_en.csv,data_processed/chinese/1_2000-2023_1__Sheet2__3d2293c7_cn.csv,744,7,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(1)2000-2023年税负水平.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(1)2000-2023年税负水平(1).xls,2000.0,2023.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
1__Sheet1__33c8af85,data_processed/english/1__Sheet1__33c8af85_en.csv,data_processed/chinese/1__Sheet1__33c8af85_cn.csv,61070,16,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/计算结果(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/计算结果.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
1__Sheet1__4cb00b2d,data_processed/english/1__Sheet1__4cb00b2d_en.csv,data_processed/chinese/1__Sheet1__4cb00b2d_cn.csv,744,4,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/碳排放总量/省级碳排放（萌萌数据屋）(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/碳排放总量/省级碳排放（萌萌数据屋）.xlsx,2000.0,2023.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
1__dataset__3f238ebf,data_processed/english/1__dataset__3f238ebf_en.csv,data_processed/chinese/1__dataset__3f238ebf_cn.csv,388,3,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/战略性新兴产业收入/战略性新兴产业业务收入.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/战略性新兴产业收入/战略性新兴产业业务收入(1).xlsx,2011.0,2022.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
1__dataset__67b0a0e9,data_processed/english/1__dataset__67b0a0e9_en.csv,data_processed/chinese/1__dataset__67b0a0e9_cn.csv,744,36,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/衡量方式与合并数据.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/衡量方式与合并数据(1).xlsx,2000.0,2023.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
1__dataset__e9a6b0de,data_processed/english/1__dataset__e9a6b0de_en.csv,data_processed/chinese/1__dataset__e9a6b0de_cn.csv,590,7,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023城镇化率/城镇化率.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023城镇化率/城镇化率(1).xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
1__dataset__fb441ced,data_processed/english/1__dataset__fb441ced_en.csv,data_processed/chinese/1__dataset__fb441ced_cn.csv,5110,7,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/公司资料.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/公司资料(1).xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
1__sheet1__3f238ebf,data_processed/english/1__sheet1__3f238ebf_en.csv,data_processed/chinese/1__sheet1__3f238ebf_cn.csv,17641,7,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/战略性新兴产业收入/战略性新兴产业业务收入.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/战略性新兴产业收入/战略性新兴产业业务收入(1).xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2000-2023_-_1__2000-2023__6929449f,data_processed/english/2000-2023_-_1__2000-2023__6929449f_en.csv,data_processed/chinese/2000-2023_-_1__2000-2023__6929449f_cn.csv,7975,15,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板(1).xls,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2000-2023_-_1__2023__6929449f,data_processed/english/2000-2023_-_1__2023__6929449f_en.csv,data_processed/chinese/2000-2023_-_1__2023__6929449f_cn.csv,333,15,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板(1).xls,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2000-2023_-_1__dataset__6929449f,data_processed/english/2000-2023_-_1__dataset__6929449f_en.csv,data_processed/chinese/2000-2023_-_1__dataset__6929449f_cn.csv,6,1,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/sj38-地级市产业结构2000-2023/2000-2023地级市产业结构 - 面板(1).xls,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2000-2023_1__dataset__7476446f,data_processed/english/2000-2023_1__dataset__7476446f_en.csv,data_processed/chinese/2000-2023_1__dataset__7476446f_cn.csv,744,7,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023数字经济专利/2000-2023省级数字专利数据.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023数字经济专利/2000-2023省级数字专利数据(1).xlsx,2000.0,2023.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
