dataset_id,english_file,chinese_file,rows,columns,source_paths,first_year_detected,latest_year_detected,coverage_status,checked_at
8_2003-2023_1__dataset__d275b084,data_processed/english/8_2003-2023_1__dataset__d275b084_en.csv,data_processed/chinese/8_2003-2023_1__dataset__d275b084_cn.csv,28,32,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(8)2003-2023年金融发展水平(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(8)2003-2023年金融发展水平.xls,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
9_2000-2023_1__dataset__d2a323e0,data_processed/english/9_2000-2023_1__dataset__d2a323e0_en.csv,data_processed/chinese/9_2000-2023_1__dataset__d2a323e0_cn.csv,744,8,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(9)2000-2023年城乡居民收入差距(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(9)2000-2023年城乡居民收入差距.xls,2000.0,2023.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
CRITIC_Spearman_EWM__Sheet1__64339205,data_processed/english/CRITIC_Spearman_EWM__Sheet1__64339205_en.csv,data_processed/chinese/CRITIC_Spearman_EWM__Sheet1__64339205_cn.csv,360,8,source_snapshots/DEI-CEI/碳排放综合指数_CRITIC_Spearman_EWM.xlsx,2011.0,2022.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
CRITIC_Spearman_EWM__Sheet1__ceaa1e54,data_processed/english/CRITIC_Spearman_EWM__Sheet1__ceaa1e54_en.csv,data_processed/chinese/CRITIC_Spearman_EWM__Sheet1__ceaa1e54_cn.csv,360,17,source_snapshots/DEI-CEI/数字经济综合指数_CRITIC_Spearman_EWM.xlsx,2011.0,2022.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
DATA__PANEL_ANALYSIS__EXOGENOUS_DICT__cab1c328,data_processed/english/DATA__PANEL_ANALYSIS__EXOGENOUS_DICT__cab1c328_en.csv,data_processed/chinese/DATA__PANEL_ANALYSIS__EXOGENOUS_DICT__cab1c328_cn.csv,11,3,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/PANEL_ANALYSIS_DATA - 副本 - 副本.xlsx; source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DATA _PANEL_ANALYSIS.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
DATA__PANEL_ANALYSIS__PANEL_ANALYSIS__cab1c328,data_processed/english/DATA__PANEL_ANALYSIS__PANEL_ANALYSIS__cab1c328_en.csv,data_processed/chinese/DATA__PANEL_ANALYSIS__PANEL_ANALYSIS__cab1c328_cn.csv,558,18,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/PANEL_ANALYSIS_DATA - 副本 - 副本.xlsx; source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DATA _PANEL_ANALYSIS.xlsx,2007.0,2024.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
DATA__PANEL_ANALYSIS__RAW_EXOGENOUS__cab1c328,data_processed/english/DATA__PANEL_ANALYSIS__RAW_EXOGENOUS__cab1c328_en.csv,data_processed/chinese/DATA__PANEL_ANALYSIS__RAW_EXOGENOUS__cab1c328_cn.csv,1085,14,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/PANEL_ANALYSIS_DATA - 副本 - 副本.xlsx; source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DATA _PANEL_ANALYSIS.xlsx,1990.0,2024.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
DESCRIPTIVE_AND_PEARSON_RESULTS__DESCRIPTIVE_STATS__8be9063f,data_processed/english/DESCRIPTIVE_AND_PEARSON_RESULTS__DESCRIPTIVE_STATS__8be9063f_en.csv,data_processed/chinese/DESCRIPTIVE_AND_PEARSON_RESULTS__DESCRIPTIVE_STATS__8be9063f_cn.csv,11,11,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_AND_PEARSON_RESULTS/DESCRIPTIVE_AND_PEARSON_RESULTS.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
DESCRIPTIVE_AND_PEARSON_RESULTS__MISSING_SUMMARY__8be9063f,data_processed/english/DESCRIPTIVE_AND_PEARSON_RESULTS__MISSING_SUMMARY__8be9063f_en.csv,data_processed/chinese/DESCRIPTIVE_AND_PEARSON_RESULTS__MISSING_SUMMARY__8be9063f_cn.csv,11,3,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_AND_PEARSON_RESULTS/DESCRIPTIVE_AND_PEARSON_RESULTS.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_CORR__8be9063f,data_processed/english/DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_CORR__8be9063f_en.csv,data_processed/chinese/DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_CORR__8be9063f_cn.csv,11,12,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_AND_PEARSON_RESULTS/DESCRIPTIVE_AND_PEARSON_RESULTS.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_PVALUE__8be9063f,data_processed/english/DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_PVALUE__8be9063f_en.csv,data_processed/chinese/DESCRIPTIVE_AND_PEARSON_RESULTS__PEARSON_PVALUE__8be9063f_cn.csv,11,12,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_AND_PEARSON_RESULTS/DESCRIPTIVE_AND_PEARSON_RESULTS.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
DESCRIPTIVE_AND_PEARSON_RESULTS__RAW_SELECTED_DATA__8be9063f,data_processed/english/DESCRIPTIVE_AND_PEARSON_RESULTS__RAW_SELECTED_DATA__8be9063f_en.csv,data_processed/chinese/DESCRIPTIVE_AND_PEARSON_RESULTS__RAW_SELECTED_DATA__8be9063f_cn.csv,558,15,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_AND_PEARSON_RESULTS/DESCRIPTIVE_AND_PEARSON_RESULTS.xlsx,2007.0,2024.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
DESCRIPTIVE_STATISTICS_KS__Sheet1__d44859c7,data_processed/english/DESCRIPTIVE_STATISTICS_KS__Sheet1__d44859c7_en.csv,data_processed/chinese/DESCRIPTIVE_STATISTICS_KS__Sheet1__d44859c7_cn.csv,16,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_STATISTICS_KS.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
DESCRIPTIVE_STATISTICS_RESULTS__DESCRIPTIVE_STATS__75676242,data_processed/english/DESCRIPTIVE_STATISTICS_RESULTS__DESCRIPTIVE_STATS__75676242_en.csv,data_processed/chinese/DESCRIPTIVE_STATISTICS_RESULTS__DESCRIPTIVE_STATS__75676242_cn.csv,11,11,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_STATISTICS_RESULTS.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
DESCRIPTIVE_STATISTICS_RESULTS__MISSING_SUMMARY__75676242,data_processed/english/DESCRIPTIVE_STATISTICS_RESULTS__MISSING_SUMMARY__75676242_en.csv,data_processed/chinese/DESCRIPTIVE_STATISTICS_RESULTS__MISSING_SUMMARY__75676242_cn.csv,11,3,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_STATISTICS_RESULTS.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
DESCRIPTIVE_STATISTICS_RESULTS__RAW_SELECTED_DATA__75676242,data_processed/english/DESCRIPTIVE_STATISTICS_RESULTS__RAW_SELECTED_DATA__75676242_en.csv,data_processed/chinese/DESCRIPTIVE_STATISTICS_RESULTS__RAW_SELECTED_DATA__75676242_cn.csv,558,15,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/DESCRIPTIVE_STATISTICS_RESULTS.xlsx,2007.0,2024.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
Feature_Importance__Sheet1__21bd0aec,data_processed/english/Feature_Importance__Sheet1__21bd0aec_en.csv,data_processed/chinese/Feature_Importance__Sheet1__21bd0aec_cn.csv,10,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_NATIONAL/Feature_Importance.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
Feature_Importance__Sheet1__87a215d1,data_processed/english/Feature_Importance__Sheet1__87a215d1_en.csv,data_processed/chinese/Feature_Importance__Sheet1__87a215d1_cn.csv,10,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_OUTPUT_CORE/Feature_Importance.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
INDICATOR_SYSTEM_EN__data__057c3a6a,data_processed/english/INDICATOR_SYSTEM_EN__data__057c3a6a_en.csv,data_processed/chinese/INDICATOR_SYSTEM_EN__data__057c3a6a_cn.csv,16,5,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/resilience_output/INDICATOR_SYSTEM_EN.csv,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_1__Sheet1__fe448b0e,data_processed/english/ML_1__Sheet1__fe448b0e_en.csv,data_processed/chinese/ML_1__Sheet1__fe448b0e_cn.csv,390,22,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/绿色全要素生产率/绿色全要素生产率（ML累乘）.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/绿色全要素生产率/绿色全要素生产率（ML累乘）(1).xlsx,2011.0,2023.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_By_Zone_Metrics__ALL_METRICS__a52ffb47,data_processed/english/ML_SHAP_By_Zone_Metrics__ALL_METRICS__a52ffb47_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Metrics__ALL_METRICS__a52ffb47_cn.csv,9,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Metrics.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_By_Zone_Result__I_Central__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__I_Central__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__I_Central__35ece8b9_cn.csv,10,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_By_Zone_Result__I_Eastern__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__I_Eastern__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__I_Eastern__35ece8b9_cn.csv,10,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_By_Zone_Result__I_Western__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__I_Western__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__I_Western__35ece8b9_cn.csv,10,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_By_Zone_Result__M_Central__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__M_Central__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__M_Central__35ece8b9_cn.csv,3,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_By_Zone_Result__M_Eastern__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__M_Eastern__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__M_Eastern__35ece8b9_cn.csv,3,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_By_Zone_Result__M_Western__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__M_Western__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__M_Western__35ece8b9_cn.csv,3,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_By_Zone_Result__S_Central__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__S_Central__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__S_Central__35ece8b9_cn.csv,144,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_By_Zone_Result__S_Eastern__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__S_Eastern__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__S_Eastern__35ece8b9_cn.csv,198,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_By_Zone_Result__S_Western__35ece8b9,data_processed/english/ML_SHAP_By_Zone_Result__S_Western__35ece8b9_en.csv,data_processed/chinese/ML_SHAP_By_Zone_Result__S_Western__35ece8b9_cn.csv,216,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_BY_ZONE/ML_SHAP_By_Zone_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Core_Result__Feature_Importance__4777de21,data_processed/english/ML_SHAP_Core_Result__Feature_Importance__4777de21_en.csv,data_processed/chinese/ML_SHAP_Core_Result__Feature_Importance__4777de21_cn.csv,10,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_OUTPUT_CORE/ML_SHAP_Core_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Core_Result__Model_Metrics__4777de21,data_processed/english/ML_SHAP_Core_Result__Model_Metrics__4777de21_en.csv,data_processed/chinese/ML_SHAP_Core_Result__Model_Metrics__4777de21_cn.csv,3,5,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_OUTPUT_CORE/ML_SHAP_Core_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Core_Result__SHAP_Values__4777de21,data_processed/english/ML_SHAP_Core_Result__SHAP_Values__4777de21_en.csv,data_processed/chinese/ML_SHAP_Core_Result__SHAP_Values__4777de21_cn.csv,558,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_OUTPUT_CORE/ML_SHAP_Core_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Metrics__ALL_METRICS__66245a0d,data_processed/english/ML_SHAP_Multi_Target_Metrics__ALL_METRICS__66245a0d_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Metrics__ALL_METRICS__66245a0d_cn.csv,18,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Metrics.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__I_CV__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__I_CV__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_CV__98162870_cn.csv,10,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__I_DM__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__I_DM__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_DM__98162870_cn.csv,10,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__I_EWM__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__I_EWM__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_EWM__98162870_cn.csv,10,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__I_Factor__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__I_Factor__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_Factor__98162870_cn.csv,10,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__I_PCA__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__I_PCA__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_PCA__98162870_cn.csv,10,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__I_Spearman_CRITIC__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__I_Spearman_CRITIC__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__I_Spearman_CRITIC__98162870_cn.csv,10,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__M_CV__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__M_CV__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__M_CV__98162870_cn.csv,3,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__M_DM__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__M_DM__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__M_DM__98162870_cn.csv,3,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__M_EWM__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__M_EWM__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__M_EWM__98162870_cn.csv,3,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__M_Factor__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__M_Factor__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__M_Factor__98162870_cn.csv,3,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__M_PCA__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__M_PCA__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__M_PCA__98162870_cn.csv,3,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__M_Spearman_CRITIC__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__M_Spearman_CRITIC__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__M_Spearman_CRITIC__98162870_cn.csv,3,6,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__S_CV__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__S_CV__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__S_CV__98162870_cn.csv,558,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__S_DM__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__S_DM__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__S_DM__98162870_cn.csv,558,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__S_EWM__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__S_EWM__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__S_EWM__98162870_cn.csv,558,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__S_Factor__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__S_Factor__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__S_Factor__98162870_cn.csv,558,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__S_PCA__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__S_PCA__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__S_PCA__98162870_cn.csv,558,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_Multi_Target_Result__S_Spearman_CRITIC__98162870,data_processed/english/ML_SHAP_Multi_Target_Result__S_Spearman_CRITIC__98162870_en.csv,data_processed/chinese/ML_SHAP_Multi_Target_Result__S_Spearman_CRITIC__98162870_cn.csv,558,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_MULTI_TARGET/ML_SHAP_Multi_Target_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_National_Result__Feature_Importance__77e1d70a,data_processed/english/ML_SHAP_National_Result__Feature_Importance__77e1d70a_en.csv,data_processed/chinese/ML_SHAP_National_Result__Feature_Importance__77e1d70a_cn.csv,10,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_NATIONAL/ML_SHAP_National_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_National_Result__Model_Metrics__77e1d70a,data_processed/english/ML_SHAP_National_Result__Model_Metrics__77e1d70a_en.csv,data_processed/chinese/ML_SHAP_National_Result__Model_Metrics__77e1d70a_cn.csv,3,5,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_NATIONAL/ML_SHAP_National_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
ML_SHAP_National_Result__SHAP_Values__77e1d70a,data_processed/english/ML_SHAP_National_Result__SHAP_Values__77e1d70a_en.csv,data_processed/chinese/ML_SHAP_National_Result__SHAP_Values__77e1d70a_cn.csv,558,10,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/ML_SHAP_NATIONAL/ML_SHAP_National_Result.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
